email,company,website,city,state,profession
bob@cpaidea.com,"CPA Soultion LLC",http://www.cpaidea.com,Bangor,Maine,Accountant
tlongtin@leightonandlongtin.com,"Leighton & Longtin CPA",http://leightonandlongtin.com,Brewer,Maine,"Tax preparation service"
irsten@lawrencegagnoncpas.com,"Lawrence & Gagnon",http://www.lawrencegagnoncpas.com,Bangor,Maine,"Tax preparation service"
georgeadams@intelligenceforrent.com,"GEORGE ADAMS CPA MBA",http://www.intelligenceforrent.com,Brewer,Maine,"Chartered accountant"
scotttax@juno.com,"Scott Thomas Tax Preparation",http://www.scottthomastaxprep.com,Bangor,Maine,"Tax preparation service"
info@jthicksandcompany.com,"Hicks & Associates",http://www.jthicksandcompany.com,Brewer,Maine,Accountant
rachel@absoluteaccounting.org,"Absolute Accounting PA",http://www.absoluteaccounting.org,Brewer,Maine,"Tax preparation"
tpottle@costonandmcisaac.com,"Coston & McIsaac",http://www.costonandmcisaac.com,"Bar Harbor",Maine,"Chartered accountant"
info@snow2cpa.com,"Snow 2 Cpa's",http://snow2cpa.com,"Southwest Harbor",Maine,Accountants
ellen@hmvcpas.com,"Horton McFarland & Veysey CPA",http://www.hmvcpas.com,Ellsworth,Maine,Accountants
cheryl@pyestax.com,"H & R Pyes Tax & Accounting",http://www.pyestax.com,Bath,Maine,"Tax preparation service"
reception@taxwisefs.com,"Tax Wise Financial Services LLC",http://www.taxwisefs.com,Bath,Maine,"Tax preparation service"
info@jhbirkettcpa.com,"Birkett John H CPA",http://www.jhbirkettcpa.com,Brunswick,Maine,Accountant
reception@viekcpa.com,"Office of Cornelia C Viek CPA",http://www.viekcpa.com,Brunswick,Maine,"Tax preparation service"
payroll@ldarlingcpa.com,"Lorraine Darling CPA",http://www.ldarlingcpa.com,Topsham,Maine,"Tax preparation service"
info@sunnysideaccounting.com,"Sunny Side Accounting",http://sunnysideaccounting.com,Newcastle,Maine,Accountant
sean@gliddentax.com,"Glidden Tax & Accounting",http://www.gliddentax.com,"Lisbon Falls",Maine,Accountant
payroll@leclercgroup.com,"2003-2021 Leclerc Group LLC",http://leclercgroup.com,Brunswick,Maine,Accountant
jason.hall@accurateacct.com,"Accurate Accounting & Tax Services Inc",http://accurateacct.com,Lewiston,Maine,Accountant
mroyer@btr-cpa.com,"Berry Talbot Royer",http://www.btr-cpa.com,Falmouth,Maine,Accountant
abby@bookkeepingmatters.biz,"Bookkeeping Matters",http://bookkeepingmatters.biz,Brunswick,Maine,Accountant
wibean@wibcpa.com,"Wendy I Bean CPA",http://wibcpa.com,Manchester,Maine,Accountant
thamilton@bhmccpa.com,"Blake Hurley Mccallum & Conley Llc",http://bhmccpa.com,Westbrook,Maine,Accountant
jse@wmelyassociates.com,"W.M. Ely Associates",http://www.wmelyassociates.com,"South Portland",Maine,"Accounting firm"
sally@donelsonaccounting.com,"Donelson Accounting & Tax",http://www.donelsonaccounting.com,Portland,Maine,"Tax preparation service"
cdiffin@bplusmaine.com,"BOOKKEEPING PLUS & ASSOCIATES LLC",http://bplusmaine.com,Gray,Maine,"Bookkeeping service"
events@bnncpa.com,"Baker Newman Noyes",http://www.bnncpa.com,Portland,Maine,Accountant
george@lambridesme.com,"Lambrides & Associates",http://lambridesme.com,Westbrook,Maine,Accountant
bhooper@hooptax.com,"Hooper Tax & Accounting",http://www.hooptax.com,Saco,Maine,"Tax preparation service"
irene@simenskycpas.com,"Simensky Engstrom & Associates: Engstrom Jr Aubrey",http://www.simenskycpas.com,Saco,Maine,Accountant
tomg@gallantassociatesea.com,"Gallant & Associates EA",http://gallantassociatesea.com,Biddeford,Maine,"Tax preparation service"
mpa@midcoastpa.com,"Midcoast Payroll & Accounting Inc",http://www.midcoastpa.com,"Boothbay Harbor",Maine,Accountant
ardiah@osmanpage.com,"Osman Page LLC",http://www.osmanpage.com,"Boothbay Harbor",Maine,Accountant
craig.long@raymondjames.com,"Raymond James Financial Services",http://www.raymondjames.com,"Boothbay Harbor",Maine,"Investment service"
crystal@ccasme.com,"Crystal Clear Accounting",http://ccasme.com,Calais,Maine,Accountant
jennifer@agtaxonline.com,"A G Tax & Accounting",http://www.agtaxonline.com,Caribou,Maine,Accountant
lkecpa@prexar.com,"Emack Jack M & Laura",http://www.lauraemack.com,"Stockton Springs",Maine,Accountants
lacie@jeffdowcpa.com,"Dow Jeffrey R",http://www.jeffdowcpa.com,Ellsworth,Maine,"Tax preparation service"
psquillante@melansoncpas.com,"Melanson Heath & Company PC",http://melansonheath.com,Ellsworth,Maine,Accountant
theriaultcpa@fairpoint.net,"Theriault Lee R CPA",http://www.stjohnvalleycpa.com,"Fort Kent",Maine,Accountant
mike@addingupbookkeeping.com,"AddingUp Bookkeeping",http://www.addingupbookkeeping.com,Kennebunk,Maine,"Bookkeeping service"
info@republicash.com,"RepubliCash LLC",http://www.republicash.com,Biddeford,Maine,"Financial institution"
trish@mecpa.org,"Maine Society of CPA",http://mecpa.org,Portland,Maine,Accountant
rich@brookscpamaine.com,"Brooks & Brooks",http://www.brookscpamaine.com,Scarborough,Maine,Accountant
info@snyderandbilodeaucpa.com,"Snyder & Bilodeau",http://www.snyderandbilodeaucpa.com,Scarborough,Maine,Accountant
staff@mainecpas.com,"William A. Friberg CPA",http://www.mainecpas.com,Eliot,Maine,"Bookkeeping service"
ccollins@clcollinscpa.com,"Cori L Collins CPA LLC",http://clcollinscpa.com,Machias,Maine,"Chartered accountant"
jwbaker@gwi.net,"Tax Clinic",http://www.tax-clinic.us,"Old Town",Maine,"Tax preparation"
amy@jjccpa.com,"Johnson & Company CPAs",http://www.jjccpa.com,Scarborough,Maine,"Accounting firm"
info@dmf-cpa.com,"Ford Dean CPA",http://www.dmf-cpa.com,Scarborough,Maine,Accountant
jennifer@nmccpas.com,"Nicholson Michaud & Company",http://www.nmccpas.com,Waterville,Maine,Accountant
