email,company,website,city,state,profession
jasongetmancpa@gmail.com,"Jason J. Getman CPA PLLC",http://www.getmancpapllc.com,Schenectady,"New York",Accountant
jeffmanycpa@hotmail.com,"Jeffrey M. Many C.P.A.",http://www.jeffreymanycpa.com,"Saratoga Springs","New York",Accountant
vilsondushi@gmail.com,"Dushi Accounting Services",http://dushiaccountingservices.com,"West Babylon","New York",Accountant
jandbtax24@gmail.com,"J & B Tax & Accounting",http://www.jandbtax.com,"Deer Park","New York",Accountant
louisruscito@aol.com,"Louis Ruscito",http://louisruscito.com,Babylon,"New York",Accountant
matthewtcpa@gmail.com,"Matthew Tsombanis CPA P.C.",http://www.accountantsli.com,Lindenhurst,"New York","Tax preparation service"
smr211@yahoo.com,"STEVEN RAIFER ACCOUNTING SERVICE",http://www.smraccounting.com,Farmingdale,"New York",Accountant
johnmastersoncpa@yahoo.com,"Masterson Accounting and Tax Services Inc.",http://batmasterson.com,Farmingdale,"New York","Accounting firm"
faulisicpas@gmail.com,"Faulisi & Company CPAs LLP",http://www.faulisicpas.com,Queens,"New York","Chartered accountant"
je1991@live.com,"J Rojas Center",http://rojascenter.com,"New York","New York","Tax preparation service"
contabexxe@gmail.com,"Accutax Accounting Services LLC.",http://www.accutax.company,Beacon,"New York","Tax preparation service"
jainjacobcpa@gmail.com,"Jain Jacob CPA PLLC",http://jainjacobcpa.com,"New City","New York","Tax preparation service"
garbassoc@hotmail.com,"Garbarino Associates Inc",http://www.garbarinoassociates.com,Binghamton,"New York","Tax preparation service"
mcmahonbookkeeping@gmail.com,"McMahon Bookkeeping Services",http://www.mcmahonbookkeepingservices.com,"Johnson City","New York","Bookkeeping service"
jason68927@yahoo.com,"Rozycki Michael A CPA",http://www.jraccountingtaxservices.com,Pelham,"New York",Accountant
paulherman2@yahoo.com,"Herman & Company CPAs PC",http://www.hermancpa.com,"West Harrison","New York","Chartered accountant"
francissisco@aol.com,"Sisco Frank A",http://www.transfransisco.com,"New Rochelle","New York",Accountant
nycpacorp@hotmail.com,"Gomez Accounting",http://www.gomezaccounting.com,"New York","New York","Tax preparation service"
aragonafinancial@gmail.com,"Aragona Financial Strategies",http://www.aragonafinancialstrategies.com,Bronxville,"New York","Financial Advisor"
jhayman2@aol.com,"Janice Hayman Tax Accountant",http://janicehayman.com,"New York","New York","Tax preparation service"
lanza1111@msn.com,"Accounting Associates Inc.",http://www.a3-accounting.com,"New York","New York",Accountant
aabdullahc@aol.com,"Abdur-Rahim Abdullah CPA",http://abdullaharacpa.com,"Mount Vernon","New York",Accountant
