email,company,website,city,state,profession
lindasbookkeepingservicesllc@gmail.com,"Buxton & Co PC",http://www.lindasbookkeepingservicesllc.com,Ada,Oklahoma,"Tax preparation service"
pace.cpa@gmail.com,"Larry Pace & Company PC - J Todd Clouse CPA",http://larrypacecpa.com,Norman,Oklahoma,Accountant
csiservicesokc@gmail.com,"Ross Richard J",http://turnthepaigeconsultingllc.com,Anadarko,Oklahoma,Accountant
delanecpa@aol.com,"Lorna Funkhouser CPA",http://funkhousercpa.com,Lawton,Oklahoma,"Chartered accountant"
cpaoffice07@yahoo.com,"Teresa J. Pendergraft CPA",http://teresapendergraftcpa.com,Lawton,Oklahoma,"Tax preparation service"
drwcpainc@gmail.com,"Debbie R White CPA",http://www.debbierwhitecpa.com,"Oklahoma City",Oklahoma,"Tax preparation service"
skinnercpa@outlook.com,"Knight Frank R Cpa",http://www.dleanncpa.com,Ardmore,Oklahoma,"Chartered accountant"
garyforbestax@gmail.com,"Gary Forbes Jr Income Tax",http://garyforbesjrincometax.com,Skiatook,Oklahoma,"Tax preparation service"
patti.clift.cpa@gmail.com,"Patti J. Clift CPA",http://patticliftcpa.com,Duncan,Oklahoma,"Tax preparation service"
lucperri@aol.com,"Tax Audit Rescue of Oklahoma",http://www.rescuemytaxaudit.com,Edmond,Oklahoma,"Chartered accountant"
thetaxlady@hotmail.com,"Doris Beaton CPA",http://www.thetaxladyonline.com,"Oklahoma City",Oklahoma,"Chartered accountant"
mt.taxes.ok@gmail.com,"M. T. Tax Services & Public Notary",http://mt-taxes.com,Lawton,Oklahoma,"Tax preparation service"
wilkscpa@gmail.com,"Wilks & Co. CPA PLLC",http://wilkscpa.com,"Oklahoma City",Oklahoma,Accountant
lanelindly@hotmail.com,"LINDLY TAX & BOOKKEEPING SERVICE",http://lindlytax.com,Norman,Oklahoma,"Bookkeeping service"
cnunorthcharlestonsc@gmail.com,"Solomon Weston K CPA CFP",http://cashnoteusa.com,"Oklahoma City",Oklahoma,"Investment service"
ornelascpa@yahoo.com,"Ornelas & Morris CPAs P.C.",http://ornelasmorriscpa.com,Tulsa,Oklahoma,Accountant
eladnor@aol.com,"ONeals Tax Service",http://www.onealstaxservice.com,Tulsa,Oklahoma,"Tax preparation"
