email,company,website,city,state,profession
info@cpaservice.com,"CPA Service LLC",http://www.cpaservice.com,Beaverton,Oregon,"Chartered accountant"
info@ontimeaccounting.com,"On-Time Accounting",http://www.ontimeaccounting.com,Beaverton,Oregon,Accountant
belltax@helpontaxes.com,"Bell Tax Accountants",http://helpontaxes.com,Beaverton,Oregon,"Tax preparation service"
info@youngcocpas.com,"Young & Company CPAS",http://www.youngcocpas.com,Beaverton,Oregon,"Chartered accountant"
email@dethloffcpas.com,"Dethloff & Associates: Taylor Leon CPA",http://dethloffcpas.com,Beaverton,Oregon,Accountant
herb@cascadiacpa.com,"CASCADIA CPA PC",http://www.cascadiacpa.com,Beaverton,Oregon,"Chartered accountant"
info@sheridantax.com,"Sheridan Tax & Accounting",http://www.sheridantax.com,Beaverton,Oregon,"Tax preparation service"
shannon@taylorcorder.com,"Taylor & Corder LLC",http://www.taylorcorder.com,Beaverton,Oregon,Accountant
hello@skylineaccounting.com,"Skyline Accounting Inc.",http://www.skylineaccounting.com,Hillsboro,Oregon,"Bookkeeping service"
firm@cwfcpallc.com,"Carl w Foster LLC",http://cwfcpallc.com,Portland,Oregon,Accountant
help@countingworkspro.com,"BTL & Company - Tax & Accounting",http://btlcompany.com,Beaverton,Oregon,Accountant
info@marcri.com,"MARCRI LLC - Crisanto Agtani CPA",http://www.marcri.com,Beaverton,Oregon,"Chartered accountant"
laura@hashimotocpa.com,"Laura Hashimoto CPA LLC",http://www.hashimotocpa.com,Beaverton,Oregon,Accountant
anne@annegagginicpa.com,"Anne Gaggini CPA LLC",http://www.annegagginicpa.com,"Lake Oswego",Oregon,Accountant
ryan@ihdecpa.com,"Ihde CPA",http://www.ihdecpa.com,Beaverton,Oregon,Accountant
lee@juliafitzgeraldcpa.com,"Julia Fitzgerald CPA PC",http://www.juliafitzgeraldcpa.com,Portland,Oregon,Accountant
info@costadvisors.com,"Cost Advisors Inc.",http://www.costadvisors.com,Beaverton,Oregon,"Chartered accountant"
info@paxtonmillercpa.com,SKCPA&CO,http://skcpa.company,Portland,Oregon,Accountant
cathy@matthewsplus.com,"Matthews + Associates CPAs PC",http://matthewsplus.com,Portland,Oregon,Accountant
martha@marthagazeleycpa.com,"Gazeley Martha Page CPA",http://www.marthagazeleycpa.com,Portland,Oregon,Accountant
reliabletax@west-connect.com,"Reliable Tax Services",http://taxreliable.com,Beaverton,Oregon,"Tax preparation service"
office@vanguard-accounting.com,"Columbia Association Tax Inc",http://sfs.columbia.edu,Clackamas,Oregon,Accountant
info@cherrycityaccounting.com,"Cherry City Accounting",http://www.cherrycityaccounting.com,Tigard,Oregon,Accountant
bjc@bj-co.com,"Bashar & Johnson PC",http://www.bj-co.com,Beaverton,Oregon,"Accounting firm"
dan@parraccounting.com,"Parr Accounting Group Inc.",http://www.parraccounting.com,Bend,Oregon,Accountant
chelan@mcgregor-caverhillcpa.com,"McGregor-Caverhill CPA PC",http://mcgregor-caverhillcpa.com,Bend,Oregon,Accountant
barbara@tyler-accounting.com,"Tyler Accounting LLP",http://tyler-accounting.com,Bend,Oregon,"Chartered accountant"
andrew@cfobend.com,"Andrew Hunzicker CPA",http://www.cfobend.com,Bend,Oregon,Accountant
carrie@hogueaccountancy.com,"Hogue Accountancy CPA LLC",http://www.hogueaccountancy.com,Bend,Oregon,"Tax preparation service"
inquire@fowler-cpa.com,"Fowler & Co. Inc.",http://www.fowler-cpa.com,Bend,Oregon,"Chartered accountant"
peter@buncecpa.com,"Peter M. Bunce CPA LLC",http://buncecpa.com,Bend,Oregon,Accountant
grow@weltmanncpa.com,"Gary Weltmann CPA",http://www.weltmanncpa.com,Bend,Oregon,"Chartered accountant"
jan@janplantscpa.com,"Jan Plants CPA",http://www.janplantscpa.com,Bend,Oregon,Accountant
jerig@basicbooks.biz,"Basic Books",http://www.basicbooks.biz,Bend,Oregon,Accountant
info@preciselypayroll.com,"Precisely Payroll",http://preciselypayroll.com,Bend,Oregon,"Tax preparation service"
joseph.ferrin@lpl.com,"LPL Financial",http://www.josephferrinlpl.com,Bend,Oregon,"Financial Advisor"
mike@mohancpa.com,"Mohan Michael J CPA",http://www.mohancpa.com,Prineville,Oregon,"Tax preparation service"
mgiles@wavecrestdiscoveries.com,"Reiber Larry a CPA",http://wavecrestdiscoveries.com,"Coos Bay",Oregon,Accountant
bill.martin@surpasscpas.com,"Scoville G K CPA",http://www.surpasscpas.com,"North Bend",Oregon,Accountant
kelly@nwtaxaccountingllc.com,"NW Tax & Accounting LLC",http://www.nwtaxaccountingllc.com,Corvallis,Oregon,"Tax preparation service"
alyce@agroupcpas.com,"Anderson Group CPAs LLC",http://www.agroupcpas.com,Corvallis,Oregon,"Tax preparation service"
john@myaccountingsolutions.com,"John M Borden CPA PC",http://www.myaccountingsolutions.com,Albany,Oregon,Accountant
gracie@accuitycpas.com,"Accuity LLC",http://www.accuitycpas.com,Albany,Oregon,"Chartered accountant"
megan.newman@americanbar.org,"Compton English & Hunsaker PC",http://www.cehcpa.com,Salem,Oregon,Accountant
taxmenot@earthlink.net,"TRI-STAR Tax Service LLC",http://www.tristartaxservice.com,Lebanon,Oregon,"Tax preparation"
russell.gerig@gerigcpa.com,"Gerig Russell L CPA",http://www.gerigcpa.com,Lebanon,Oregon,Accountant
info@zirklelong.com,"Zirkle Long & Associates CPA",http://www.zirklelong.com,Eugene,Oregon,"Chartered accountant"
donsherrycpa@juno.com,"Donald J Sherry CPA",http://www.donsherrycpa.com,Eugene,Oregon,"Chartered accountant"
bmaas@emeraldcpa.com,"Emerald CPA Group",http://www.emeraldcpa.com,Eugene,Oregon,Accountant
info@myaccountingteam.com,"My Accounting Team",http://www.myaccountingteam.com,Eugene,Oregon,"Bookkeeping service"
sandra@advantagebusinesssolutions.com,"Administrative Assistance",http://www.advantagebusinesssolutions.com,Eugene,Oregon,Accountant
michael@lighthouseaccounting.com,"Light House Accounting",http://www.lighthouseaccounting.com,Eugene,Oregon,Accountant
jayne@ettax.com,"E-T Tax Service Inc.",http://ettax.com,Eugene,Oregon,"Tax preparation service"
shawn@mytaxcpa.biz,"Shawn Eichner CPA",http://www.mytaxcpa.biz,Springfield,Oregon,"Chartered accountant"
info@melindahandycpa.com,"Melinda Handy CPA LLC",http://www.melindahandycpa.com,Springfield,Oregon,"Chartered accountant"
support@sunshawl.com,"Sunshawl Services INC",http://www.sunshawl.com,Springfield,Oregon,"Bookkeeping service"
mclaughlinl@stifel.com,Stifel,http://www.stifel.com,Eugene,Oregon,"Investment service"
tech@bkunlimited.com,"Bookkeepers Unlimited",http://www.bkunlimited.com,Springfield,Oregon,"Tax preparation service"
mike@dprcpa.com,"Roots Michael S CPA",http://www.dprcpa.com,"Grants Pass",Oregon,Accountant
steves@southernoregoncpas.com,"Behymer Sorenson & Price LLC",http://kenbehymercpa.com,"Grants Pass",Oregon,"Chartered accountant"
office@accountinggp.com,"Accounting Consultant Inc A CPA Firm",http://www.accountinggp.com,"Grants Pass",Oregon,"Bookkeeping service"
susie@thedynamis.com,"Dynamis Accounting Solutions",http://www.thedynamis.com,"Grants Pass",Oregon,"Bookkeeping service"
info@welchig.com,"Welch Investment Group LLC",http://www.welchig.com,"Grants Pass",Oregon,"Financial Advisor"
help@medicaidhelp.com,"Mitchell & Blalock Diversified",http://www.mbdfs.com,"Grants Pass",Oregon,"Financial Advisor"
info@sundbergnicks.com,"Rowland Business Services",http://sundbergnicks.com,Hillsboro,Oregon,Accountant
ellyn@lomasfinancial.com,"Lomas Accounting Services",http://www.lomasfinancial.com,Hillsboro,Oregon,"Financial Advisor"
info@springcpa.us.co,"SpringCPA PC",http://www.springcpa.us.com,Portland,Oregon,"Chartered accountant"
rls@rlscpa.net,"Robert L Stacy CPA LLC",http://www.rlscpa.net,Tigard,Oregon,"Chartered accountant"
straxton@traxtoncpa.com,"Aaron Traxton CPA",http://www.traxtoncpa.com,Tigard,Oregon,"Chartered accountant"
jane@blockchatard.com,"Block Jane CPA",http://blockchatard.com,Portland,Oregon,Accountant
kim@kimalbertcpa.com,"Kim Albert CPA PC",http://www.kimalbertcpa.com,Portland,Oregon,"Chartered accountant"
contact@delozieraccounting.com,"Delozier Accounting",http://delozieraccounting.com,Hillsboro,Oregon,"Tax preparation"
dm-hangzhou@300.cn,"Delplanche Darrin",http://www.darrindelplanchecpa.com,Hillsboro,Oregon,Accountant
shair@smallbiz-accounting.com,"Onstott Kenneth L CPA",http://www.smallbiz-accounting.com,"Hood River",Oregon,Accountant
tom@romigcpa.com,"Lahna Lilly CPA",http://www.romigcpa.com,"Klamath Falls",Oregon,Accountant
kathyb@molatorecpa.com,"Molatore Scroggin Peterson & Co. LLP",http://molatorecpa.com,"Klamath Falls",Oregon,"Chartered accountant"
pam@amcomtaxkfalls.com,"Shameless Resolution",http://shamelessresolution.com,"Klamath Falls",Oregon,"Tax preparation service"
ndietzmann@dadco.com,"D.A. Davidson & Co.",http://www.dadavidson.com,"Klamath Falls",Oregon,"Financial Advisor"
linda@hornercpa.com,"Tax Man",http://www.hornercpa.com,"La Grande",Oregon,"Tax preparation service"
info@handyreagan.com,"Handy and Reagan",http://www.handyreagan.com,"Lake Oswego",Oregon,Accountant
diane@iversoncpa.com,"Iverson-Ross Diane L CPA",http://www.iversoncpa.com,Portland,Oregon,Accountant
janwalker@inform-accounting.com,"Inform Restaurant Accounting",http://www.inform-accounting.com,Tigard,Oregon,Accountant
dale@dwecpa.com,"Dale W. Engle CPA P.C.",http://www.dwecpa.com,Portland,Oregon,Accountant
info@bakertaxpc.com,"Baker Tax & Accounting PC",http://www.bakertaxpc.com,Clackamas,Oregon,"Tax preparation service"
info@carnegiecpa.com,"Carnegie Accounting LLP",http://carnegiecpa.com,Portland,Oregon,"Accounting firm"
info@obsidianfinance.com,"Obsidian Finance Group LLC",http://www.obsidianfinance.com,"Lake Oswego",Oregon,"Financial Advisor"
info@springcpa.us,"SpringCPA PC",http://www.springcpa.us,"Lake Oswego",Oregon,"Chartered accountant"
randy@aascpas.com,"Adams & Stewart CPA",http://aascpas.com,Portland,Oregon,Accountant
philjcpa@earthlink.net,"Phillip J Wilber CPA",http://www.pjwcpa.com,Milwaukie,Oregon,"Accounting firm"
info@sumitupba.com,"Burgess Bookkeeping Services",http://www.sumitupba.com,McMinnville,Oregon,"Bookkeeping service"
brian@wantcpa.com,"Want & Emery",http://www.wantcpa.com,Newberg,Oregon,"Chartered accountant"
cyndy@cyndystax.com,"Cyndy & Associates Tax Services LLC",http://cyndystax.com,Newberg,Oregon,Accountant
jlokan@mysalemcpa.com,"Davis Katter & Barrett: Katter Scott A CPA",http://www.mysalemcpa.com,Salem,Oregon,Accountant
taxhelp@newbergtax.com,"Newberg Tax Services PC",http://www.newbergtax.com,Newberg,Oregon,"Tax preparation service"
logsdonj@co.yamhill.or.us,"Yamhill County Treasurer",http://www.co.yamhill.or.us,McMinnville,Oregon,"Tax Department"
gary@oregon.com,"Gary Franklin CPA",http://www.cpagary.com,"Suite A",Oregon,Accountants
chris@jdpcpas.com,"Johannsen Dye & Purkeypile CPAS LLP",http://www.jdpcpas.com,Medford,Oregon,"Chartered accountant"
jon@dahlinaccounting.com,"Dahlin Accounting Consulting",http://www.dahlinaccounting.com,Medford,Oregon,Accountant
