email,company,website,city,state,profession
beth@cornerstonemoneymgmt.com,"Holmes Barbara M CPA",http://www.cornerstonemoneymgmt.com,Barrington,"Rhode Island","Chartered accountant"
joe@farmerfirstcpas.com,"Farmer & First P.C",http://www.farmerfirstcpas.com,Warren,"Rhode Island",Accountant
mbrouillard@oandccpa.com,"Caliri Robert a CPA",http://www.oreficeandcaliri.com,Riverside,"Rhode Island",Accountant
scott@whittum.com,"Whittum Scott T CPA",http://www.whittum.com,Riverside,"Rhode Island",Accountant
info@angeliniandcarneiro.com,"Mario J Carneiro CPA Ltd",http://www.angeliniandcarneiro.com,"East Providence","Rhode Island","Chartered accountant"
erin@massaleroux.com,"Massa & Leroux LLC",http://www.massaleroux.com,"East Providence","Rhode Island","Accounting firm"
contact@dedicatedpayroll.com,"Dedicated Payroll Solutions",http://www.dedicatedpayroll.com,Bristol,"Rhode Island","Tax preparation service"
mike@mzfinancial.com,"Tax Refund express",http://www.taxrefundexpressri.com,Warwick,"Rhode Island","Tax preparation service"
david@oliveiracpas.com,"Oliveira & Associates Ltd",http://www.oliveiracpas.com,"East Providence","Rhode Island","Accounting firm"
kelly.deering@lpl.com,"Gunness Financial Services",http://www.gunnessfinancial.com,Barrington,"Rhode Island","Financial Advisor"
atservice@avant-tax.com,Avant-Tax,http://www.avant-tax.com,Warwick,"Rhode Island","Tax preparation service"
contact@certifiedtaxonline.com,"Alan Brier & Co",http://www.certifiedtaxonline.com,Pawtucket,"Rhode Island","Tax preparation service"
raytherrien@rtherrienstaxservice.com,"Raymond Therrien's Income Tax Service",http://www.rtherrienstaxservice.com,Pawtucket,"Rhode Island","Tax preparation service"
joe@famcocpa.com,"Famiglietti & Company Cpa's",http://www.famcpainc.com,"North Providence","Rhode Island","Chartered accountant"
jnuttall@dbncpas.com,"Damiano & Burk PC",http://www.dbncpas.com,Lincoln,"Rhode Island","Tax preparation service"
jtracy@mt-cpas.com,"Mandel & Tracy",http://mt-cpas.com,Providence,"Rhode Island","Chartered accountant"
contact@bucocpa.com,"Robert Buco & Associates",http://www.bucoandbuco.com,Cranston,"Rhode Island",Accountant
roger@stgermaincpa.com,"Germain Roger St H CPA",http://www.stgermaincpa.com,Lincoln,"Rhode Island",Accountant
srr@yazbak.biz,"Yazbak and Company",http://www.yazbak.biz,Cumberland,"Rhode Island","Chartered accountant"
dave@cardarelliricci.com,"Cardarelli & Ricci CPAs Inc.",http://www.cardarelliricci.com,Cranston,"Rhode Island",Accountant
lynn.pickering@saccoandsaccori.com,"Sacco and Sacco",http://www.saccoandsaccori.com,Cranston,"Rhode Island",Accountant
sherry@ferdinandicpa.com,"Sherry Ferdinandi CPA LLC",http://sherryferdinandicpa.com,Cranston,"Rhode Island","Chartered accountant"
alex@countingworks.com,"Lurod Tax",http://www.lurodtax.com,Cranston,"Rhode Island","Tax preparation"
info@barrettvaluation.com,"Barrett Jr John E CPA",http://www.barrettvaluation.com,Cranston,"Rhode Island",Accountant
nicole@stephenpenzacpa.com,"Stephen H. Penza CPA",http://www.stephenpenzacpa.com,Cranston,"Rhode Island","Chartered accountant"
russ@heatoncpa.com,"Russell E Heaton CPA",http://www.heatoncpa.com,Cranston,"Rhode Island",Accountant
andrew@skylineaccountingservices.com,"Edward Avarista Ltd",http://www.skylineri.com,Warwick,"Rhode Island",Accountant
swv@swvcpas.com,"Sinel Wilfand & Vinci",http://www.swvcpas.com,Warwick,"Rhode Island",Accountant
paul@cstcpa.com,"Campana Sarza & Tatewosian LLP",http://cstcpa.com,Warwick,"Rhode Island","Chartered accountant"
stg@gentilecpa.com,"Gentile Stephen T CPA",http://gentilecpa.com,Warwick,"Rhode Island","Chartered accountant"
info@platinumtaxri.com,"Platinum Tax & Accounting Services LLC",http://www.platinumtaxri.com,Providence,"Rhode Island","Tax Advisor"
