email,company,website,city,state,profession
theothersidelandscaping@gmail.com,"Silva Agency",http://www.theothersidelandscape.com,"Central Falls","Rhode Island","Tax preparation service"
refundmaxx@gmail.com,Refundmax,http://www.refundmaxri.com,"North Providence","Rhode Island","Tax preparation"
fordandmessereinc@gmail.com,"Ford & Messere Inc.",http://www.fordandmessereinc.com,Portsmouth,"Rhode Island","Tax preparation service"
mrfsmcpa@aol.com,"Frank S. Mansella Inc. CPA MST",http://mrfsmcpa.com,Warwick,"Rhode Island",Accountant
pineyroservices@gmail.com,"Pineyros Services",http://pineyroservicesllc.com,Providence,"Rhode Island",Accountant
rraymondcpa@gmail.com,"One Source Small Business Consultants",http://www.myonesourcebiz.com,"North Kingstown","Rhode Island","Chartered accountant"
s.a.freitas.cpa@gmail.com,"S.A. Freitas CPA",http://safreitascpa.com,"East Providence","Rhode Island","Chartered accountant"
ward2asousa.cityofeastprov@gmail.com,"East Providence Tax Collector",http://www.eastprovidenceri.net,"East Providence","Rhode Island","City Tax Office"
allegrettiandassociates@gmail.com,"Allegretti & Associates",http://www.allegrettiassociates.com,Lincoln,"Rhode Island","Tax preparation service"
cpareposa@gmail.com,"ULTRAccounting LLC",http://www.ultraccounting.com,Narragansett,"Rhode Island",Accountant
tsbtrain@gmail.com,"Top Secret Bookkeeping",http://topsecretbookkeeping.com,Woonsocket,"Rhode Island",Accountant
