email,company,website,city,state,profession
msscpas@suddenlink.net,"Southward Kris CPA",http://www.abilenecpas.net,Abilene,Texas,Accountant
manager@gage-company.com,"Layton & Gage CPAs LLP",http://www.lgadvisors.net,Abilene,Texas,Accountant
dcarter@carterasset.com,"DILLON A. COBB CPA/PFS CFP",http://www.carterasset.com,Abilene,Texas,"Chartered accountant"
alex@countingworks.com,"Katz Consulting Bookkeeping & Tax Services LLC",http://www.katzbookkeeping.com,Abilene,Texas,Accountant
info@bellbilling.com,"Bell Billing Services",http://www.bellbilling.com,Abilene,Texas,Accountant
cpa@keycitycpa.com,"Katie E Parnell CPA PLLC",http://www.keycitycpa.com,Abilene,Texas,"Accounting firm"
info@dmspropertytax.com,"DMS & Company",http://dmspropertytax.com,Abilene,Texas,"Tax Advisor"
sandra@bigcountrybookkeeping.com,"Big Country Bookkeeping",http://www.bigcountrybookkeeping.com,Abilene,Texas,Accountant
ksheldon@amacpas.com,"Johnson & Sheldon PLLC",http://www.amacpas.com,Amarillo,Texas,"Tax preparation service"
myoung@dpfcpa.com,"Doshier Pickens & Francis LLC",http://www.dpfcpa.com,Amarillo,Texas,Accountant
jgrogan@intaccounting.com,"Integrated Accounting Systems",http://intaccounting.com,Amarillo,Texas,Accountant
mark@kilecpa.com,"Kile & Co PC",http://www.kilecpa.com,Amarillo,Texas,Accountant
info@terracpafirm.com,"Terra Accounting & Consulting PLLC",http://www.terracpafirm.com,Amarillo,Texas,"Chartered accountant"
ashley@ashleywarecpa.com,"Ashley Ware CPA",http://ashleywarecpa.com,Amarillo,Texas,"Tax preparation"
info@pridecpa.com,"Mickey M. Pride CPA",http://www.mickeypridecpa.com,Amarillo,Texas,"Tax preparation service"
lisa@lisabacabookkeeping.com,"Lisa Baca Bookkeeping",http://lisabacabookkeeping.com,Amarillo,Texas,"Bookkeeping service"
sherrie@taxequences.com,Taxequences,http://www.taxequences.com,Amarillo,Texas,"Tax preparation service"
jshafer@momentumin.com,"Shafer Jim CPA",http://www.jameseshafer.com,Amarillo,Texas,"Financial Advisor"
dmca_agent@primerica.com,"Primerica Financial Services",http://www.primerica.com,Amarillo,Texas,"Financial Advisor"
debbie@pathwayz.com,"Cloud 9 Services LLC",http://www.cloud9connect.net,Amarillo,Texas,Accountant
nancy@mccartneycpa.com,"McCartney & Baber Inc. CPA",http://www.mccartneycpa.com,Arlington,Texas,Accountant
mikel@smscpatx.com,"Shelton Mead & Shelton PLLC",http://www.smscpatx.com,Arlington,Texas,"Tax preparation service"
jloteryman@txcpaoffice.com,"Jack Loteryman CPA PC",http://www.jackloterymancpa.com,Arlington,Texas,"Chartered accountant"
lhayen@parkercpas.com,"Richardson Melinda CPA",http://www.parkercpas.com,Arlington,Texas,Accountant
pscott@scottfinancialconsulting.com,"Scott Financial Consulting Services - Phyllis Scott CPA",http://www.scottfinancialconsulting.com,Arlington,Texas,"Chartered accountant"
info@wjm-cpa.com,"Willa Jo Mills CPA",http://www.wjm-cpa.com,Arlington,Texas,"Tax preparation service"
al@arlington-cpa.com,"Al Carroll CPA PLLC",http://www.arlington-cpa.com,Arlington,Texas,"Chartered accountant"
cpa@whitsellandcompany.com,"Whitsell & Co",http://www.whitsellandcompany.com,Arlington,Texas,Accountant
tomj@tbjohnsoncpa.com,"Tom B Johnson CPA PC: Johnson Thomas B CPA",http://www.tbjohnsoncpa.com,Arlington,Texas,"Tax preparation service"
elaine@nonprofit-tax.com,"Sommerville & Associates P.C.",http://www.nonprofit-tax.com,Arlington,Texas,Accountant
steve@sadaviscpa.com,"Stephen A. Davis CPA",http://www.sadaviscpa.com,Arlington,Texas,"Chartered accountant"
djacctcpa@sbcglobal.net,"Johnson Dick CPA",http://www.dickjohnsoncpa.com,Arlington,Texas,Accountant
barry@johnsonco-cpas.com,"R. Barry Johnson & Co P.C.",http://www.johnsonco-cpas.com,Arlington,Texas,"Tax preparation"
mgbolabo@sbcglobal.net,"Gbolabo Moses CPA",http://www.gbolabocpa.com,Arlington,Texas,Accountant
info@lonestarconsultinggroup.com,"Joe M. Johnson CPA",http://www.lonestarconsultinggroup.com,Arlington,Texas,"Chartered accountant"
info@cctdcpa.com,"Crawford Carter & Durbin LLC",http://www.cctdcpa.com,Arlington,Texas,"Chartered accountant"
teresaday-fickel@tdf-cpa.com,"Teresa Day-Fickel",http://tdf-cpa.com,Arlington,Texas,Accountant
info@elitetax.us,"ELITE TAX",http://www.elitetax.us,Arlington,Texas,"Tax preparation service"
sandra@asbooktax.com,"Optimum Tax Refund",http://www.asbooktax.com,Arlington,Texas,"Tax preparation service"
sam@samwilsoncpa.com,"Sam Wilson CPA",http://samwilsoncpa.com,"Fort Worth",Texas,"Chartered accountant"
vince@mytexascpa.com,"Porter & Company CPAs",http://www.mytexascpa.com,Irving,Texas,"Accounting firm"
