email,company,website,city,state,profession
info@envisionarchitects.com,"Envision Architects PC",http://www.envisionarchitects.com,Albany,"New York",Architect
awilson@ltrw-arch.com,"Lacey Thaler Reilly Wilson Architecture & Preservation",http://ltrw-arch.com,Albany,"New York",Architect
wallant@wallantarchitecture.com,"Wallant Architects",http://www.wallantarchitects.com,Rensselaer,"New York",Architect
info@sandersarchitects.com,"Harris A. Sanders Architects P.C.",http://www.sandersarchitects.com,Albany,"New York",Architect
dand@ddarch.com,"Dembling & Dembling Architects",https://www.ddarch.com,Albany,"New York",Architect
resumes@jgwaarchitects.com,"John G Waite Associates Architects",http://www.jgwaarchitects.com,Albany,"New York",Architect
emergingprofessionals@aia.org,"American Institute-Architects",https://www.aia.org,Albany,"New York",Architect
info@hamlindesigngroup.com,"Hamlin Design Group",http://www.hamlindesigngroup.com,Albany,"New York",Architect
jim@angeramearchitects.com,"Angerame Architects",https://angeramearchitects.com,Albany,"New York",Architect
kollinger@eypae.com,"EYP Architecture & Engineering",https://www.eypae.com,Albany,"New York",Architect
info@wcgsarchitects.com,"WCGS Architects: Gillies Peter",http://www.wcgsarchitects.com,Albany,"New York",Architect
rbucher@designlogicarchitects.com,"Design Logic Architects PC",http://www.designlogicarchitects.com,Albany,"New York",Architect
cjgoodwin@csarchpc.com,CSArch,https://www.csarchpc.com,Albany,"New York","Architecture firm"
office@ridapllc.com,"RIDA Architecture PLLC",https://ridapllc.com,Albany,"New York",Architect
info@adaparch.com,"Adaptive Architecture",http://adaparch.com,Albany,"New York",Architect
info@theseptiengroup.com,"Tetra Tech Architects & Engineers",http://tetratech-ae.com,Albany,"New York",Architect
renewables@labellapc.com,"LaBella Associates",http://www.labellapc.com,Delmar,"New York",Architect
gkevgas@bergmannpc.com,"Bergmann Associates",http://www.bergmannpc.com,Albany,"New York",Architect
ctucker@seidesigngroup.com,"SEI Design Group",http://www.seidesigngroup.com,Albany,"New York",Architect
tina.mesiti@memasidesign.com,MEMASI,http://memasidesign.com,Albany,"New York",Architect
info@aplususa.com,"Architecture Plus",http://www.aplususa.com,Troy,"New York",Architect
phughes@mosaicaa.com,"Mosaic Associates Architects",http://www.mosaicaa.com,Troy,"New York",Architect
sld@springlinedesign.com,"Spring Line Design Architecture + Engineering LLP",http://www.springlinedesign.com,"East Greenbush","New York",Architect
