email,company,website,city,state,profession
studio@crosson.co.nz,"Crosson Architects Limited",http://www.crosson.co.nz,Waitemata,Auckland,Architect
daniel@dma.nz,"Daniel Marshall Architects",https://dma.nz,Waitemata,Auckland,Architect
contact@fearonhay.com,"Fearon Hay Architects",http://fearonhay.com,Waitemata,Auckland,Architect
amyh@fourwallsarchitecture.co.nz,"Four Walls Architecture Ltd",http://www.fourwallsarchitecture.co.nz,Waitemata,Auckland,Architect
tony@koia.co.nz,"Koia Architects Auckland",http://www.koia.co.nz,Waitemata,Auckland,Architect
info@g-a.co.nz,"Glamuzina Architects",http://www.g-a.co.nz,Waitemata,Auckland,Architect
info@milieu-arch.nz,"Milieu Architecture and Design",http://www.milieu-arch.nz,Waitemata,Auckland,Architect
wayne@houstonarchitects.co.nz,"Houston Architects Ltd",https://www.houstonarchitects.co.nz,Albert-Eden,Auckland,Architect
pip@cheshirearchitects.com,"Cheshire Architects",http://cheshirearchitects.com,Waitemata,Auckland,Architect
ruby@rubyseeto.com,"Ron Seeto Architect",http://www.ronseetoarchitect.co.nz,Orakei,Auckland,Architect
alan.poor@xtra.co.nz,"Alan Poor Architects",https://architecturenow.co.nz,Albert-Eden,Auckland,Architect
hermann@jessop.co.nz,"Jessop Architects",https://jessoparchitects.co.nz,Waitemata,Auckland,Architect
gerrad@gha.nz,"Gerrad Hall Architects",http://www.gerradhallarchitects.co.nz,Waitemata,Auckland,Architect
jenny.webb@warrenandmahoney.com,"Warren & Mahoney Architects",http://www.warrenandmahoney.com,Waitemata,Auckland,Architect
info@toa.net.nz,"TOA Architects",http://toa.net.nz,Waitemata,Auckland,"Architecture firm"
erict@ignitearchitects.com,"Ignite Architects",http://www.ignitearchitects.com,Waitemata,Auckland,"Architecture firm"
natalie@contextarchitects.com,"Context Architects Ltd",http://www.contextarchitects.com,Albert-Eden,Auckland,Architect
goldcoast@buchangroup.com.au,"Buchan Auckland",https://www.buchangroup.com,Waitemata,Auckland,Architect
sue.ross@ascarchitects.co.nz,"ASC Architects",http://www.ascarchitects.co.nz,Waitemata,Auckland,Architect
isabelle@ozac.co.nz,"OZAC Architects Ltd",http://www.ozac.co.nz,Waitemata,Auckland,Architect
kate@rogannash.com,"Rogan Nash Architects Ltd.",http://www.rogannash.com,Waitemata,Auckland,Architect
t.asche@me.com,"Sumich Chaplin Architects",http://www.sumichchaplin.com,Waitemata,Auckland,Architect
office@herbstarchitects.co.nz,"Herbst Architects Ltd",http://herbstarchitects.co.nz,Waitemata,Auckland,Architect
cara@brewerdavidson.co.nz,"Architecture Brewer Davidson Ltd",http://www.brewerdavidson.co.nz,Waitemata,Auckland,Architect
alastair@mercerandmercer.co.nz,"Mercer and Mercer Architects Ltd - Auckland",http://mercerandmercer.co.nz,Waitemata,Auckland,Architect
recruit@myhr.work,"Box™ Design & Build - Auckland",https://www.box.co.nz,Albert-Eden,Auckland,"Architectural Designer"
neil@athfieldarchitects.co.nz,"Athfield Architects Ltd",http://www.athfieldarchitects.co.nz,Waitemata,Auckland,Architect
architects@bdgarchitects.co.nz,"BDG Architects",https://bdgarchitects.co.nz,Albert-Eden,Auckland,Architect
michael@mollerarchitects.com,"Moller Architects",http://www.mollerarchitects.com,Waitemata,Auckland,Architect
directors@rtastudio.co.nz,"RTA Studio Ltd",http://www.rtastudio.co.nz,Waitemata,Auckland,Architect
darrylsang@sangarchitects.com,"Sang Architects",http://sangarchitects.com,Maungakiekie-Tamaki,Auckland,Architect
office@salmondreed.co.nz,"Salmond Reed Architects",http://www.salmondreed.co.nz,Devonport-Takapuna,Auckland,Architect
info@construkt.co.nz,"Construkt Architects",http://www.construkt.nz,Waitemata,Auckland,Architect
mail@stevenslawson.co.nz,"Stevens Lawson Architects Limited",https://www.stevenslawson.co.nz,Waitemata,Auckland,"Architecture firm"
stephen@sjarchitects.nz,"Stephen Jones Architects",http://www.sjonesarchitects.co.nz,Albert-Eden,Auckland,Architect
chris.reeves@bayleys.co.nz,"Gel Architects",http://www.gelarchitects.com,Waitemata,Auckland,Architect
elfie@sgaltd.co.nz,"SGA (Strachan Group Architects)",http://www.sgaltd.co.nz,Albert-Eden,Auckland,Architect
toby@inhouse.nz,"Jack McKinney Architects",http://www.jackmckinney.co.nz,Waitemata,Auckland,Architect
info@klein.co.nz,"Klein Architects",http://www.klein.co.nz,Waitemata,Auckland,Architect
hamish@fabricate.co.nz,"Fabricate Architecture",http://www.fabricate.co.nz,Waitemata,Auckland,Architect
email@leuschke.co.nz,"Leuschke Group Architects",https://leuschke.co.nz,Waitemata,Auckland,Architect
roger@morrisonarchitects.co.nz,"Morrison Architects",http://www.morrisonarchitects.co.nz,Albert-Eden,Auckland,Architect
jm@dalman.co.nz,"Dalman Architects",http://dalman.co.nz,Waitemata,Auckland,Architect
info@astudio.net.nz,"A Studio Architects",http://astudio.net.nz,Waitemata,Auckland,Architect
nharrison@studioda.co.nz,"Studio Design + Architecture",http://www.studioda.co.nz,Waitemata,Auckland,Architect
info@dko.com.au,"DKO Architecture",http://www.dko.co.nz,Waitemata,Auckland,Architect
strez@architectassociates.co.nz,"Architect Associates",http://www.architectassociates.co.nz,Waitemata,Auckland,Architect
jane.hill@chowhill.co.nz,"Chow:Hill Architects",http://www.chowhill.co.nz,Waitemata,Auckland,"Architectural Designer"
anna.johnson@adc.co.nz,"ADC Architects",http://www.adc.co.nz,Waitemata,Auckland,Architect
joe.mcewan@teamarchitects.co.nz,"Avery Team Architects",http://www.averyarchitects.co.nz,Albert-Eden,Auckland,Architect
simonw@wa.co.nz,"Williams Architects",http://www.wa.co.nz,Waitemata,Auckland,Architect
