email,company,website,city,state,profession
communications@dpa.com.sg,"DP Architects",http://www.dpa.com.sg,Singapore,Singapore,Architect
jobs@talearchitects.com.sg,"TA.LE Architects",https://talearchitects.com.sg,Singapore,Singapore,"Architecture firm"
scda@scdaarchitects.com,"SCDA Architects",http://www.scdaarchitects.com,Singapore,Singapore,Architect
enquiries@woha.net,"WOHA Architects",https://www.woha.net,Singapore,Singapore,Architect
rgarch@rgarchitects.com.sg,"RG Architects",http://www.rgarchitects.com.sg,Singapore,Singapore,Architect
cliffordchua@ciap.sg,"CIAP Architects Pte Ltd",http://www.ciap.sg,Singapore,Singapore,"Architecture firm"
info@sia.org.sg,"Singapore Institute of Architects",http://sia.org.sg,Singapore,Singapore,Architect
rspgurgaon@rspindia.net,RSP,http://www.rsp.sg,Singapore,Singapore,Architect
singapore@toposdesign.com,"TOPOS Design Studio Pte Ltd",http://www.toposdesign.com,Singapore,Singapore,Architect
liuwo@liuwo.com.sg,"Liu & Wo Architects",http://www.liuwo.com.sg,Singapore,Singapore,Architect
careers@pomeroystudio.sg,"Pomeroy Studio",http://www.pomeroystudio.sg,Singapore,Singapore,Architect
pr@laudarchitects.com,"LAUD Architects Pte Ltd",https://www.laudarchitects.com,Singapore,Singapore,Architect
enquiry@wallflower.com.sg,"Wallflower Architecture",http://www.wallflower.com.sg,Singapore,Singapore,Architect
info@mingarchitects.com,"Ming Architects",https://www.mingarchitects.com,Singapore,Singapore,Architect
aga@aga.com.sg,"AGA Architects",http://www.aga.com.sg,Singapore,Singapore,Architect
info@parkassociates.com.sg,"Park + Associates",http://parkassociates.com.sg,Singapore,Singapore,Architect
info@wow.sg,"WOW ARCHITECTS",http://www.wow.sg,Singapore,Singapore,"Architecture firm"
yeo.sh@saaarchitects.com.sg,"SAA Architects Pte Ltd",https://saaarchitects.com.sg,Singapore,Singapore,Architect
ptme@p-t-group.com,"P & T Consultants Pte Ltd",https://www.p-t-group.com,Singapore,Singapore,"Architecture firm"
unwk@a61.com.sg,"Architects 61 Pte. Ltd.",https://a61.com.sg,Singapore,Singapore,Architect
office@piarchitects.sg,"PI ARCHITECTS",http://www.piarchitects.sg,"Mei Hwan",Singapore,"Architecture firm"
info@sparkarchitects.com,"Spark Architects",http://www.sparkarchitects.com,"Mei Hwan",Singapore,Architect
pr-newdelhi@aedas.com,Aedas,http://www.aedas.com,Singapore,Singapore,Architect
mkpl@mkpl.com.sg,"MKPL Architects Pte Ltd",http://www.mkpl.sg,Singapore,Singapore,Architect
info@aamertaher.com,"Aamer Architects",http://www.aamertaher.com,Singapore,Singapore,"Architecture firm"
recruit@ixa.com.sg,"IX Architects Pte Ltd",http://www.ixa.com.sg,"Mei Hwan",Singapore,"Architecture firm"
kho@k2ld.com.au,"K2LD Architects Pte Ltd",http://www.k2ld.com,Singapore,Singapore,Architect
quek.lena@ong-ong.com,"ONG&ONG Architects",https://www.ong-ong.com,Singapore,Singapore,"Architecture firm"
general@idarchitects.com.sg,"Id Architects",https://www.idarchitects.com.sg,Singapore,Singapore,Architect
dca-shanghai@dca-architects.com,"DCA Architects Pte Ltd",http://www.dca-architects.com,Singapore,Singapore,Architect
careers@rdca.com.sg,"RDC Architects Pte Ltd",http://www.rdca.com.sg,Singapore,Singapore,Architect
sha@jgp-group.com,"JGP Architecture (S) Pte. Ltd.",http://www.jgp-group.com,Singapore,Singapore,Architect
hireme@minkkearchitects.com,"Minkke Architects Pte Ltd",http://www.minkkearchitects.com,Singapore,Singapore,"Architecture firm"
info@adxarchitects.com,"ADX Architects Pte Ltd",http://www.adxarchitects.com,"Mei Hwan",Singapore,Architect
c168@con168.com.sg,"Consortium 168 Architects Pte Ltd",http://www.c168.com.sg,Singapore,Singapore,Architect
awpk@awparchitects.com,"AWP Pte. Ltd.",http://www.awparchitects.com,Singapore,Singapore,Architect
shannon_mcdougall@gensler.com,"Gensler Singapore Office",http://www.gensler.com,Singapore,Singapore,"Architectural Designer"
jobs@muarchitects.sg,"MU ARCHITECTS",http://www.muarchitects.sg,Singapore,Singapore,"Architecture firm"
buildwith@swingarchitects.com,"Swing Architects",http://www.swingarchitects.com,Singapore,Singapore,"Architecture firm"
info@forum-architects.com,"Forum Architects",http://forum-architects.com,Singapore,Singapore,Architect
recruit@dla.com.sg,"Design Link Architects Pte. Ltd.",https://www.designlinkarchitects.com,Singapore,Singapore,"Architecture firm"
info@quodarchitects.com,"Architecture and Interior Design - Quod Architects",http://quodarchitects.com,Singapore,Singapore,"Architecture firm"
hcfong@hcfa.com.sg,"HCF and Associates",http://www.hcfa.com.sg,Singapore,Singapore,Architect
shermanstave@stxla.com,"STX Landscape Architects",http://www.stxla.com,Singapore,Singapore,"Landscape architect"
wynn_cam@morrow.sg,"Morrow Architects & Planners Pte.Ltd.",http://morrow.sg,Singapore,Singapore,"Architecture firm"
hr@formwerkz.com,"Formwerkz Architects",http://formwerkz.com,Singapore,Singapore,Architect
james@designgroup.com.sg,"Design Group Incorporated Architects",http://www.designgroup.com.sg,Singapore,Singapore,Architect
ecoid@ecoid.com,"eco-id architects",http://www.ecoid.com,Singapore,Singapore,Architect
henry@e-architect.sg,"HDA Architects",http://www.e-architect.biz,Singapore,Singapore,Architect
info@urban3.com.sg,"Urban 3 Architects",http://www.urban3.com.sg,Singapore,Singapore,Architect
findus@provolk.sg,"Provolk Architects",http://www.provolk.sg,Singapore,Singapore,Architect
maps@mapsdesign.com,"Maps Design Studio",http://www.mapsdesign.com,Singapore,Singapore,Architect
fumi@len-til.com,"Singapore Institute of Landscape Architects",http://www.sila.org.sg,Singapore,Singapore,"Landscape architect"
info@arcstudio.com.sg,"Arc Studio Architecture & Urbanism Pte Ltd",http://www.arcstudio.com.sg,Singapore,Singapore,Architect
office@newspace.com.sg,"New Space Architects Pte. Ltd.",http://www.newspace.com.sg,Singapore,Singapore,Architect
dubai@bharchitects.com,"B+H Architects",https://www.bharchitects.com,Singapore,Singapore,Architect
ma@atelier-ma.com,"Atelier M+A",https://atelier-ma.com,Singapore,Singapore,Architect
general@modearch.com.sg,"Mode Architects",https://www.modearch.com.sg,Singapore,Singapore,Architect
mail@avid.com.sg,"LT&T AVID ARCHITECTS PTE LTD",http://www.avid.com.sg,Singapore,Singapore,"Architecture firm"
info@mozaac.com,"Mozaac Architects",http://mozaac.com,Singapore,Singapore,Architect
studio@bhatch.net,"BHATCH Architects",http://www.bhatch.net,Singapore,Singapore,Architect
elson@hbdesign.biz,"HB Design Pte Ltd",http://www.hbdesign.biz,Singapore,Singapore,Architect
