email,"Company Name",City,State/Region,"Website URL",Profession
arlpfina@nycap.rr.com,"RLP Financial Management",Schenectady,NY,http://www.rlpfinancial.com/,accountants
admin@stevevogtcpa.com,"Steven R. Jones"
info@bgmccpa.com,"Dean M Gent CPA Residence",Schenectady,NY,http://bgmccpa.com/,accountants
info@kgbcpas.com,"Knapek Gabriele & Bottini LLC",Latham,NY,http://www.kgbcpas.com/welcome.php,accountants
attyvincelette@vincelettelaw.org,"Vincelette Law Firm",Albany,NY,http://www.vincelettelaw.com/,accountants
info@pivotsante.com,"Pivot Views","Mount Vernon",NY,http://pivotviews.com/,accountants
info@marcushiltoncpa.com,"Marcus Hilton CPA","The Bronx",NY,http://marcushiltoncpa.com/contact.php,accountants
info@solemnlane-accountancy.co.uk,"Accountancy Lane"
mjpisani@scaranocpa.com,"Scarano & Co","New Rochelle",NY,http://scaranocpa.com/,accountants
info@pizzalagreca.gr,"La Greca & La Greca",Larchmont,NY,http://lagreca.com/,accountants
peterocpa@cox.net,"Peter To CPA","New Rochelle",NY,http://www.petertocpa.com/,accountants
taxes@sscpa.co,"Sanossian Sardis & Co LLP",Scarsdale,NY,http://www.sscpa.co/,accountants
info@gbcpa.ca,"Giovanni Tax Services Inc",Mamaroneck,NY,http://www.giovannitaxservice.com/,accountants
burnsrodriguez@brodtax.com,"Burns Rodriguez & Associates Tax Services","The Bronx",NY,http://www.brodtax.com/,accountants
catherine.censullo@cmcensullocpa.com,"CMC Wealth Management","White Plains",NY,http://www.cmcwealthmgt.com/,accountants
Jeffrey@jeffreynallen.com,"Jeffrey N Allen CPA","White Plains",NY,http://www.jeffreynallencpa.com/,accountants
bofori@karposandassociates.com,"Karpos & Associates",Hartsdale,NY,http://www.karposandassociates.com/,accountants
info@laverghettacpa.com,"LaVerghetta CPA PC","White Plains",NY,http://laverghettacpa.com/,accountants
info@MontoneTax.com,"Joseph J Montone & Co",Schenectady,NY,http://www.montonetax.com/,accountants
info@dsinghcpa.com,"Deodat S Singh PC","White Plains",NY,http://www.dsinghcpa.com/contact.php,accountants
