email,company,website,city,state,profession
smile@lamberthandlamberth.com,"Lamberth & Lamberth",http://www.lamberthandlamberth.com,"Alexander City",Alabama,"Dental clinic"
pellcity@pediatricdentalassociatesal.com,"Pediatric Dental Associates",https://pediatricdentalassociatesal.com,"Pell City",Alabama,"Paediatric Dentist"
kelly@obriendental.com,"O'Brien Dental",http://www.obriendental.com,Auburn,Alabama,"Cosmetic dentist"
wendy@talladegadental.com,"Talladega Dental Associates",https://www.talladegadental.com,Talladega,Alabama,"General Dentistry"
ggilmore@jawdocs.net,"Oral & Maxillofacial Surgery",http://www.jawdocs.net,Auburn,Alabama,"Oral surgeon"
pjordan@riverregiondentistry.com,"R Harrell Bullard DMD",http://www.montgomerydentist.com,Montgomery,Alabama,"General Dentistry"
andersondental1@bellsouth.net,"Anderson Dental",https://www.myandersondental.com,Alabaster,Alabama,"Dental clinic"
brian@barrettdmd.com,"Dr. Brian Eugene Barrett",http://www.barrettdmd.com,Wetumpka,Alabama,"Cosmetic dentist"
dg-accessibility@bcbsnc.com,"Blue Cross & Blue Shield of AL",https://www.bluecrossnc.com,Andalusia,Alabama,"Insurance agency"
appointments@walkerortho.com,"Walker & Walker",http://www.walkerortho.com,Anniston,Alabama,"Dental clinic"
ssnow@childrenandteendentalgroup.com,"Dr. Donald T. Norby DMD - Children & Teen Dental of Alabama",https://www.childrenandteendentalal.com,Oxford,Alabama,"Paediatric Dentist"
donna@southsidefamilydentistry.com,"Southside Family & Cosmetic Dentistry",http://southsidefamilydentistry.com,Southside,Alabama,"Dental clinic"
michael.sant@affordabledentures.com,"Affordable Dentures & Implants",https://www.affordabledentures.com,"Pell City",Alabama,"Denture Care Centre"
kschambeau@bellsouth.net,"Schambeau Dental Care PC",http://www.schambeaudental.com,Bessemer,Alabama,"Dental clinic"
tabgat@psmilesal.com,"Pediatric Smiles",http://psmilesal.com,Bessemer,Alabama,"Paediatric Dentist"
stacie@midfielddentalcenter.com,"Midfield Dental Center",http://www.midfielddentalcenter.com,Birmingham,Alabama,"Dental clinic"
cmarks@alabamafamilydentists.com,"Alabama Family Dentists",http://www.alabamafamilydentists.com,Birmingham,Alabama,"Dental clinic"
cornerstonedental@att.net,"Cornerstone Dental",http://solidrockdentistry.com,Helena,Alabama,"Dental clinic"
dentaled@alabastersmiles.com,"Alabaster Smiles Pediatric Dentistry",https://www.alabastersmiles.com,Alabaster,Alabama,"Paediatric Dentist"
cindy@tedudney.com,"Dr. Thomas Dudney",http://www.tedudney.com,Alabaster,Alabama,"Cosmetic dentist"
natasha.traughber@cahabamedicalcare.com,"Cahaba Medical Care - Dental Center (Birmingham)",https://www.cahabamedicalcare.com,Birmingham,Alabama,"Dental clinic"
jameslecroy@lecroydental.com,"LeCroy Dental",https://lecroydental.com,Hoover,Alabama,"General Dentistry"
drpaul@petznickdental.com,"Petznick Dental",http://petznickdental.com,Homewood,Alabama,"General Dentistry"
drkoch@kochaesthetics.com,"Koch Aesthetic Dentistry - The Dental Spa",https://www.kochaesthetics.com,"Suite 323",Alabama,"Cosmetic dentist"
ahowell@drrohner.com,"Angelica Rohner Pediatric Dentistry",https://www.drrohner.com,Birmingham,Alabama,"Paediatric Dentist"
kristi@southerndentalbirmingham.com,"Southern Dental Birmingham",https://www.southerndentalbirmingham.com,Birmingham,Alabama,"General Dentistry"
amanda@invernessfamilydentistry.com,"Inverness Family & Cosmetic Dentistry",http://www.invernessfamilydentistry.com,Birmingham,Alabama,"Cosmetic Dentist"
hjones@drbakerchambliss.com,"Medplex Pediatric Dentistry",http://www.drbakerchambliss.com,Birmingham,Alabama,"Pediatric Dentist"
manderson@lifedentalgroupllc.com,"Vestavia Dental",https://vestavia-dental.com,Vestavia,Alabama,"Dental clinic"
drdavid@emergencydentist247.com,"Emergency Dentist Birmingham",https://www.emergencydentist247.com,Birmingham,Alabama,"Emergency dental service"
beth@thomaspediatricdentistry.com,"Dr. Clark Thomas Pediatric Dentistry",https://www.thomaspediatricdentistry.com,Birmingham,Alabama,"Paediatric Dentist"
icki@trussvilledentistry.com,"Trussville Dentistry",http://www.trussvilledentistry.com,Birmingham,Alabama,"Dental implants periodontist"
lauryn@robersondentalcare.com,"Roberson Dental Care",https://www.robersondentalcare.com,Birmingham,Alabama,"Dental clinic"
crafferty@kochaesthetics.com,"Koch Aesthetic Dentistry",http://www.dentalimplantsbirminghamal.com,Birmingham,Alabama,"Cosmetic dentist"
smilemaniscalco@bellsouth.net,"Maniscalco Cosmetic Dentistry",http://www.greatsmilesbirmingham.com,Birmingham,Alabama,"Cosmetic dentist"
cathy@toddreevesdmd.com,"Reeves Cosmetic Dentistry At Greystone",http://www.toddreevesdmd.com,Birmingham,Alabama,"Cosmetic dentist"
mkellerddspc@brookwooddentist.com,"Michael A. Keller DDS PC",http://mkellerdds.com,Birmingham,Alabama,"Paediatric Dentist"
sricketts@purchasingalliance.com,"Delta Dental Insurance Co",https://www.deltadentalins.com,Birmingham,Alabama,"Insurance agency"
david.roden@rodenoralsurgery.com,"Dr. R. David Roden Jr. DMD MD",https://www.rodenoralsurgery.com,Birmingham,Alabama,"Oral surgeon"
drthompson2224@bellsouth.net,"DR. DONALD W THOMPSON DMD",https://www.donaldwthompsondmd.com,"Birmingham Ala",Alabama,"Dental implants periodontist"
drlisa@lisamillerofs.com,"Lisa Miller Oral Facial Surgery",http://www.lisamillerofs.com,Birmingham,Alabama,"Oral surgeon"
haden.hudson@physiciansmutual.com,"Brooke Chelewski: Physicians Mutual",https://www.physiciansmutual.com,Birmingham,Alabama,"Insurance agency"
emergencies@emergencydentistaugustaga.com,"Emergency Dentist Birmingham AL",https://www.emergencydentistbirminghamal.com,Birmingham,Alabama,"Emergency dental service"
nick.cristal.hernandez@mpowerministries.org,"M Power Ministries",http://www.mpowerministries.org,Birmingham,Alabama,"General Dentistry"
appts@mobilekidsdentist.com,"Mobile Premier Pediatric Dentistry",http://www.mobilekidsdentist.com,Mobile,Alabama,"Dental clinic"
malbispeddent@bellsouth.net,"Malbis Parkway Pediatric Dentistry",https://www.malbispediatricdentistry.com,"Spanish Fort",Alabama,"Paediatric Dentist"
bbennett@childrensdentistryofcentralalabama.com,"Children's Dentistry of Central Alabama",http://www.childrensdentistryofcentralalabama.com,"Valley Grande",Alabama,"Pediatric Dentist"
rhonda@dentists4children.com,"Dentists 4 Children",http://www.dentists4children.com,Montgomery,Alabama,"Paediatric Dentist"
doctor@gobeyonddental.com,"Beyond Dental",http://www.gobeyonddental.com,Cullman,Alabama,"Dental clinic"
appointments@huntsvilledentist.com,"Huntsville Dental Implants",http://huntsvilledentalimplants.com,Huntsville,Alabama,"Dental implants periodontist"
medplexhoover@pediatricdentalassociatesal.com,"Baker Chambliss",http://staging2.drbakerchambliss.com,Cullman,Alabama,"Pediatric dentist"
drmcgee@scottsboro.org,"Smile Solutions",http://www.smilescottsboro.com,Scottsboro,Alabama,"General Dentistry"
amanda@drjohnrutland.com,"John G. Rutland D.M.D. Family & Cosmetic Dentistry",http://www.drjohnrutland.com,Guntersville,Alabama,"Cosmetic dentist"
dmorris@licoa.com,"Life Insurance Company of Alabama",https://www.licoa.com,Gadsden,Alabama,"Insurance agency"
modell@libnat.com,"Northeast Alabama Pediatrics",http://www.libnat.com,Albertville,Alabama,"Insurance agency"
caregrouprecruiting@greatdentalplans.com,"Dental Health Programs Inc",http://communitydentalcare.org,Anniston,Alabama,"Dental clinic"
john@drjohnyork.com,"North Alabama Smiles",http://www.northalabamasmiles.com,Arab,Alabama,"General Dentistry"
fennells@angelafennell.com,"Angela S. Fennell DMD PC",https://www.angelafennell.com,Huntsville,Alabama,"Cosmetic dentist"
pschwartz@amdpi.com,"Geetha Thirumala DMD",http://www.forwarddental.com,Kenosha,Alabama,"Paediatric Dentist"
madison@dentalassociatesna.com,"Dental Associates of Madison",http://madison.dentalassociatesnearme.com,Madison,Alabama,"Dental clinic"
lwatson@southeastdentalsavings.com,"Southeast Dental Savings Plan",http://www.southeastdentalsavings.com,Huntsville,Alabama,"Insurance agency"
yolanda@drbogan.com,"Dr. David Bogan DMD",http://www.drbogan.com,Mobile,Alabama,"Dental implants periodontist"
jane.hilburn@affordablecare.com,"Dixie Dental",https://www.dixiedental.com,"Spanish Fort",Alabama,"Denture Care Centre"
front@fairhopemoderndental.com,"Fairhope Modern Dental",https://www.fairhopemoderndental.com,Fairhope,Alabama,"Dental implants periodontist"
dentist@montgomerydentalimplants.com,"Montgomery Dental Implants",http://montgomerydentalimplants.com,Montgomery,Alabama,"Dental implants periodontist"
blee@toothzone.com,"Tooth Zone",http://www.toothzonenetwork.com,Montgomery,Alabama,"Dental clinic"
smile@pikeroaddental.com,"Pike Road Dental",http://www.pikeroaddental.com,"Pike Rd",Alabama,"Dental clinic"
drb@burgesscenter.com,"Burgess Center",http://www.burgesscenter.com,Montgomery,Alabama,"Cosmetic dentist"
jsorrell@alconcrete.org,"Alabama Concrete Industries",https://alconcrete.org,Montgomery,Alabama,"General Dentistry"
dsides2@alfains.com,"Alfa Insurance",http://www.alfains.com,Montgomery,Alabama,"Insurance agency"
deervalleyfd@heartlanddentalcare.com,"Valley Family Dentistry",http://vfdwebsite.com,Valley,Alabama,"General Dentistry"
bruce@hiwaay.net,"Hickory Hills Dental Care",http://www.hickoryhillsdentalcare.com,Florence,Alabama,"Denture Care Centre"
russ@mcbridebenefits.com,"McBride Benefit Solutions",https://www.mcbridebenefits.com,Florence,Alabama,"Insurance agency"
hartleymax@bellsouth.net,"University General Dentistry",http://tuscaloosauniversitydentistry.com,Tuscaloosa,Alabama,"Dental clinic"
anya@smiledesigncenter.net,"The Smile Design Center",http://www.smiledesigncenter.net,Tuscaloosa,Alabama,"Dental clinic"
leslie.renaissance@bellsouth.net,"Renaissance Dental",http://tuscaloosadentist.net,Tuscaloosa,Alabama,"Dental clinic"
ntrammell@southlandbenefit.com,"Southland Benefit Solutions Administrator",https://www.southlandbenefit.com,Tuscaloosa,Alabama,"Insurance agency"
