email,company,website,city,state,profession
springfield@leapkidsdental.com,"Leap Kids Dental",https://leapkidsdental.com,"Hot Springs",Arkansas,"Paediatric Dentist"
nconway@smilesofarkansas.com,"Smiles of Arkansas",http://www.smilesofarkansas.com,Prescott,Arkansas,"Dental clinic"
kodwyer@htolaw.com,"Arkansas State Board of Dental Examiners",http://www.dentalboard.arkansas.gov,"Little Rock",Arkansas,"Insurance agency"
haysdental@sbcglobal.net,"Cliff Hays | Dental",http://www.cliffhaysdental.com,Benton,Arkansas,"Dental clinic"
blythevillehfd@higginbothamfamilydental.com,"Higginbotham Family Dental in Blytheville AR",https://www.higginbothamfamilydental.com,Blytheville,Arkansas,"Dental clinic"
dunnfamilydental@att.net,"Dunn Family Dental",http://www.dunnfamilydental.com,"North Little Rock",Arkansas,"Dental clinic"
dentist1@windstream.net,"Ashley County Family Dentisty",http://www.ashleycountyfamilydentistry.com,Crossett,Arkansas,"Dental clinic"
pearldentalne@aspidamail.com,"Smile Center",http://pepperellsmilecenter.com,"Forrest City",Arkansas,"General Dentistry"
kallen@cscdccaa.org,"Community Dental Clinic",http://cscdc.info,"Fort Smith",Arkansas,"Dental clinic"
sami@ftsmithdental.com,"Ft Smith Dental",http://ftsmithdental.com,"Fort Smith",Arkansas,"Dental clinic"
fortsmithoms@fsoms.com,"Fort Smith Oral & Mxllfcl",http://fsoms.com,"Fort Smith",Arkansas,"Dental clinic"
terrah@simonfamilydentistry.com,"Simon Family Dentistry",http://simonfamilydentistry.com,Alma,Arkansas,"Dental clinic"
sam@smile-shoppe.com,"Emily Fourmy DDS",https://www.smile-shoppe.com,Rogers,Arkansas,"Paediatric Dentist"
jenniferb@mobilecaredental.com,"Mobilecare Dental",https://www.mobilecaredental.com,"Van Buren",Arkansas,"Dental clinic"
bryant@summitdental.rocks,"Summit Dental Hot Springs",http://www.summitdentalarkansas.com,"Hot Springs",Arkansas,"Dental clinic"
bryant@impactoralsurgery.com,"Impact Oral Surgery",http://impactoralsurgery.com,"Hot Springs",Arkansas,"Oral surgeon"
linda@aoms.info,"Daron C. Praetzel DMD",http://www.facesbypraetzel.com,"Hot Springs",Arkansas,"Oral surgeon"
misee@miseeharris.com,"Dr. Misee Harris",http://www.miseeharris.com,Jonesboro,Arkansas,"Paediatric Dentist"
cindy@healthinssolutions.com,"Health Insurance Solutions",http://healthinssolutions.com,Jonesboro,Arkansas,"Insurance agency"
tomtull@healthcareinsuranceofar.com,"Healthcare Insurance of Arkansas",http://healthcareinsuranceofar.com,Jonesboro,Arkansas,"Insurance agency"
jonesboro-windover@leapkidsdental.com,"Pediatric Dentistry of Jonesboro",http://www.pediatricdentistryofjonesboro.com,Jonesboro,Arkansas,"Pediatric Dentists"
drd@drlesliedickinson.com,"Dickinson Dental",http://www.drlesliedickinson.com,"Little Rock",Arkansas,"Dental clinic"
bryant@tortorichoralsurgery.com,"Tortorich Oral Surgery",http://www.tortorichoralsurgery.com,Bryant,Arkansas,"Oral surgeon"
drhill@smilemagic.com,"Hill Family Dental",http://www.smilemagic.com,Sherwood,Arkansas,"Dental clinic"
docalley@docalley.com,"Ned E. Alley DDS PLLC",http://www.docalley.com,"Little Rock",Arkansas,"Dental clinic"
leslie@kitaorthodontics.com,"Kita Orthodontics",http://www.kitaorthodontics.com,"North Little Rock",Arkansas,"Dental clinic"
rich@tx-pt.com,"Arkansas State Dental Association",http://arkansasdentistry.org,Sherwood,Arkansas,"Dental clinic"
ryan.carrus@lpl.com,"Met Life",https://www.carrusfinancial.com,"Little Rock",Arkansas,"Insurance agency"
pam@mcmullanins.com,"McMullan Insurance Inc",https://www.mcmullaninsurance.net,"Ste 14",Arkansas,"Insurance agency"
asaxon@nwasmile.com,"Wisener Cooper & Fergus DDS",https://www.wisenercooperfergusdental.com,Rogers,Arkansas,"Dental clinic"
trish@nwasmiles.com,"dentist in rogers ar",https://www.nwasmiles.com,Rogers,Arkansas,"Cosmetic dentist"
myvillage@rockdentalbrands.com,"My Village Pediatric Dentistry",http://www.myvillagesmiles.com,Bentonville,Arkansas,"Paediatric Dentist"
harrison@os.inc,"Bolding Scotty DDS MS",http://os.inc,Fayetteville,Arkansas,"Oral and maxillofacial surgeon"
nm@moralesdmd.com,"Morales Dentistry",http://www.coralgablescosmeticdentist.com,Rogers,Arkansas,"Cosmetic dentist"
