email,company_name,website,city,state,profession
snoriegatls@yahoo.com,"Dentist In San Jose",http://dentistsanjoseca.com,"San Jose",California,Dentist
perfectsmilesanjose@gmail.com,"Perfect Smile Dental Care - San Jose",http://www.perfectsmilesanjose.com,"San Jose",California,"Dental clinic"
abornfamilydental@gmail.com,"Aborn Family Dental",http://www.abornfamilydental.com,"San Jose",California,Dentist
hdefaii@gmail.com,"San Jose Smile Center",http://www.sanjosesmiledentist.com,"San Jose",California,Dentist
aarishadentalft@gmail.com,"Aarisha Dental - Jolly Shah DDS",http://www.aarishadental.com,"San Jose",California,Dentist
johnmassoud@gmail.com,"Willow Glen Family Dentistry",http://www.mywillowglendentist.com,"San Jose",California,Dentist
oakridgedental@yahoo.com,"Oakridge Dental San Jose",https://oakridgedentalsj.com,"San Jose",California,Dentist
diamonddentallzr@gmail.com,"Diamond Dental",http://diamonddentallzr.com,"San Jose",California,Dentist
nusmiledentalortho@gmail.com,"Nu Smile Dental",https://www.nusmiledental.net,"San Jose",California,Dentist
alumrockdentist@gmail.com,"Alum Rock Dental",http://alumrockdentalsanjose.com,"San Jose",California,"Dental clinic"
willowdentistry@yahoo.com,"Willow Dental Care",http://www.willowdentistry.com,"San Jose",California,Dentist
silicon_dental@yahoo.com,"Silicon Dental",https://www.silicondental.com,"San Jose",California,Dentist
sanjosesedationdentistry@comcast.net,"Sedation Dentistry of San Jose",http://www.sanjosecasedationdentist.com,"San Jose",California,Dentist
mangatdental@gmail.com,"Mangat Dental Center",http://mangatdental.com,"San Jose",California,Dentist
ganzhadds@gmail.com,"North Capitol Dental Care",https://www.irinadental.com,"San Jose",California,Dentist
berryessadental10@gmail.com,"Berryessa Dental Center",http://berryessadds.com,"San Jose",California,"Dental clinic"
sanjose.periodontics@gmail.com,"San Jose Periodontics",http://www.sjperioimplant.com,"San Jose",California,Dentist
ncdentalkim@gmail.com,"Northern California Dental - Dr. Daniel Lee",http://www.northerncaldental.com,"San Jose",California,Dentist
drjennifernew@gmail.com,"Jennifer E New DDS",http://www.jennifernewdds.com,"San Jose",California,Dentist
bascomvalleydental@gmail.com,"Bascom Valley Dental",http://www.bascomvalleydental.com,"San Jose",California,Dentist
ktdentalsanjose@gmail.com,"K&T Dental",https://ktdentalsanjose.com,"San Jose",California,Dentist
sjdentalspecialists@gmail.com,"San Jose Dental Specialists",http://www.sjdentalspecialists.com,"San Jose",California,"Dental clinic"
naturalsmilessanjose@gmail.com,"Family Dental Care",http://www.naturalsmilessanjose.com,"San Jose",California,Dentist
maniladentalca@gmail.com,"Manila Dental Center & Orthodontics III",http://maniladentalca.com,"San Jose",California,"Dental clinic"
y2018@gmail.com,"Josephine Clemente DDS",https://www.josephineclemente.com,"San Jose",California,Dentist
optimadentalsbay@gmail.com,"Optima Dental",https://www.optimadentalofsouthbay.com,"San Jose",California,"Dental clinic"
kimdentalcentersj@gmail.com,"Kim Dental Center",http://kimdentalcentersj.com,"San Jose",California,"Cosmetic dentist"
vierhusdds@gmail.com,"Raman E. Nazari DDS and David Vierhus DDS",https://www.davidvierhusdds.com,"San Jose",California,Dentist
fergusondds@comcast.net,"Robert Ferguson DDS",http://robertfergusondds.com,"San Jose",California,Dentist
jhamada2000@gmail.com,"Hamada Family Dentistry: Jason H Hamada DDS",https://www.hamadafamilydentistry.com,"San Jose",California,Dentist
appointments4aqua@gmail.com,"Dr. Adriana Del Pilar Clark",http://aquadentistry.net,"San Jose",California,Dentist
muhusinfamilydental@gmail.com,"Tykeisha Muhusin DDS",http://www.muhusinfamilydental.com,"San Jose",California,Dentist
robinmellsdds@gmail.com,"Lambert Michael DMD",http://lambertdentistrysj.com,"San Jose",California,Dentist
exceldentalimplantcenter@gmail.com,"Excel Dental Implant Center",http://www.exceldentalimplantcenter.com,"San Jose",California,"Dental clinic"
drsabiog@comcast.net,"Abiog & Abiog Dental Corporation",http://www.drsabiog.com,"San Jose",California,Dentist
jensensundds@comcast.net,"Jensen C. Sun DDS",http://www.help4yourteeth.com,"San Jose",California,Dentist
blossomdental@gmail.com,"Blossom Dental Excellence",http://www.blossomdental.com,"San Jose",California,Dentist
lindahuynhdds@yahoo.com,"Blossom Valley Smiles Dental Group & Orthodontics - Dong Nguyen DDS & Linda Huynh DDS MS",http://www.blossomvalleysmiles.com,"San Jose",California,Dentist
