email,company,website,city,state,profession
tpp@affordablecare.com,"Affordable Dentures & Implants",https://www.affordabledentures.com,"Suite 1230",Florida,"Denture Care Centre"
lynn@agninidental.com,"Agnini Family Dental Center",https://agninidental.com,Lakeland,Florida,"Cosmetic Dentist"
jevans@officite.com,"ToothTown Pediatric Dentistry",http://www.mytoothtown.com,Wellington,Florida,"Paediatric Dentist"
shannon@shapirofamilydentistry.com,"Shapiro Family Dentistry of Boynton Beach",https://shapirofamilydentistry.com,"Boynton Beach",Florida,"Cosmetic Dentist"
parkland@tomaltydentalcare.com,"Tomalty Dental Care of West Boynton Beach",https://www.tomaltydentalcare.net,"Boynton Beach",Florida,"General Dentistry"
roberta@dentalteamfl.com,"Dental Team FL",https://www.dentalteamfl.com,Atlantis,Florida,"Dental clinic"
fldental@bellsouth.net,"Florida Dental & Denture Centers",http://www.floridadentalcenter.com,"West Palm Beach",Florida,"Dental clinic"
doctor@ferberdental.com,"Ferber Dental Group",http://www.ferberdental.com,"Delray Beach",Florida,"Dental implants periodontist"
hub@sesamecommunications.com,"Sindledecker Dentistry",https://www.mybocadentist.com,"Boca Raton",Florida,"Cosmetic dentist"
mpolin@bellsouth.net,"Polin Dental",https://www.drpolin.com,"Boca Raton",Florida,"Cosmetic dentist"
echiyembekeza@gencomhealth.org,"Genesis Community Health- Dental Boca Raton",https://www.gencomhealth.org,"Boca Raton",Florida,"Dental clinic"
drvega@vegasmilestudio.com,"Vega Smile Studio",http://vegasmilestudio.com,"Boca Raton",Florida,"Dental clinic"
drrimer@drrimer.com,"Rimer Stephen DDS",http://www.drrimer.com,"Boca Raton",Florida,"Oral surgeon"
actus@webperio.com,"Miller & Korn Periodontics and Implant Solutions",http://www.webperio.com,"Boca Raton",Florida,"Dental implants periodontist"
drherzog@implantinstructor.com,"IMPLANT INSTRUCTOR",http://implantinstructor.com,"Boca Raton",Florida,"Dental implants periodontist"
drmaria@bocadelraypd.com,"Boca Delray Pediatric Dentistry",http://www.bocadelraypd.com,"Delray Beach",Florida,"Pediatric Dentists"
braces@yoursmileclinic.com,"Smile Clinic of Coral Springs",https://yoursmileclinic.com,"Coral Springs",Florida,"General Dentistry"
corp@floridadentalcenters.com,"Florida Dental Centers",https://www.floridadentalcenters.com,Bradenton,Florida,"Dental clinic"
cortezdental@cortezdental.net,"Cortez Dental",http://www.cortezdental.net,Bradenton,Florida,"Cosmetic dentist"
carrie.magnuson@brightnow.com,"Bright Now Dental & Orthodontics",https://www.brightnow.com,Bradenton,Florida,"Dental clinic"
droneil@securedds.com,"Complete Esthetic Dentistry - Dr. Michael J. ONeil",https://completeestheticdentistry.com,Bradenton,Florida,"Cosmetic dentist"
dentist@frenchmanscala.com,"Frenchman DMD",http://www.bradentoncosmeticdentistry.com,Bradenton,Florida,"Cosmetic Dentist"
scfbradenton@bkstr.com,"Dental Hygine Clinic at State College of Florida",http://www.scf.edu,Bradenton,Florida,"Dental clinic"
cornerstone@cornerstonedental.pro,"Cornerstone Dental Lakewood Ranch",http://www.cornerstonedental.pro,"Lakewood Ranch",Florida,"Dental clinic"
drscala@lakewoodranchsmiles.com,"Lakewood Ranch Family & Cosmetic Dentistry Michelle Scala DMD PA",https://www.lakewoodranchsmiles.com,"Lakewood Ranch",Florida,"Cosmetic dentist"
dchristian@bradentonosc.com,"Bradenton Oral Surgery Center: David J. Christian DDS",https://www.bradentonosc.com,Bradenton,Florida,"Oral surgeon"
kidssmiles@kidssmiles.com,"Kids Smiles Pediatric Dentistry",https://kidssmilesdental.com,Bradenton,Florida,"Paediatric Dentist"
recruiting@westerndental.com,"Western Dental Affordable Dentistry",https://www.westerndental.com,"Cape Coral",Florida,"Dental clinic"
cape@swfl-pediatricdentistry.com,"Erin Taylor",http://www.swfl-pediatricdentistry.com,"Cape Coral",Florida,"Paediatric Dentist"
frontdeskaulino@securedds.com,"Aulino Carmen J DDS",http://www.draulino.com,"Fort Myers",Florida,"Cosmetic dentist"
communityoutreach@drverwest.com,"Pediatric Dentistry of Florida Dr. Tim Verwest DMD & Associates",https://drverwest.com,"Fort Myers",Florida,"Paediatric Dentist"
whisenantc@pacificdentalservices.com,"Pacific Dental Services",http://www.pacificdentalservices.com,"Fort Myers",Florida,"Dental clinic"
rar@implantperio.com,"Implant and Periodontal Therapy",http://www.implantperio.com,"Cape Coral",Florida,"Dental clinic"
palmvalley@gentle1.com,"Sage Dental",http://www.gentle1.com,"Fort Myers",Florida,"General Dentistry"
registration@aaoms.org,"Anderson Stephen F DDS",http://aaoms.org,"Cape Coral",Florida,"Oral Surgeons"
drrados@drrados.com,"Cosmetic Dentist",http://www.drrados.com,Clearwater,Florida,"Cosmetic dentist"
healthysmiles@brittenperio.com,"Dr. Todd M. Britten DMD M.S.",http://www.brittenperio.com,Clearwater,Florida,"Dental implants periodontist"
nicole.grunsfeld@smilebrands.com,"J. Timothy Doerner D.D.S. P.A",https://www.yourclearwaterdentist.com,Clearwater,Florida,"Paediatric Dentist"
drmaggie@drmaggiedavis.com,"Dr. Maggie Davis and Associates",https://www.drmaggiedavis.com,"Palm Harbor",Florida,"Paediatric Dentist"
tampa@tampabayos.com,"Tampa Bay Institute of Oral Surgery and Dental Implants",http://www.tampabayos.com,Tampa,Florida,"Oral surgeon"
tmerrellwilliams@verizon.net,"Implant Dentistry Periodontics & Facial Rejuvenation",https://www.tampaperio.com,Tampa,Florida,"Dental implants periodontist"
ne@baycenter.com,"Dr. Glen E. Jones DMD",http://www.baycenter.com,Largo,Florida,"Oral surgeon"
krobson@robsondentistry.com,"Robson Dentistry",http://robsondentistry.com,"Palm Harbor",Florida,"General Dentistry"
westchasedental@verizon.net,"Westchase Dental Associates",http://www.westchasedentalassociates.com,Tampa,Florida,"General Dentistry"
tampa@tampabayfamilydentist.com,"Ronald B O'Neal DMD - The Family Dentist",http://www.tampabayfamilydentist.com,"Saint Petersburg",Florida,"General Dentistry"
r.fauer@orthospecmd.com,"Davidson J Byron DO",http://www.orthospecmd.com,Clearwater,Florida,"General Dentistry"
loveyoursmile@bellsouth.net,"Love Your Smile",http://www.dentistcocoabeach.net,"Cocoa Beach",Florida,"Cosmetic dentist"
denise@davincibeautybar.com,"DaVinci Teeth Whitening Brevard County FL",http://davinciteethwhiteningsystem.com,Cocoa,Florida,"Teeth whitening service"
jasive@miracle-smile.com,"Miracle Smile Dentistry Coral Gables",https://miracle-smile.com,"Coral Gables",Florida,"Dental clinic"
coralgables@dhc.dental,"Coral Gables Dental Health Center",http://dhc.dental,"Coral Gables",Florida,"Dental clinic"
drlemus@lemusdental.com,"Lemus Dental Group",http://www.lemusdental.com,"Coral Gables",Florida,"Dental clinic"
ll@casasmiles.com,"Casa Smiles Pediatric Dentistry & Orthodontics",http://www.casasmiles.com,"Coral Gables",Florida,"Paediatric Dentist"
reservationspecialist@gablessedationdentistry.com,"Gables Sedation and Family Dentistry",https://www.gablessedationdentistry.com,Miami,Florida,"Dental clinic"
