email,company,website,city,state,profession
blackfootsmiles@gmail.com,"Blackfoot Smiles",http://www.blackfootsmiles.com,Blackfoot,Idaho,"Dental clinic"
drpaulhansen@msn.com,"Dr. Paul L. Hansen DDS",http://www.drpaulhansendds.com,Blackfoot,Idaho,Dentist
armstrongdental@yahoo.com,"Armstrong Dental",https://www.damonarmstrongdds.com,Blackfoot,Idaho,Dentist
blackfootdentist@hotmail.com,"Blackfoot Family Dentistry",http://www.blackfootfamilydentistry.us,Blackfoot,Idaho,"Dental clinic"
vonkunz@gmail.com,"Kunz Family Dentistry",https://kunzdental.com,Blackfoot,Idaho,Dentist
medalistcleaning@gmail.com,"Simpson Dental Offices",http://medalistcleaning.com,Blackfoot,Idaho,Dentist
just4kidds@gmail.com,"Just 4 kiDDS Dentistry For Children",https://www.just4kiddsdentistry.com,Pocatello,Idaho,"Paediatric Dentist"
portneufvalleydental@gmail.com,"Portneuf Valley Dental",https://portneufvalleydental.com,Pocatello,Idaho,Dentist
stoneridgedental@gmail.com,"Stone Ridge Dental",https://www.astoneridgesmile.com,Shelley,Idaho,Dentist
cdop4fun@hotmail.com,"Children's Dentistry of Pocatello",https://pocatellochildrensdentistry.com,Pocatello,Idaho,Dentist
leavittdentistry@gmail.com,"Leavitt Dentistry",https://www.leavittdentistry.com,Pocatello,Idaho,Dentist
dentalexcellence1525@gmail.com,"Dental Excellence",http://www.pocatellodentalexcellence.com,Pocatello,Idaho,Dentist
riverwestdental@gmail.com,"West River Dental",http://freeipaddentist.com,"Idaho Falls",Idaho,"Dental clinic"
carecreekdental@live.com,"Dr. Paul Gagnon",http://dentist-dentistry-dental.com,Pocatello,Idaho,"Dental clinic"
smilemakerspocatello@gmail.com,"SmileMakers Dental",https://www.smpdentist.com,Pocatello,Idaho,Dentist
idahofallsidahodentist@gmail.com,"Bird Family Dental",http://www.idahofallsidahodentist.com,"Idaho Falls",Idaho,"Cosmetic Dentist"
choicedentalif@gmail.com,"Choice Dental : Trent Kelly  DDS",https://www.choicedentalif.com,"Idaho Falls",Idaho,Dentist
