email,company,website,city,state,profession
contactruby@rubydentalgroup.com,"Ruby Dental & Braces",https://www.rubydentalgroup.com,Louisville,Kentucky,"Dental clinic"
cynthia@eastlouisvilleoralsurgery.com,"East Louisville Oral Surgery",http://www.eastlouisvilleoralsurgery.com,Louisville,Kentucky,"Oral surgeon"
smiles@moore-smiles.com,"Moore Smiles Family Dental Center",http://www.moore-smiles.com,Louisville,Kentucky,"Dental clinic"
iroquoisfamily@iroquoisdentist.com,"Iroquois Dentistry",http://www.iroquoisdentist.com,Louisville,Kentucky,"Cosmetic dentist"
tison@pediatricdentalgrouplouisville.com,"Pediatric Dental Group of Louisville",http://www.pediatricdentalgrouplouisville.com,Louisville,Kentucky,"Paediatric Dentist"
forntdesk@gentledentalhighlands.com,"Schulte Family Dentistry Dr. David Schulte Dr. Carol Muth Dr. Selena Pape",http://www.schultedental.com,Louisville,Kentucky,"Dental clinic"
smile@remmersdental.com,"Remmers Dental",https://www.remmersdental.com,Louisville,Kentucky,"Cosmetic Dentist"
priscilla@cedarcreekdentalky.com,"Cedar Creek Dental",http://www.cedarcreekdentalky.com,Stanford,Kentucky,"Dental clinic"
louis.traci@affordabledentures.com,"Heath Bryan Coleman DDS of Ky",https://www.affordabledentures.com,Elizabethtown,Kentucky,"Denture Care Centre"
dmorris@chandlerparkdentalcare.com,"Chandler Park Dental Care",http://chandlerparkdentalcare.com,"Bowling Green",Kentucky,"Dental clinic"
dmr@jsrdmd.com,"Moondog Dentistry",http://moondogdentistry.com,"Bowling Green",Kentucky,"Dental clinic"
alex.rios@kyhia.com,"Rios Insurance Group",http://kyhia.com,"Bowling Green",Kentucky,"Insurance agency"
angela.cooper@mutualofomaha.com,"Mutual of Omaha",http://mutualofomaha.com,"Bowling Green",Kentucky,"Insurance agency"
xrays@ofsaky.com,"Schuler Stephen T DMD",http://oralfacialsurgeryky.com,"Crestview Hills",Kentucky,"Oral surgeon"
tami@dcof.com,"Dental Center of Florence",https://www.dcof.com,Florence,Kentucky,"Denture Care Centre"
smile@capitolkidsdentistry.com,"Capitol Kids Dentistry",https://capitolkidsdentistry.com,Frankfort,Kentucky,"Paediatric Dentist"
jkilpateye@beaumontfamilydentistry.com,"Beaumont Family Dentistry At Leestown",https://beaumontfamilydentistry.com,Lexington,Kentucky,"Dental clinic"
den@denliv.com,"Jackie L. Banahan DMD",http://drjackiebanahan.com,Lexington,Kentucky,"Paediatric Dentist"
mandy@lexingtondental.com,"Anthony S Feck DMD",http://www.dentalwellnessoflexington.com,Lexington,Kentucky,"General Dentistry"
sjpleasant@lexingtondentalcenter.com,"Lexington Dental Center",http://lexingtondentalcenter.com,Lexington,Kentucky,"General Dentistry"
brightsmiles@starkidsky.com,"Star Kids Dentistry",http://www.starkidsky.com,Lexington,Kentucky,"Paediatric Dentist"
rduprey@dentrustocs.com,"DOCS Dental at Fort Campbell Kentucky",https://docsdental.health,"Fort Campbell",Kentucky,"Dental clinic"
drjess@commonwealthsmiles.com,"Commonwealth Smiles of Lexington",http://lexingtonky.dental,Lexington,Kentucky,"Emergency dental service"
practice@cosmeticdentistryoflexington.com,"Arnold Dental",https://cosmeticdentistryoflexington.com,Lexington,Kentucky,"Cosmetic dentist"
brittiney@sunrisedentalsolutions.com,"Sunrise Dental Solutions",http://www.sunrisedentalsolutions.com,Lexington,Kentucky,"Dental clinic"
drmcf_jm@bellsouth.net,"Smile Louisville",http://www.thesmilelouisville.com,Louisville,Kentucky,"Dental clinic"
lmaskos@beaumontfamilydentistry.com,"TEETH TOMORROW",http://teethtomorrowlexington.com,Lexington,Kentucky,"Dental clinic"
zackorwick@elitegraphicsllc.com,"Russell H Waugh DMD",http://www.smilesofthebluegrass.com,Lexington,Kentucky,"General Dentistry"
ccopeland@nees.us.co,"Reams Richard A DMD",http://nefieldservices.com,Lexington,Kentucky,"General Dentistry"
dupont@kentuckiana-dhs.com,"Dupont Pediatric Dentistry",http://www.dupontpediatricdentistry-louisville.com,Louisville,Kentucky,"Paediatric Dentist"
drmanning@solsticelouisville.com,"Solstice Dental and Aesthetics",https://www.solsticelouisville.com,Louisville,Kentucky,"Dental clinic"
k.wheatley@twc.com,"Derby City Pediatric Dentistry",http://www.derbycitypediatricdentistry.com,Louisville,Kentucky,"Paediatric Dentist"
federalway@sunrisedental.com,"Sunrise Dental",https://sunrisedental.com,Louisville,Kentucky,"Dental clinic"
appointments@strulloralsurgery.com,"Strull Oral Surgery - Louisville",https://www.strulloralsurgery.com,Louisville,Kentucky,"Oral surgeon"
pfd@vci.net,"Poat Family Dentistry",http://www.poatfamilydental.com,Paducah,Kentucky,"General Dentistry"
tbryant@sterlinghealthky.org,"Montgomery Dental Center",http://sterlinghealthky.org,"Mt Sterling",Kentucky,"Dental clinic"
littlesmiles@maysvillepediatric.com,"Maysville Pediatric Dental Center",http://www.maysvillepediatric.com,Maysville,Kentucky,"Dental clinic"
smile@mtsterlingkids.com,"Mount Sterling Pediatric Dentistry",https://mtsterlingkids.com,"Mount Sterling",Kentucky,"Paediatric Dentist"
mdconklin@burnsandburns.com,"Burns & Burns Family Dentistry",http://burnsandburns.com,Maysville,Kentucky,"General Dentistry"
whitney4tf@bellsouth.net,"Dental Designs of Owensboro",https://www.thompsonandfrey.com,Owensboro,Kentucky,"Cosmetic dentist"
jhartley1904@charter.net,"Eric R. Schmidt DMD PSC Oral & Maxillofacial Surgery",http://stabil-loc.com,Owensboro,Kentucky,"Oral surgeon"
