email,company,website,city,state,profession
acadiandentistry@bellsouth.net,"Acadian Family Dentistry",http://www.acadianfamilydentistry.com,Lafayette,Louisiana,"General Dentistry"
resumes@phsccenter.org,"PHSC Dental Clinic",http://www.phsccenter.org,Monroe,Louisiana,"Dental clinic"
recruiting@peachtreedental.com,"Peach Tree Dental",http://www.peachtreedental.com,Monroe,Louisiana,"Dental clinic"
katie.parnell@communihealth.org,"CommuniHealth Services Bastrop Dental Clinic",http://www.communihealth.org,Bastrop,Louisiana,"Dental clinic"
rochestermn.digital@affordabledentures.com,"Jeetendra S Patel DDS",https://www.affordabledentures.com,Monroe,Louisiana,"Denture Care Centre"
monroe@monroe4braces.com,"Dr. Daniel K Martisius",https://monroe4braces.com,Monroe,Louisiana,"Dental clinic"
fo@levyvuteradental.com,"Levy and Vutera Family Dentistry",https://www.levyvuteradental.com,"Baton Rouge",Louisiana,"Dental clinic"
britta@brunsdental.com,"Bruns Family Dental Center",http://www.brunsfamilydentalcenter.com,"Baton Rouge",Louisiana,"Dental clinic"
asiudyla@comfortdental.biz,"Comfort Dental Studio & Spa",http://www.comfortdental.com,"Baton Rouge",Louisiana,"Dental clinic"
robertdwestermandds@cox.net,"WN DENTISTRY",http://wndental.com,"Baton Rouge",Louisiana,"Dental clinic"
ssprairieville@smilestars.com,"Smile Stars Pediatric Dentistry and Orthodontics",http://www.smilestars.com,"Baton Rouge",Louisiana,"Dental clinic"
admin2@drsdaly.com,"The Louisiana Center for Restorative Dentistry",https://www.drdalydentistry.com,"Baton Rouge",Louisiana,"Cosmetic dentist"
sournier@justkids-dental.com,"Just Kids Dental",http://www.justkids-dental.com,"Baton Rouge",Louisiana,"Dental clinic"
smile@sunnydaydentistry.com,"Jeff D. Ellard DDS",http://childrensdentalcarela.com,"Baton Rouge",Louisiana,"Paediatric Dentist"
mandry@excelth.com,"EXCELth Dental Center",http://www.excelth.com,"Baton Rouge",Louisiana,"Dental clinic"
front@bonaventuredental.com,"Bonaventure Dental Care",https://www.dentistbatonrougela.com,"Baton Rouge",Louisiana,"Cosmetic Dentist"
emontero@pankey.org,"Dr. Akin Oral Surgery Dental Implants",http://www.drrichardakin.com,"Baton Rouge",Louisiana,"Oral surgeon"
drdavid@emergencydentist247.com,"Emergency Dentist Baton Rouge",https://www.emergencydentist247.com,"Baton Rouge",Louisiana,"Emergency dental service"
magnoliadentists@att.net,"Gentle Dental Care",https://texasgentledental.com,"Baton Rouge",Louisiana,"Cosmetic dentist"
ascensiondentist@eatel.net,"Ascension Premier Dental - Calvin Bessonet DDS FAGD",http://ascensiondentist.com,Geismar,Louisiana,"Dental clinic"
bjleb@cox.net,"Leblanc Bruce J Dr",http://www.drbruceleblanc.com,"Baton Rouge",Louisiana,"General Dentistry"
dentaljedi@bellsouth.net,"Dr. Thomas A Bailey",http://www.baileyfamilydentistry.com,Covington,Louisiana,"Dental clinic"
dralvarez@beausourirefamilydentistry.com,"Beau Sourire Family Dentistry - Dentist in Mandeville",https://beausourirefamilydentistry.com,Mandeville,Louisiana,"Cosmetic Dentist"
hygiene@shreveportbossierdental.com,"Shreveport Bossier Family Dental Care",http://www.shreveportbossierdental.com,"Bossier City",Louisiana,"Cosmetic dentist"
hygiene@shreveportbossierkids.com,"Shreveport Bossier Family Dental Care for Kids",https://shreveportbossierkids.com,"Bossier City",Louisiana,"Paediatric Dentist"
smile@milesforsmiles.com,"Miles for Smiles",http://milesforsmiles.com,Shreveport,Louisiana,"Dental clinic"
ben_r_cole@uhc.com,"United Healthcare",http://www.uhc.com,Shreveport,Louisiana,"Insurance agency"
kathy@ossla.net,"Oral Surgery Services Dental Implants & Wisdom Teeth",https://www.oralsurgeryservices.net,Gretna,Louisiana,"Oral surgeon"
mccabecharlestdr@bellsouth.net,"New Orleans Periodontics and Implant Dentistry",http://www.neworleansperiodontist.com,Gretna,Louisiana,"Dental clinic"
slidell@bipposplace.com,"Bippos Place For Smiles",http://www.bipposplace.com,"New Orleans",Louisiana,"Paediatric Dentist"
indovina@bellsouth.net,"Anthony A. Indovina APDC",https://www.indovinaoralsurgery.com,Marrero,Louisiana,"Oral surgeon"
mat@fullofleads.com,"Today's Dental",http://www.todaysdentalla.com,Harvey,Louisiana,"Dental clinic"
campodentistry@campodentistry.com,"Campo Dentistry",https://neworleansdentistoffice.com,"New Orleans",Louisiana,"General Dentistry"
lakeside@ladentalcenter.com,"Louisiana Dental Center - Metairie",https://www.ladentalcentermetairie.com,"Suite 203",Louisiana,"General Dentistry"
teeth@thorsondentistryforkids.com,"Thorson Dentistry for Kids - Metairie",http://thorsondentistryforkids.com,Metairie,Louisiana,"Paediatric Dentist"
drdileo@att.net,"DiLeo Dental Group",http://www.dileodentalgroupllc.com,Metairie,Louisiana,"General Dentistry"
jacob@robichauxfamilydental.com,"Robichaux Family Dental",https://www.robichauxfamilydental.com,Houma,Louisiana,"Dental clinic"
bobbiemorrisllc@bellsouth.net,"Bobbie Morris D.D.S.",http://www.drbobbiemorris.com,Lockport,Louisiana,"Dental clinic"
meredith.hyland@metlife.com,"Met Life",https://www.metlife.com,Houma,Louisiana,"Insurance agency"
sa@robichauxfamilydental.com,"Villemarette Family Dentistry",http://www.drjanv.com,Houma,Louisiana,"Dental clinic"
mike@mikefleblancdds.com,"Michael F LeBlanc DDS",http://www.mikefleblancdds.com,Thibodaux,Louisiana,"General Dentistry"
appointment@camelliadds.com,"Camellia Dental",https://www.camelliadds.com,Lafayette,Louisiana,"Cosmetic dentist"
drwhite@charleswhitedds.com,"Charles White DDS",http://www.charleswhitedds.com,Lafayette,Louisiana,"Dental clinic"
tkcrane@cranedental.com,"T. K. Crane D.D.S.",http://www.dentistlafayette.net,Lafayette,Louisiana,"Dental clinic"
tracy@questdds.com,"Quest Pediatric Dentistry & Orthodontics",https://www.localdentistlafayettela.com,Lafayette,Louisiana,"Dental clinic"
sgelber@healthlinks.net,"Lafayette Emergency Dentist",https://healthlinks.net,Lafayette,Louisiana,"Emergency dental service"
gail.sauers@cox.net,"Physicians Mutual",https://www.physiciansmutual.com,Lafayette,Louisiana,"Insurance agency"
records@soafs.com,"Boudreaux Donald P DDS",http://www.soafs.com,Lafayette,Louisiana,"Oral surgeon"
gregory.rich@irgswla.com,"Insurance Resource Group",http://www.insuranceresourcegroup.net,Lafayette,Louisiana,"Insurance agency"
brandy@oakparkdental.com,"Oak Park Dental Family Dentistry & Specialty Practice",http://www.oakparkdental.com,"Lake Charles",Louisiana,"Cosmetic dentist"
candice@dgsmiles.com,"George Family Dentistry",http://dgsmiles.com,"Lake Charles",Louisiana,"Cosmetic dentist"
sheila@sanderspd.com,"Sanders Pediatric Dentistry",https://www.sanderspediatricdentistry.com,"Lake Charles",Louisiana,"Pediatric Dentist"
jboles@southern-smiles.com,"Southern Smiles",http://www.southern-smiles.com,Rayville,Louisiana,"Dental clinic"
orangcty@orthodon.com,"Louisiana Orthodontic Specialists",https://www.orthodon.com,Monroe,Louisiana,"Dental clinic"
distefanofjjrdr@bellsouth.net,"Distefano Clinic",http://www.distefanodentistry.com,"Morgan City",Louisiana,"Dental clinic"
acadianoralsurgery@acadianoralsurgery.com,"Robert L Levy DDS",http://acadianoralsurgery.com,Alexandria,Louisiana,"Oral surgeon"
savoy@pelicandentistry.com,"Pelican Pediatric Dentistry",http://www.pelicandentistry.com,"New Iberia",Louisiana,"Paediatric Dentist"
jperez@djwinsurance.com,"DJW Insurance Agency Inc.",https://www.djwinsurance.com,"New Iberia",Louisiana,"Insurance agency"
drw@smiledesigncenter.com,"Smile Design Center: Willhite Corky DDS",https://www.smiledesigncenter.com,Metairie,Louisiana,"Cosmetic dentist"
ventassv@palig.com,"Pan-American Life Insurance Group",https://paliglocations.palig.com,"New Orleans",Louisiana,"Insurance agency"
mike@emergencydentistsusa.com,"Emergency Dentists USA",https://www.emergencydentistsusa.com,"New Orleans",Louisiana,"Emergency dental service"
NSC-BBBComplaints@Allstate.com,"Thomas A Taylor DDS",http://allstate.com,Marrero,Louisiana,"General Dentistry"
finland@cigna.com,Cigna,https://www.cigna.com,Shreveport,Louisiana,"Insurance agency"
landis.barrow@ushadvisors.com,"USHealth Advisors",http://www.ushagent.com,Shreveport,Louisiana,"Insurance agency"
keith@americasmiles.com,"Thomas Dental Ceramics",http://www.shreveportsmiles.net,"Bossier City",Louisiana,"General Dentistry"
appointments@dc4ktx.com,"Kids Dentist",https://dentalcare4kidstexas.com,Gonzales,Louisiana,"Paediatric Dentist"
