email,company,website,city,state,profession
twincitydentalbangor@yahoo.com,"Twin City Dental",http://twincitydentalbangor.com,Bangor,Maine,Dentist
drbrookings@aol.com,"Brookings Robert L DMD",http://brookingsdental.com,Bangor,Maine,"Cosmetic dentist"
extractionsanddentures@gmail.com,"Erickson Robert E",http://robertericksondmd.com,Bangor,Maine,"General Dentistry"
info.neoms@gmail.com,"Dr. William A. Deighan DMD",http://www.northeastoralsurgeryme.com,Bangor,Maine,Dentist
randdentistry@gmail.com,"DR. CRAIG RAND",https://watermarkdentalcare.com,Brewer,Maine,Dentist
lnsoucy@yahoo.com,"UMA Dental Hygiene",https://www.uma.edu,Bangor,Maine,Dentist
jslargey@aol.com,"Largey John DDS",http://www.drlargey.com,Bangor,Maine,"Oral surgeon"
auntiesuze@gmail.com,"Figgins Dental Hygiene Care",http://www.figginsdental.com,Bangor,Maine,"Dental clinic"
hardybraces@gmail.com,"Hardy Orthodontics",http://www.hardybraces.com,Bangor,Maine,Orthodontist
160riversidedental@gmail.com,"Park Street Dental",http://www.160parkstreetdental.com,Orono,Maine,Dentist
prevention92@gmail.com,"Prevention Works Dental Hygiene Care",http://alissawade.com,Bangor,Maine,"Dental clinic"
alain2004@yahoo.com,"Sedation Dental of Bangor",https://dentistbangor.com,Bangor,Maine,"Dental clinic"
beambangor@gmail.com,BEAM,http://www.beambangor.com,Bangor,Maine,"Cosmetic dentist"
sorrentodental@gmail.com,"Sorrento Dental Associates",http://sorrentodentalassociates.com,Sorrento,Maine,Dentist
hamfamdnt@gmail.com,"Hampden Family Dentistry",http://hampdenfamilydentistry.com,Hampden,Maine,Dentist
csm1357.dental@yahoo.com,"Maller Chris Dr-Dentist",https://www.drcsmaller.com,"Bar Harbor",Maine,Dentist
mhaidu@yahoo.com,"New Leaf Dental",https://www.newleafdentalmaine.com,Topsham,Maine,Dentist
julie.l.rice27@gmail.com,"Midcoast Orthodontics",http://www.midcoastorthodontics.com,Bath,Maine,Orthodontists
tdstaeben@hotmail.com,"Eric M Staeben DDS",https://www.dentistbrunswickmaine.com,Brunswick,Maine,Dentist
droshetski@gmail.com,"James A. Oshetski DDS Implant and Restorative Dentistry",https://www.droshetski.com,Brunswick,Maine,"Cosmetic dentist"
adg2014@gmail.com,"Androscoggin Dental Group",https://androscoggindentalgroup.com,Lewiston,Maine,Dentist
yarmouthortho@gmail.com,"Mark E.Fischer DMD PA",https://www.bracesbyfischer.com,Yarmouth,Maine,"Dental clinic"
frontdeskforeside@gmail.com,"Foreside Dental Health Care",http://www.foresidedental.com,Falmouth,Maine,Dentist
jarodrtaylor@gmail.com,"DR. JENNA PULKKA",http://www.lisbonfamilydental.com,"LISBON FALLS",Maine,"Dental clinic"
greatfallsdental@gmail.com,"Great Falls Dental Associates",http://greatfallsfamilydentists.com,Auburn,Maine,Dentist
mainesmiles@gmail.com,"Peak Dental Health",http://www.peakdentalhealth.com,Falmouth,Maine,Dentist
biddefordfamilydentistry@gmail.com,"Biddeford Family Dentistry",http://www.biddefordfamilydentistry.com,Biddeford,Maine,"Dental clinic"
gryskshannon69@outlook.com,"Denture Solutions LLC",http://www.denturesolutionmaine.com,Kennebunk,Maine,Periodontist
murrayorthomaine@gmail.com,"Murray Orthodontics",http://www.drjamesmurray.com,Kennebunk,Maine,Orthodontist
portlandsmilesdds@gmail.com,"Portland Smiles",http://portlandsmilesdentist.com,Portland,Maine,Dentist
gorhamvillagedental@gmail.com,"Gorham Village Dental",http://gorhamvillagedental.com,Gorham,Maine,Dentist
beaudoindental@gmail.com,"Dr. Paul E Beaudoin DMD",https://www.beaudoindental.com,Sanford,Maine,Dentist
fortviewdental@gmail.com,"Fort View Dental",https://www.fortviewdental.com,Bucksport,Maine,Dentist
lincolnvilledentist@gmail.com,"Lincolnville Family Dentistry",http://www.lincolnvillefamilydentistry.com,Lincolnville,Maine,"General Dentistry"
smiledesign.ellsworth@gmail.com,"Smile Design Ellsworth",http://www.smiledesignellsworth.com,Ellsworth,Maine,Dentist
downeastdental@gmail.com,"Downeast Dental",http://downeastdental.com,Ellsworth,Maine,"Dental clinic"
steph.sweetsmiles2012@gmail.com,"Sweet Smiles Dental Hygiene",http://www.sweetsmileshygiene.com,Ellsworth,Maine,"Dental hygienist"
cusackdental@gmail.com,"Cusack Dental | Our Services | Tramore Dentist",http://cusackdental.ie,Northport,Maine,"Dental clinic"
preventioniskeyipdh@gmail.com,"Prevention Is Key",https://www.preventioniskeyipdh.com,Milbridge,Maine,"Dental hygienist"
morindental@gmail.com,"Dr. Carolyn J. Morin DDS",http://cmorindental.com,Farmingdale,Maine,Dentist
gregariousjb@gmail.com,"Bryant Dental Care",https://bryantdentalcare.com,Augusta,Maine,"Dental clinic"
lakesidedentalmaine@gmail.com,"Lakeside Dental",https://lakesidedentalmaine.com,Manchester,Maine,Dentist
wellsdentalmaine@gmail.com,"Wells Dental",http://www.wellsdentalmaine.com,Wells,Maine,Dentist
