email,company,website,city,state,profession
annarbor@michiganoralsurgeons.com,"Michigan Oral Surgeons Dental Implants & Wisdom Teeth",https://michiganoralsurgeons.com,Adrian,Michigan,"Oral surgeon"
shuwais@sbcglobal.net,"Salah Huwais DDS PLLC",http://www.jacksonimplantsurgery.com,Adrian,Michigan,"Dental implants periodontist"
brian@bishopfinancial.com,"Bishop Insurance & Financial Services",http://www.bishopfinancial.com,Adrian,Michigan,"Insurance agency"
lisas@healthysmilesdentists.com,"Dr. Steven Rodriguez",http://www.healthysmilesdentists.com,Manchester,Michigan,"Dental clinic"
smile@wennerstendental.com,"Wennersten Dental Care",http://www.wennerstendental.com,"Ann Arbor",Michigan,"Dental clinic"
laurichdentistrylivonia@laurichdentistry.com,"Craig L. Blogin DDS PLC",http://www.craigblogindds.com,"Ann Arbor",Michigan,"Dental clinic"
ginay@mychildsteeth.com,"Pediatric Dentistry and Orthodontic Specialists of Michigan",http://www.mychildsteeth.com,"Clinton Twp",Michigan,"Paediatric Dentist"
drcheng@mismilefamilydental.com,"MI Smile Family Dental: Cathy Cheng DDS PhD",https://www.mismilefamilydental.com,Ypsilanti,Michigan,"Dental clinic"
bparker@3ddentalsystems.com,"3D Vision Systems",http://3ddentalsystems.com,"Ann Arbor",Michigan,"Dental clinic"
sgelber@healthlinks.net,"Ann Arbor Emergency Dentist",https://healthlinks.net,"Ann Arbor",Michigan,"Emergency dental service"
drfletcher@southhurondental.com,"South Huron Dental",http://www.southhurondental.com,Ypsilanti,Michigan,"Dental clinic"
bkolling@washtenawdentalsociety.org,"Washtenaw District Dental Society",https://www.washtenawdentalsociety.org,"Ann Arbor",Michigan,"General Dentistry"
plenning@brightsidedental.com,"Bright Side Dental - Canton",https://brightsidedental.com,Canton,Michigan,"General Dentistry"
foundation@trideltaeo.org,"Delta Delta Delta",http://tridelta.org,"Ann Arbor",Michigan,"General Dentistry"
fifthstreetdental@att.net,"Fifth Street Dental Care",http://dexterdentist.com,Dexter,Michigan,"General Dentistry"
grinners@smiledirectclub.com,"Smile Direct Club",https://smiledirectclub.com,"Ann Arbor",Michigan,"Teeth Whitening"
shannonk@mydrdennis.com,"Susan M. Dennis DDS",https://www.mydrdennis.com,Portage,Michigan,"Cosmetic dentist"
smile@drtoddryan.com,"Todd H Ryan DDS",http://www.toddhryandds.com,Hillsdale,Michigan,"Dental clinic"
deb@kenbeadlingdentistry.com,"Ken Beadling Dentistry",http://kenbeadlingdentistry.com,Kalamazoo,Michigan,"Cosmetic Dentist"
kzoopd@kzoopd.com,"Kalamazoo Pediatric Dentistry",https://www.kzoopd.com,Portage,Michigan,"Pediatric Dentist"
dmc@shsystemsinc.com,"Michael Glass DDS",http://shsbc.com,"Battle Creek",Michigan,"General Dentistry"
westbaydental@securedds.com,"West Bay Dental",http://www.westbaydental.com,"Bay City",Michigan,"Dental clinic"
jsams@sbuins.com,"Saginaw Bay Underwriters",http://www.sbuins.com,"Bay City",Michigan,"Insurance agency"
acouch1@fbinsmi.com,"Farm Bureau Insurance",https://www.farmbureauinsurance-mi.com,"Bay City",Michigan,"Insurance agency"
dds4smiles@att.net,"Dentures & Dental For Smiles",https://4smilesdentalcenter.com,"Saint Joseph",Michigan,"Dental clinic"
todd@soosinsurance.com,"Soos Insurance Agency Inc",https://www.soosinsurance.com,"Benton Harbor",Michigan,"Insurance agency"
wellness@seyfriedandassociates.com,"Seyfried & Associates",https://www.seyfriedandassociates.com,"Bloomfield Hills",Michigan,"Dental clinic"
jgolnick@securedds.com,"Golnick Pediatric Dental Associates",https://golnickpediatricdentistry.com,"Bloomfield Hills",Michigan,"Paediatric Dentist"
drrubin@lashrubinorthodontics.com,"Dr. Rebecca Rubin",http://www.lashrubinorthodontics.com,"West Bloomfield Township",Michigan,"Dental clinic"
lisa@orcharddentalgroup.net,"Orchard Dental Group",http://www.orcharddentalgroup.net,"Farmington Hills",Michigan,"Dental clinic"
millennium@sbcglobal.net,"Millennium Dentistry",http://dentistrysouthfield.com,Southfield,Michigan,"Dental clinic"
