email,company,website,city,state,profession
adrianfamilydentistry@comcast.net,"Adrian Family Dentistry PLLC",http://www.adriandentistry.com,Adrian,Michigan,"Dental clinic"
ebelingfamilydentistry@comcast.net,"Ebeling Family Dentistry",https://www.ebelingfamilydentistry.com,Adrian,Michigan,Dentist
laserdentist4u@gmail.com,"MidWest Center for Laser Dentistry PLLC",http://laserdentist4u.com,Hudson,Michigan,Dentist
tecumsehdentist@gmail.com,"Tecumseh Family Dental Care",http://www.tecumsehfamilydentalcare.com,Tecumseh,Michigan,Dentist
scottdomandds@gmail.com,"Scott Doman D.D.S.",http://www.scottdomandds.com,Tecumseh,Michigan,Dentist
jativafamilydental@gmail.com,"Jativa Family Dental",http://www.jativadental.com,Clinton,Michigan,Dentist
dohertydental@yahoo.com,"Doherty Family Dentistry",http://dohertydental.com,Tecumseh,Michigan,Dentist
larockdental@gmail.com,"LaRock Dental",http://larockdental.com,Manchester,Michigan,Dentist
villagefamilydental1671@gmail.com,"Village Family Dental",https://www.villagefamilydentalclinton.com,Clinton,Michigan,Dentist
washtenawdental@hotmail.com,"Washtenaw Dental",http://ypsilantidentistmi.com,Ypsilanti,Michigan,Dentist
cfdreferrals@gmail.com,"Chelsea Family Dentistry",https://www.chelseafamilydentistry.com,Chelsea,Michigan,Dentist
judytoothdoctor@gmail.com,"Judy L. Wybenga DDS",http://dentistmtpleasantmi.com,"Mount Pleasant",Michigan,Dentist
info.dockhamdental@gmail.com,"Dockham Dental Care",http://dockhamdentalcare.com,Stanton,Michigan,Dentist
craigdownerdds@gmail.com,"Dr Michael Kruscke",http://www.craigdownerdds.com,"Mount Pleasant",Michigan,Dentist
edmorefamilydentistry@gmail.com,"Edmore Family Dentistry",https://edmorefamilydentistry.com,Edmore,Michigan,Dentist
cfdsmiles123@gmail.com,"Chesaning Family Dental",http://www.chesaningfamilydental.com,Chesaning,Michigan,Dentist
mclarendental@yahoo.com,"Dr. Melissa Marie Janos",http://www.mclarendental.com,Midland,Michigan,"Dental clinic"
imberlyhaledds@gmail.com,"Hale & Hale Family Dentistry",https://www.haleandhaledds.com,Midland,Michigan,Dentist
kjpero2@gmail.com,"Kenneth J Pero DDS",http://www.stjohnsmidentist.com,"Saint Johns",Michigan,Dentist
michelsondds@gmail.com,"Harrow Dental Group",http://www.michelsondds.com,Saginaw,Michigan,Dentist
amgentner@gmail.com,"Amy Gentner",https://www.gentnerfamilydentistry.com,"Saint Johns",Michigan,Dentist
irmenfamilydentistry@gmail.com,"Joseph M Irmen DDS",http://irmenfamilydentistry.weebly.com,Midland,Michigan,Dentist
saukasfamilydentistry@gmail.com,"Robert Saukas DDS",https://www.robertsaukasdds.com,Stanton,Michigan,Dentist
kmkanedds@gmail.com,"Kane DR DDS",http://www.kevinkanedds.com,Midland,Michigan,Dentist
wolfordkarey@gmail.com,"Kimberlee J Karey DDS",http://kimberleejkarey.com,"Ann Arbor",Michigan,Dentist
greashaberdentistry@gmail.com,"Greashaber Dentistry",https://greashaberdentistry.com,"Ann Arbor",Michigan,Dentist
walcottdental@aol.com,"Walcott Dental",https://www.walcottdental.com,"Ann Arbor",Michigan,Dentist
westannarbordentistry@gmail.com,"West Ann Arbor Dentistry",http://westannarbordentistry.com,"Ann Arbor",Michigan,Dentist
mikidsdentist@gmail.com,"Tree Town Pediatric Dentistry",http://www.treetownpd.com,"Ann Arbor",Michigan,"Paediatric Dentist"
kimberlyswegles@gmail.com,"Ann Arbor Family Dental",http://www.myannarbordentist.com,"Ann Arbor",Michigan,Dentist
dr.bonniepatel@gmail.com,"Bonnie P. Patel DDS P.C.",http://www.bonniepateldds.com,"Ann Arbor",Michigan,Dentist
arborfd@gmail.com,"Ann Arbor Family Dentistry",http://annarborfamilydentistry.net,"Ann Arbor",Michigan,Dentist
lihedds@gmail.com,"Dentistry By Design",http://drhedentistry.com,"Ann Arbor",Michigan,"Dental clinic"
jungdds@yahoo.com,"Dr. Soong-Ryong Jung DDS",http://www.annarborimplant.com,"Ann Arbor",Michigan,Dentist
a2libertydental@yahoo.com,"Liberty Dental Plc: Kristin Johnson DDS",https://libertydentalplc.com,"Ann Arbor",Michigan,Dentist
gbloomfield.dds@gmail.com,"Bloomfield Gary DDS",http://www.garybloomfielddds.com,"Ann Arbor",Michigan,Dentist
mi.implant@gmail.com,"Michigan Implants & Periodontics",http://miimplants.com,"Ann Arbor",Michigan,Periodontist
kerryperio@gmail.com,"Kerry Family Dental",http://www.kerryfamilydental.com,"Ann Arbor",Michigan,Dentist
drsandbergdds@gmail.com,"Sandberg Mary Jo DDS",http://sandbergdental.com,"Ann Arbor",Michigan,Dentist
choicesmile@gmail.com,"Choice Dental",http://www.choicesmile.com,"Ann Arbor",Michigan,Dentist
chelseachick15@yahoo.com,"Karen Kerry DDS",http://www.kerryperiodontics.com,"Ann Arbor",Michigan,Dentist
jessekanedds@gmail.com,"Kane Dentistry",http://www.kanedentistry.com,"Ann Arbor",Michigan,Dentist
drcoricrider@yahoo.com,"Cori K Crider DDS",http://www.coricriderdds.com,Ypsilanti,Michigan,Dentists
omsaa@comcast.net,"Oral and Maxillofacial Surgery of Ann Arbor",http://oralsurgeryofannarbor.com,"Ann Arbor",Michigan,"Oral surgeon"
annarborperiodontics@gmail.com,"Ann Arbor Periodontics",http://www.drsorensenperio.com,"Ann Arbor",Michigan,Periodontists
annarbororthodontics@gmail.com,"Ann Arbor Orthodontics",http://a2ortho.com,"Ann Arbor",Michigan,Orthodontist
greatlakesfamilydental.saline@gmail.com,"Great Lakes Family Dental",http://www.kinradds.com,Saline,Michigan,Dentist
hockdds@outlook.com,"Fountain & Hock Family Dentistry",http://www.fountainandhockfamilydentistry.com,Plymouth,Michigan,Dentist
jcdental@gmail.com,"DR. JONG CHOI",https://drjongchoi.com,"Ann Arbor",Michigan,Dentist
arborappointments@gmail.com,"Arbor Dental Associates: Christopher J. Paulson DDS",https://www.arbordentalassociates.com,Novi,Michigan,Dentist
singletondds@gmail.com,"Singleton Michael S DDS",http://www.singletonsmiles.com,Saline,Michigan,Dentist
washtennawdental@hotmail.com,"Washtenaw Dental",http://www.washtenawdental.com,Ypsilanti,Michigan,Dentist
drbullard@comcast.net,"Comprehensive Dentistry",http://comprehensivedentistry.net,Ypsilanti,Michigan,Dentist
sorensenperio@gmail.com,"William Sorensen DDS MS",http://www.drwmpsorensen.com,"Ann Arbor",Michigan,Periodontist
maxandmandydental@yahoo.com,"Maize and Blue Dental",http://maizeandbluedental.com,Ypsilanti,Michigan,Dentist
dextertoothfairy@gmail.com,"Dexter Pediatric Dentistry",https://dexterpediatricdentistry.com,Dexter,Michigan,"Pediatric Dentists"
jdunwell@gmail.com,"Dunwell Dentistry",http://www.dunwelldentistry.com,"Suites C/D",Michigan,Dentist
beacondental08@gmail.com,"Beacon Dental",https://dexterbeacondental.com,Dexter,Michigan,Dentist
kellyannrod@comcast.net,"Total Smiles Dental Group",http://totalsmilesdental.com,Dexter,Michigan,Dentists
comdental@comcast.net,"Proart Dental Studio",http://communitydentalofwalledlake.com,"Ann Arbor",Michigan,Dentist
novidentists@gmail.com,"Novi Dentists",https://www.novidentists.com,Novi,Michigan,Dentists
drmarniegrant@gmail.com,"Marnie Grant DDS",https://www.drmarniegrant.com,Ypsilanti,Michigan,Dentists
salineorthodontics@gmail.com,"Saline Orthodontics",http://www.salinesmiles.com,Saline,Michigan,Orthodontists
bcfd.juliebond@gmail.com,"Battle Creek Family Dentistry",https://www.battlecreekfamilydentistry.com,"Battle Creek",Michigan,Dentist
lakeviewdentalbc@gmail.com,"Lambros C Chilimigras DDS",http://www.lakeviewdc.com,"Battle Creek",Michigan,"Cosmetic dentist"
randmckinleydds@gmail.com,"Dr. Rand E. Mckinley DDS",http://www.mckinleydentistry.com,"Battle Creek",Michigan,Dentist
rebecca.sommer@comcast.net,"Rebecca C. Sommer DDS. P.C.",http://www.rebeccasommerdds.com,"Battle Creek",Michigan,Dentist
millerfamilydentalbc@gmail.com,"Miller Family Dental",http://millerfamilydentalbc.com,"Battle Creek",Michigan,Dentist
naturallyyoudentist@gmail.com,"Dr. Javana Rae Cosner DDS PLLC",http://www.naturallyyoudentist.com,"Battle Creek",Michigan,Dentist
