email,company,website,city,state,profession
bmclaughlin@emergencydentalusa.com,"Emergency Dental Omaha",http://www.emergencydentalomahane.com,Omaha,Nebraska,"Emergency dental service"
grover@nidentistry.com,"New Image Dentistry",http://www.nidentistry.com,Omaha,Nebraska,"Cosmetic dentist"
jsamuelson@oneworldomaha.org,"OneWorld Dental: Livestock Exchange Building campus",http://www.oneworldomaha.org,Omaha,Nebraska,"Dental clinic"
epp@nebraskamed.com,"UNMC College of Dentistry Dental Clinic at Durham Outpatient Center",https://www.nebraskamed.com,Omaha,Nebraska,"Dental clinic"
dca@emergencydental.com,"Emergency Dental Care USA",https://www.emergencydental.com,Omaha,Nebraska,"Emergency dental service"
smile2@allcaredentalomaha.com,"All Care Dental",http://www.allcaredentalomaha.com,Omaha,Nebraska,"Cosmetic dentist"
nikki@dds4kidz.com,"Childrens Dental Specialists",http://www.dds4kidz.com,Omaha,Nebraska,"Dental clinic"
shannon@taylordentistryomaha.com,"Taylor Dentistry",http://www.taylordentistryomaha.com,Omaha,Nebraska,"Dental clinic"
drwilliams@emergencydentalservice.com,"Emergency Dentist 24/7 Omaha",https://www.emergencydentalservice.com,Omaha,Nebraska,"Emergency dental service"
raeline.mcintyre@affordabledentures.com,"Affordable Dentures & Implants",https://www.affordabledentures.com,Bellevue,Nebraska,"Denture Care Centre"
jglock@wahoodentalassociates.com,"Wahoo Dental Associates PC",http://www.wahoodentalassociates.com,Wahoo,Nebraska,"Dental clinic"
ryan.renner@omahahomesforsale.com,"Good Life Smiles Pediatric Dentist",http://goodlifesmiles.com,Omaha,Nebraska,"Paediatric Dentist"
premierdental@mb2dental.com,"Premier Pediatric Dentistry",http://www.premierdentalpediatrics.com,Omaha,Nebraska,"Paediatric Dentist"
omaha@beldrivedental.com,"Bel Drive Dental",https://beldrivedental.com,Omaha,Nebraska,"Dental clinic"
sheripotter@me.com,"DeFord Family Dental",http://www.defordfamilydental.com,Papillion,Nebraska,"Dental clinic"
mike@starkeydds.com,"Dental Implant Surgery DDS",http://starkeydds.com,Omaha,Nebraska,"General Dentistry"
smile@lincolnpediatricdentistry.com,"Lincoln Pediatric Dentistry",http://www.lincolnpediatricdentistry.com,Lincoln,Nebraska,"Paediatric Dentist"
kdentistry@kortefamilydentistry.net,"Korte Family Dentistry",https://www.kortefamilydentistry.net,Lincoln,Nebraska,"Cosmetic dentist"
gregutechtdds@windstream.net,"Gregory E. Utecht D.D.S.",http://www.gregutechtdds.com,Lincoln,Nebraska,"Cosmetic dentist"
jgouldie@collegeviewdental.com,"Dr. Judd R. Gouldie DDS",http://www.collegeviewdental.com,Lincoln,Nebraska,"Dental clinic"
krystle@glennoms.com,"Andrew R. Glenn DDS MD",http://www.glennoms.com,Lincoln,Nebraska,"Oral surgeon"
piedmont@williamsburgdentalllc.com,"Andre Rossini DDS",http://www.cretefamilydental.com,Crete,Nebraska,"Denture Care Centre"
mike@emergencydentistsusa.com,"Emergency Dentists USA",https://www.emergencydentistsusa.com,Lincoln,Nebraska,"Emergency dental service"
emily@familyfirstdental.com,"Family First Dental - Dakota City",http://ffddakotacity.com,"Dakota City",Nebraska,"Dental clinic"
nbd26east@neighborhooddentalcare.com,"Neighborhood Dental",http://neighborhooddentalcare.com,Lincoln,Nebraska,"Cosmetic Dentists"
reviews@smiledirectclub.com,"Smile Direct Club",https://smiledirectclub.com,Lincoln,Nebraska,"Teeth Whitening"
karla@prairiedental.com,"Prairie Dental Clinic",http://prairiedental.com,Lincoln,Nebraska,"General Dentistry"
claudia.lanuza@chihealth.com,"Mitchell Jay Henry DDS",https://www.chihealth.com,Lincoln,Nebraska,"Oral Surgeons"
rebecca.hohl@hohlorthodontics.com,"Rebecca H Hohl DDS",https://hohlortho.com,Lincoln,Nebraska,"General Dentistry"
roy@lakeviewdental.com,"Lakeview Dental",http://www.lakeviewdental.com,Omaha,Nebraska,"Dental clinic"
drbrown@cottonwooddentalne.com,"Cottonwood Dental",http://www.cottonwooddentalne.com,"Grand Island",Nebraska,"Dental clinic"
doniphandental@hamilton.net,"Lebsack Dental",http://www.lebsackdental.com,Hastings,Nebraska,"General Dentistry"
piprude.justin@principal.com,"Principal Financial Group",http://www.principal.com,"Grand Island",Nebraska,"Insurance agency"
bomfs@bellevueomfs.com,"Bellevue Oral & Maxillofacial Surgery",https://www.bellevue-oralsurgery.com,Bellevue,Nebraska,"Oral surgeon"
avsity@omfacialsurgery.com,"Oral Surgery Associates",https://omfacialsurgery.com,Papillion,Nebraska,"Oral Surgeon"
kearneydentalclinic@citlink.net,"Kearney Dental Clinic",http://kearneydentalclinic.com,Kearney,Nebraska,"Dental clinic"
mlimbach@toothfairydental.com,"Tooth Fairy Pediatric Dental Clinic",http://toothfairydental.business.site,Kearney,Nebraska,"Paediatric Dentist"
