email,company,website,city,state,profession
jayna@belvederedentistry.com,"Belvedere Family Dentistry",https://belvederedentistry.com,Charlotte,"North Carolina","Dental clinic"
cpccinfopark@preferredparking.com,"Central Piedmont Dental Hygiene Clinic",http://www.cpcc.edu,Charlotte,"North Carolina","Dental clinic"
heather.morris@atriumhealth.org,"Atrium Health Dental Clinic a facility of Carolinas Medical Center",https://atriumhealth.org,Charlotte,"North Carolina","Dental clinic"
records@kidzdentalcentral.com,"Kidz Dental Central",http://www.kidzdentalcentral.com,Charlotte,"North Carolina","Pediatric Dentists"
y.vann@vannfamilydental.com,"Vann Family Dental",http://www.vannfamilydental.com,Charlotte,"North Carolina","Dental clinic"
drmujica@akasmiles.com,"All Kids Pediatric Dentistry",https://www.akasmiles.com,Charlotte,"North Carolina","Paediatric Dentist"
appointments@funnydds.com,"Selden Robert DDS-University Pediatric Dentistry",http://www.universitypediatricdentistrync.com,Charlotte,"North Carolina","Paediatric Dentist"
asminel@universitydentist.com,"Phillippi and Kwon Dentistry",http://universitydentist.com,Charlotte,"North Carolina","Cosmetic dentist"
amelia@nccompletedentistry.com,"Carolina Complete Dentistry",https://www.nccompletedentistry.com,Charlotte,"North Carolina","Cosmetic dentist"
jlemmons@lemmonsdentalassociates.com,"Lemmons Dental Associates",http://www.lemmonsdentalassociates.com,Charlotte,"North Carolina","Dental clinic"
sheila@holtfamilydentistry.com,"Holt Family Dentistry",http://www.holtfamilydentistry.com,Charlotte,"North Carolina","Cosmetic dentist"
mceachern@mykidsmile.com,"Smile Pediatric Dentistry and Orthodontics",http://www.mykidsmile.com,Charlotte,"North Carolina","Paediatric Dentist"
drkelley@brookdalepediatricdentistry.com,"Brookdale Pediatric Dentistry",http://www.brookdalepediatricdentistry.com,Charlotte,"North Carolina","Paediatric Dentist"
brittany@blakeneydental.com,"Blakeney Dental Center",https://www.blakeneydental.com,Charlotte,"North Carolina","Dental clinic"
receptionist@leouickerdds.com,"Leo W. Uicker DDS",https://www.leouickerdds.com,Charlotte,"North Carolina","Dental clinic"
drclark@clarkpediatricdentistry.com,"Clark Pediatric Dentistry",http://www.clarkpediatricdentistry.com,Charlotte,"North Carolina","Paediatric Dentist"
mandy@wfcicdental.com,"Family Dentistry at CIC",http://wfcicdental.com,Charlotte,"North Carolina","Dental clinic"
university@mycenters.com,"Carolinas Center for Oral & Facial Surgery & Dental Implants",https://mycenters.com,Charlotte,"North Carolina","Oral surgeon"
jloparo@carolina.rr.com,"Charlotte Dentistry Uptown Dentist",http://www.charlottegeneraldentist.com,Charlotte,"North Carolina","Dental clinic"
christinab@growingsmilesnc.com,"Growing Smiles Pediatric Dentistry - South Charlotte",https://growingsmilesnc.com,Charlotte,"North Carolina","Paediatric Dentist"
andra@oblingerfamilydentistry.com,"Oblinger Family Dentistry",http://www.oblingerfamilydentistry.com,"Mt Holly","North Carolina","Dental clinic"
emergencies@emergencydentistcharlottenc.com,"Emergency Dentist Charlotte NC",https://www.emergencydentistcharlottenc.com,Charlotte,"North Carolina","Emergency dental service"
cpdpss@ncpediatricdentistry.com,"Cabarrus Pediatric Dentistry",https://cabarrus.ncpediatricdentistry.com,Kannapolis,"North Carolina","Paediatric Dentist"
luis@emergencydentistsusa.com,"Charlotte Emergency Dental Service",https://www.emergencydentistsusa.com,Charlotte,"North Carolina","Emergency dental service"
requests@harrelldentalimplantcenter.com,"Harrell Dental Implant Center",https://harrelldentalimplantcenter.com,Charlotte,"North Carolina","Dental implants periodontist"
apdpss@ncpediatricdentistry.com,"Afton Pediatric Dentistry",https://afton.ncpediatricdentistry.com,Concord,"North Carolina","Paediatric Dentist"
xray@charlotteoralsurgery.com,"Charlotte Oral Surgery: Kent E. Moore MD DDS",https://www.charlotteoralsurgery.com,Charlotte,"North Carolina","Oral surgeon"
wendy@kannapolispediatricdentistry.com,"Kannapolis Pediatric Dentistry",http://www.kannapolispediatricdentistry.com,Kannapolis,"North Carolina","Paediatric Dentist"
jamie@emergencydentist247.com,"Emergency Dentist Charlotte",https://www.emergencydentist247.com,Charlotte,"North Carolina","Emergency dental service"
dentistsalud@dentistsalud.com,Dentist-Salud,https://dentistsalud.com,Matthews,"North Carolina","Dental clinic"
mpdpss@ncpediatricdentistry.com,"Mooresville Pediatric Dentistry",https://mooresville.ncpediatricdentistry.com,Mooresville,"North Carolina","Dental clinic"
lopd@ncpediatricdentistry.com,"Locust Pediatric Dentistry",https://locust.ncpediatricdentistry.com,Locust,"North Carolina","Paediatric Dentist"
teamfirefly@humana.com,"Humana Specialty Benefits",http://www.humanaspecialtybenefits.com,Charlotte,"North Carolina","Insurance agency"
drwilliams@emergencydentalservice.com,"Emergency Dentist 24/7 Charlotte",https://www.emergencydentalservice.com,Charlotte,"North Carolina","Emergency dental service"
tsukkar@destdental.com,"Salisbury Family Dentistry",https://www.salisburyfamilydentistry.com,Salisbury,"North Carolina","Dental clinic"
matthews@mycenters.com,"Carolinas Centers for Oral Facial Cosmetic & Dental Implant Surgery - Billingsley Rd",https://wisdomteethonlybyspecialists.com,Charlotte,"North Carolina","Oral Surgeon"
goldsboro@carolinadentalarts.com,"Carolina Dental Arts",http://www.carolinadentalarts.com,Charlotte,"North Carolina","Cosmetic dentist"
billingsley@mycenters.com,"Myron R Tucker DDS",http://www.universityoralsurgery.com,Charlotte,"North Carolina","Oral Surgeons"
drabernethy@renaissancedentalcenter.com,"Renaissance Dental - Raleigh",https://renaissancedentalcenter.com,Raleigh,"North Carolina","Cosmetic dentist"
drh@raleighdentalarts.com,"Raleigh Dental Arts",http://www.raleighdentalarts.com,Raleigh,"North Carolina","Cosmetic dentist"
xray@carolinapedo.com,"Carolina Pediatric Dentistry Downtown Raleigh",https://carolinapedo.com,Raleigh,"North Carolina","Paediatric Dentist"
drrusso@russoddsraleigh.com,"Russo Dentistry",https://russoddsraleigh.com,Raleigh,"North Carolina","Cosmetic dentist"
durham@sunrisedentalsmiles.com,"Sunrise Dental",http://dinahvice-sunrisedental.com,Raleigh,"North Carolina","Dental clinic"
cathy@raleighimplantandfamilydentistry.com,"Raleigh Implant and Family Dentistry Dr.Simon MelcherDDS Dr. Emily RodriguezDDS",https://www.raleighimplantandfamilydentistry.com,Raleigh,"North Carolina","Dental clinic"
drdave@raleighpedo.com,"Raleigh Pediatric Dentistry",http://www.raleighpedo.com,Raleigh,"North Carolina","Paediatric Dentist"
drneshat@ncimplant.com,"Nu Image Surgical & Dental Implant Center",http://www.ncimplant.com,Raleigh,"North Carolina","Oral surgeon"
dunn@ncoso.com,"North Carolina Oral Surgery + Orthodontics - Raleigh Oral Surgery",https://ncoso.com,Raleigh,"North Carolina","Oral surgeon"
steve@davisoralsurgery.com,"Camp Brian H",http://davisimplantdentistry.com,Raleigh,"North Carolina","Oral surgeon"
yount@raleighfacialpain.com,"Raleigh Facial Pain Center",http://www.raleighfacialpain.com,Raleigh,"North Carolina","Dental clinic"
dgarrett@farmersagent.com,"Farmers Insurance: Andy Mills LUTCF",https://agents.farmers.com,Cary,"North Carolina","Insurance agency"
drfesta@dentistnorthraleigh.com,"North Raleigh Dental Studio",http://www.dentistnorthraleigh.com,Raleigh,"North Carolina","Cosmetic dentist"
drbolton@bullcitysmiles.com,"Bull City Smiles",http://www.bullcitysmiles.com,Durham,"North Carolina","Cosmetic dentist"
sommer@wakesmiles.org,"Wake Smiles",https://www.wakesmiles.org,Raleigh,"North Carolina","Dental clinic"
raleigh@pedodoctor.com,"Perry L Jeffries DDS and Associates PA - Raleigh",https://pedodoctor.com,Raleigh,"North Carolina","Paediatric Dentist"
newsmiles@bellsouth.net,"D G Polhemus DDS PLLC",http://polhemusdds.com,Raleigh,"North Carolina","Cosmetic dentist"
drvinay@apexsmiles.com,"Apex Smiles",https://www.apexsmiles.com,Apex,"North Carolina","Cosmetic dentist"
emergencies@emergencydentistraleighnc.com,"Emergency Dentist Raleigh NC",http://emergencydentistraleighnc.com,Raleigh,"North Carolina","Emergency dental service"
renee@dentaladvisor.me,"Dental Evolutions",https://dentalconsultingps.com,Raleigh,"North Carolina","Dental clinic"
keyser@keyserdds.com,"Keyser Fredrick L III DDS",http://www.keyserdds.com,Garner,"North Carolina","Oral Surgeons"
ce@love2makeusmile.com,"Steinberg Laura L DDS",http://www.love2makeusmile.com,Greensboro,"North Carolina","Cosmetic dentist"
kkrecords@dentistryrevolution.com,"Dentistry Revolution",https://dentistryrevolution.com,Greensboro,"North Carolina","Dental clinic"
bill@awinninglook.com,"Next Door Dental",http://www.nextdoordental.com,Greensboro,"North Carolina","Dental clinic"
smile@childrensdentistryofgreensboro.com,"Childrens Dentistry of Greensboro",http://www.childrensdentistryofgreensboro.com,Greensboro,"North Carolina","Paediatric Dentist"
gayle@chou-dental.com,"Chou and Chou Family Dentistry",https://www.chou-dental.com,Greensboro,"North Carolina","Dental clinic"
kidsmile@bellsouth.net,"Pediatric Dentistry of Greensboro - Dr. Scott W. Cashion DDS MS",http://www.pediatricdentistryofgreensboro.com,Greensboro,"North Carolina","Paediatric Dentist"
drfarah@smilesf.com,"Greensboro Family Dental",https://weence.com,Greensboro,"North Carolina","Dental clinic"
sarah@urgenttooth.com,"Urgent Tooth",http://www.urgenttooth.com,Greensboro,"North Carolina","Dental clinic"
msmith20@vfdental.com,"Village Kids Dentistry",http://www.villagekidsdental.com,Greensboro,"North Carolina","Dental clinic"
darlene@sachdevandhogandentistry.com,"Hogan Richard I DDS",http://sachdevandhogandentistry.com,Burlington,"North Carolina","Cosmetic dentist"
shareholder@aflac.com,Aflac,http://local.aflac.com,Greensboro,"North Carolina","Insurance agency"
drsapp@durhamdentist.com,"Durham Dentist",http://www.durhamdentist.com,Durham,"North Carolina","Dental clinic"
smile@durhamdentalgroup.com,"Durham Dental Group",https://www.durhamdentalgroup.com,Durham,"North Carolina","Dental clinic"
drrob@durhampdo.com,"Durham Pediatric Dentistry & Orthodontics",http://durhampdo.com,Durham,"North Carolina","Paediatric Dentist"
drvcooper@nc.rr.com,"Durham General Dentist",http://durhamgeneraldentist.com,Durham,"North Carolina","Cosmetic dentist"
williamgordon@frontier.com,"KAISER FAMILY DENTISTRY",http://www.kaiserdentistry.com,Durham,"North Carolina","Cosmetic dentist"
cheryl@drmichaelrichter.com,"Michael Richter DDS",http://www.drmichaelrichter.com,Durham,"North Carolina","Dental implants periodontist"
michaelflemingdds@nc.rr.com,"Michael D Fleming DDS",http://www.drmichaelfleming.com,Durham,"North Carolina","General Dentistry"
cs@ameritas.com,"Ameritas Group Dental & Eye",http://www.ameritas.com,Durham,"North Carolina","Insurance agency"
nsd@affordabledentistdurham.com,"Next Step Dental of Durham",https://affordabledentistdurham.com,Durham,"North Carolina","Dental clinic"
asa@teethpeople.com,"Chapel Hill Dental Group",http://www.teethpeople.com,"Chapel Hill","North Carolina","Dental clinic"
vitaln1@nationwide.com,"Moana Dental Care",https://www.allaboutinsurance.com,Durham,"North Carolina","Insurance agency"
ldalton@ameritas.com,"Ameritas Group Dental & Eye Care",http://ameritasgroup.com,Durham,"North Carolina","Insurance agency"
bkofford@myrapidsmile.com,"Robot-Assisted Prosthetic & Implant Dentistry Smiles",http://www.myrapidsmile.com,Durham,"North Carolina","Emergency dental service"
prd@drjelic.com,"Jeffrey S Jelic  MD",http://www.drjelic.com,Durham,"North Carolina","Oral Surgeons"
fcvotes@forsyth.cc,"Cleveland Avenue Dental Center",https://www.forsyth.cc,Winston-Salem,"North Carolina","Dental clinic"
contactusat@happykidssmiles.com,"Spangler Lambert & Lipp Pediatric Dentistry",http://www.happykidssmiles.com,Winston-Salem,"North Carolina","Paediatric Dentist"
