email,company,website,city,state,profession
boyceb@summahealth.org,"Summa Health Dental Center",https://www.summahealth.org,Akron,Ohio,"Dental clinic"
appt@centraldentalcorp.com,"Weston Family Dental",http://dentistcleveland-oh.com,Cleveland,Ohio,"General Dentistry"
mtweddle@akronchildrens.org,"Akron Childrens Hospital Celeste Myers Dental Clinic",https://www.akronchildrens.org,Akron,Ohio,"Paediatric Dentist"
jodi@ggdentist.com,"Akron Dentist Office - Ridgewood Crossing",http://www.akroncantondentist.com,Akron,Ohio,"Dental clinic"
drsemans@semansfamilydentistry.com,"Joann H. Semans DDS",https://www.semansfamilydentistry.com,Akron,Ohio,"Cosmetic dentist"
melissa.tucker@affordabledentures.com,"Affordable Dentures & Implants",https://www.affordabledentures.com,Akron,Ohio,"Denture Care Centre"
records@brighttiger.com,"Bright Tiger Dental",http://www.brighttiger.com,"Cuyahoga Falls",Ohio,"Dental clinic"
drface@me.com,"Visage Surgical Institute",https://www.visagefacialsurgery.com,Medina,Ohio,"Oral and maxillofacial surgeon"
evan@mabeldental.com,"Denture Rescue",https://denturerescue.com,Mayfield,Ohio,"Denture Care Centre"
sgelber@healthlinks.net,"Emergency Dental Care",https://healthlinks.net,Akron,Ohio,"Emergency dental service"
h.elrawy@cdiohio.org,"Cleveland Dental Institute",https://www.cdiohio.org,Akron,Ohio,"Dental clinic"
emergencies@emergencydentistakronohio.com,"Emergency Dentist Akron Ohio",https://www.emergencydentistakronohio.com,Akron,Ohio,"Emergency dental service"
dhs@rrbiznet.com,"Dental Health Services",https://dentalhealthservices2.placeweb.site,Fairlawn,Ohio,"Dental clinic"
canton@utterbackdental.com,"Utterback Dental Group",http://www.utterbackdental.com,Alliance,Ohio,"Dental clinic"
smile@dublinmetrodental.com,"Dr. Khyati Patel - Dublin Metro Dental",https://www.clearbracesdublin.com,Dublin,Ohio,"Dental clinic"
brucebakerdds@greenapple.com,"Friendly Dental",https://friendlydental.com,Lancaster,Ohio,"General Dentistry"
dt.okc@oceandental.net,"Ocean Dental of Ohio PC",http://www.oceandental.net,Whitehall,Ohio,"Dental clinic"
financial@crosscreeksdental.com,"Cross Creeks Dental",https://www.crosscreeksdental.com,Pickerington,Ohio,"Cosmetic dentist"
