email,company,website,city,state,profession
ginaw@televox.com,"Dentistry For Children Inc",https://www.dfcjenkintown.com,Jenkintown,Pennsylvania,"Dental clinic"
smile@willowtreedentalwv.com,"James D. Manning DMD. MDS",http://willowtreedentalwv.com,Monaca,Pennsylvania,"Dental clinic"
dfkmon@dfksmiles.com,"Dentistry For Kids",https://dfkonline.com,"Cranberry Twp",Pennsylvania,"Dental clinic"
info.link@sluhn.org,"Star Community Health Dental - Sigal",https://findalocation.slhn.org,Allentown,Pennsylvania,"Dental clinic"
info210@doctorsophia.com,"Sophia C. Kladias DMD",http://www.doctorsophia.com,Allentown,Pennsylvania,"Cosmetic dentist"
secure@valleyoralsurgery.com,"ROBERT LASKI D.M.D.",https://valleyoralsurgery.com,Allentown,Pennsylvania,"Paediatric Dentist"
heather@lehighoms.com,"Lehigh Oral & Maxillofacial Surgery",https://www.lehighoms.com,Allentown,Pennsylvania,"Oral surgeon"
regdesk@pottstownoralsurgery.com,"Lignelli John L DDS",http://pomfs.com,Pottstown,Pennsylvania,"Oral Surgeons"
sgelber@healthlinks.net,"Allentown Emergency Dentistry",https://healthlinks.net,Allentown,Pennsylvania,"Emergency dental service"
angie@drjwyke.com,"Dr. Jeannine E Wyke DMD",https://www.drjwyke.com,Bethlehem,Pennsylvania,"Paediatric Dentist"
smile@serenityadvanceddentistry.com,"Serenity Advanced Dentistry",http://serenityadvanceddentistry.com,Bethlehem,Pennsylvania,"Cosmetic dentist"
reviews@smiledirectclub.com,"Smile Direct Club",https://smiledirectclub.com,Allentown,Pennsylvania,"Teeth Whitening"
politandcostello@politandcostello.com,"Allentown Pain and Sleep Centers",http://politandcostello.com,Allentown,Pennsylvania,"Oral Surgeons"
michael.scott@affordabledentures.com,"Affordable Dentures Whitehall PC",http://affordabledentures.com,Allentown,Pennsylvania,"General Dentistry"
bstrawser@altoonaregional.org,"Altoona Regional Partnering for Dental Services",http://altoonaregional.org,Altoona,Pennsylvania,"Dental clinic"
greensburg@dcadental.com,"Dental Care Associates",http://www.dentalcareassoc.com,Hollidaysburg,Pennsylvania,"Dental clinic"
cavityfighters@hollidaysburgfamilydental.com,"Hollidaysburg Family Dental P.C. - Maria Lopez DDS",https://hollidaysburgfamilydental.com,Hollidaysburg,Pennsylvania,"Dental clinic"
drdevlin@statecollegedentalcare.com,"State College Cosmetic Dental",https://www.devlindental.com,"State College",Pennsylvania,"Cosmetic dentist"
jog5978@juno.com,"Salvation Army Dental Center",https://easternusa.salvationarmy.org,Johnstown,Pennsylvania,"Dental clinic"
rdeel@lrwebber.com,"Jjan Financial Group Inc",http://www.jjan.biz,Hollidaysburg,Pennsylvania,"Insurance agency"
sfdllc490@verizon.net,"Susquehanna Family Dental LLC",https://www.susquehannafamilydental.com,Curwensville,Pennsylvania,"General Dentistry"
