email,company,website,city,state,profession
tyson@epicdentalstudios.com,"Epic Dental Studios",http://www.epicdentalstudios.com,"American Fork",Utah,"Dental clinic"
rolando.galvez@affordabledentures.com,"Affordable Dentures & Implants",https://www.affordabledentures.com,"American Fork",Utah,"Denture Care Centre"
emily@denticaremanagement.com,"Mt Timpanogos Family Dental",http://prosmiles.dental,"American Fork",Utah,"Dental clinic"
drfarah@smilesf.com,"Utah Dental Imaging",https://weence.com,"American Fork",Utah,"Dental clinic"
draper@wewhiten.com,"WeWhiten Teeth Whitening",https://wewhiten.com,"American Fork",Utah,"Teeth whitening service"
vinestreetom@burgcd.com,"Burg Children's Dentistry",http://www.burgchildrensdentistry.com,Lehi,Utah,"Pediatric Dentist"
pg@sargondental.com,"Sargon Dental",http://www.sargondental.com,"Pleasant Grove",Utah,"Dental clinic"
smile@wewhiten.com,"Organically White",https://organicallywhite.com,"American Fork",Utah,"Teeth whitening service"
admin_edf@elitedentalforce.com,"Bountiful Teeth Whitening",https://www.elitedentalforce.com,Bountiful,Utah,"Teeth whitening service"
syracuse@lakeviewdental.com,"Lakeview Dental",http://www.lakeviewdental.com,Roy,Utah,"Dental clinic"
cottonwoodheights@utahfamilydental.com,"Little Mountain Dental",http://www.littlemountaindental.com,Tooele,Utah,"Dental clinic"
hporthoom@burgcd.com,"Burg Orthodontics Bountiful",https://www.burgorthodontics.com,Bountiful,Utah,"Paediatric Dentist"
jkaufman@farmersagent.com,"Hartvigsen James L Dentist",http://www.farmersagent.com,Bountiful,Utah,"Insurance agency"
123f79a4643b4ed18e7201d48cb466ce@donateddental.org,"Dental Donated",http://donateddental.org,"Salt Lake City",Utah,"Dental clinic"
pleasantview@themoosedentist.com,"Mountain View Dental",http://www.smilemountainview.com,Ogden,Utah,"Cosmetic dentist"
sugarhouse@mb2dental.com,"The Sugar House Dentist - Theurer Family Dental",http://theurerfamilydental.com,"Salt Lake City",Utah,"General Dentist"
hojo@xmission.com,"Oral Design Dental",http://oraldesigndental.com,"Salt Lake City",Utah,"Dental clinic"
drtim@allsmilesdental.com,"All Smiles Family Dentistry Inc",http://www.allsmilesdental.com,"Salt Lake City",Utah,"General Dentist"
stansburyom@burgcd.com,"Burg Pediatric Dentistry Bountiful",http://www.burgpediatricdentistry.com,"Salt Lake City",Utah,"Paediatric Dentist"
lindsay@cvpediatricdentistry.com,"Cache Valley Pediatric Dentistry",https://www.cvpediatricdentistry.com,Logan,Utah,"Pediatric Dentist"
smile@mountainspringsdental.com,"DR. LESTER GARNER JR.",http://raygarnerdds.com,"NORTH OGDEN",Utah,"Dental clinic"
brenda@southogdendentalgroup.com,"South Ogden Dental Group",http://southogdendentalgroup.com,Ogden,Utah,"General Dentistry"
jon@hfbtechnologies.com,"Dixie Oral Maxillofacial & Implant Surgery",http://www.dixieoralsurgery.com,"St. George",Utah,"Oral surgeon"
bsdg@infowest.com,"Plumb Dental",https://plumbdental.com,"Saint George",Utah,"Dental clinic"
cody@drcodykidsdental.com,"Johnson Pediatric Dentistry",https://www.drcodykidsdental.com,"Saint George",Utah,"Pediatric Dentist"
schedule@mysummitdental.com,"Summit Dental & Orthodontics",https://mysummitdental.com,Layton,Utah,"Dental clinic"
drj@toothlovers.com,"Comprehensive Dental Care",http://www.toothlovers.com,Layton,Utah,"Dental clinic"
packarddental@packarddental.com,"Packard Dental Center",http://www.packarddental.com,Roy,Utah,"General Dentistry"
chris@surgeddm.com,"Canyon Ridge Dental",https://canyonridgedental.com,"South Ogden",Utah,"Dental clinic"
trudenta@trudenta.com,"Dental Resource Systems",http://trudenta.com,Layton,Utah,"Dentist & dental surgery"
dawnetta@parkcitydentalspa.com,"Park City Dental Spa",https://parkcitydentalspa.com,"Park City",Utah,"Dental clinic"
ashlee@pc-oms.com,"Park City Oral Surgery & Dental Implant Center",https://www.parkcityoralsurgery.com,"Park City",Utah,"Oral Surgeon"
chris@hammondsmile.com,Hammond,https://www.cosmeticdentistryutahcounty.com,Provo,Utah,"Cosmetic dentist"
cherri@southmountaindental.com,"Dr. Christopher Shau Johnson",http://southmountaindental.com,Draper,Utah,"Dental clinic"
sarah@southogdendentalgroup.com,"South Ogden Dental Group",https://www.southogdendentistgroup.com,"South Ogden",Utah,"Dental clinic"
jessica@capturedentalarts.com,"Capture Dental Arts",http://capturedentalarts.com,"Saratoga Springs",Utah,"Dental clinic"
jawdoc@cvoralsurg.com,"Cache Valley Oral & Facial Surgery",https://www.cvoralsurg.com,Logan,Utah,"Oral surgeon"
logan.greene@gbsbenefits.com,"Gbs Benefits",http://www.gbsbenefits.com,Logan,Utah,"Insurance agency"
jeff@mediaresultsmarketing.com,"Emergency Dental Care",https://emergencydentalcareslc.com,"Salt Lake City",Utah,"Emergency dental service"
mtnview.ol@platinumdentalservices.com,"Mountain View Dental Care: Rasmussen Jack DDS",https://westjordandentistutah.com,"West Jordan",Utah,"Dental clinic"
dr.ari@kaleidoscopekidsdentistry.com,"Kaleidoscope Kids Dentistry",https://kaleidoscopekidsdentistry.com,Murray,Utah,"Paediatric Dentist"
megan@murraysurgical.com,"surgical center",https://www.murraysurgical.com,Murray,Utah,"Paediatric Dentist"
jim.usdan@dentistry4children.com,"Dr. Thomas Cooley Sorensen",http://dentistry4children.com,"Salt Lake City",Utah,"Paediatric Dentist"
smile@healydentalcare.com,"Healy Dental Care",https://healydentalcare.com,Ogden,Utah,"Cosmetic dentist"
leah@imfamilydental.com,"Iverson-Martinaeu Dental",https://imfamilydental.com,"South Ogden",Utah,"Dental clinic"
sgelber@healthlinks.net,"Ogden Emergency Dental",https://healthlinks.net,Ogden,Utah,"Emergency dental service"
drwilliams@emergencydentalservice.com,"Emergency Dentist 24/7 North Ogden",https://www.emergencydentalservice.com,"North Ogden",Utah,"Emergency dental service"
hillsidedentalripon@hdripon.com,"Hillside Dental Associates",https://www.hillsidedentalripon.com,"North Ogden",Utah,"Dental clinic"
leah@moyesiversondental.com,"Moyes-Iverson Dental",http://moyesiversondental.com,"South Ogden",Utah,"Dental clinic"
leann@perioviews.com,"Utah Valley Periodontics: Bankhead Alex DDS",http://www.perioviews.com,Orem,Utah,"Dental implants periodontist"
lori@mountainlands.org,"Mountainlands Dental Office",http://www.mountainlands.org,Provo,Utah,"Dental clinic"
grinners@smiledirectclub.com,SmileDirectClub,https://smiledirectclub.com,Orem,Utah,"Teeth Whitening"
springville@cascadefamily.com,"Cascade Family Dental",http://www.cascadefamily.com,Payson,Utah,"Dental clinic"
cindy@paysondental.com,"Payson Dental and Orthodontics",https://www.paysondental.com,Payson,Utah,"Dental clinic"
jake@connect4web.com,"Silver Creek Dental Of Payson-Dr. Travis Storey",http://paysondentist.com,Payson,Utah,"Dental clinic"
lianne.braganza@cigna.com,Cigna,https://www.cigna.com,Provo,Utah,"Insurance agency"
eastcobb@springfree.com,"A Kids Place Dentistry",http://www.springfreetrampoline.com,"Salt Lake City",Utah,"Dental clinic"
records@foothillfamilyclinic.com,"Egbert Nicholas L DDS",http://foothillfamilyclinic.com,"Cottonwood Heights",Utah,"Dental implants periodontist"
spida@fake-email.com,"Happy Tooth Pediatric Dentistry",https://www.happytoothslc.com,Millcreek,Utah,"Paediatric Dentist"
blimed@sbcglobal.net,"BLI Medical",http://blimedical.com,"Salt Lake City",Utah,"General Dentistry"
smilesstarthere@southhillspediatricdentistry.com,"Jacobsen Pediatric Dentistry",https://www.jacobsenpd.com,Riverton,Utah,"Pediatric Dentist"
south.jordan@platinumdentalservices.com,"Cornerstone Dental Care",https://smilesouthjordan.com,"South Jordan",Utah,"Dental clinic"
whitesmiles@ubtanet.com,"White Smiles Pediatric Dentistry",http://www.whitesmilespediatricdentistry.com,Vernal,Utah,"Paediatric Dentist"
