email,company,website,city,state,profession
murdockandsearle@gmail.com,"Utah Valley Dental",http://www.utahvalleydental.com,"American Fork",Utah,Dentist
jeffyoungquistdds@hotmail.com,"Palisades Dental - American Fork Dentist",https://palisadesdentalutah.com,"American Fork",Utah,Dentist
greenwooddentalss@gmail.com,"Greenwood Dental American Fork",http://www.greenwooddental.net,"American Fork",Utah,Dentist
subgroups70385@gmail.com,"Young Family Dental American Fork",https://youngfamilydental.com,"American Fork",Utah,Dentist
johnaanderson@comcast.net,"Pebble Lane Dental / John A. Anderson DDS",http://www.yourutahdentist.com,"American Fork",Utah,"Dental clinic"
bottdds@gmail.com,"Ryan G. Bott DDS PLLC",http://www.bottdds.com,"American Fork",Utah,Dentist
affamilydental@gmail.com,"A.F. Family Dental: Scott A. Tracy DDS MAGD",https://www.affamilydental.com,"American Fork",Utah,Dentist
bggreenster@gmail.com,"Dr. Eric Muir DDS",http://www.drericmuir.com,"American Fork",Utah,Dentist
drbrandontayler@gmail.com,"Timpanogos Dental",http://timpdental.com,"American Fork",Utah,Dentist
gregpittsdds@gmail.com,"Greg G. Pitts DDS",https://www.gregpittsdds.com,"American Fork",Utah,Dentist
danielscottburr@hotmail.com,"Burr Daniel S DDS",http://utahrootcanal.com,"American Fork",Utah,Endodontist
smartpediatricdentistry@gmail.com,"Smith Nathan E DDS",http://www.smartpediatricdentistry.com,"American Fork",Utah,Dentist
matthewssmiles@gmail.com,"Mathew Smile Dental",https://matthewssmiles.com,"American Fork",Utah,Dentist
peakorthodontics@gmail.com,"Peak Orthodontics - Pleasant Grove",http://www.peakorthodontics.net,"Pleasant Grove",Utah,Orthodontist
candicejdc@gmail.com,"Jones Dental Care",http://jonesdentalcareutah.com,"Pleasant Grove",Utah,"Dental clinic"
whitefamdental@gmail.com,"White Family Dental",https://www.whitefamdental.com,"Pleasant Grove",Utah,Dentist
familylegacydds@gmail.com,"Jeffrey A Youngquist DDS",http://familylegacydental.com,"American Fork",Utah,Dentist
lonepeakdental@gmail.com,"Lone Peak Dental",https://www.lonepeakdental.com,"Cedar Hills",Utah,Dentist
cascadedentaljvb@gmail.com,"Cascade Dental : Brown Jerry V DDS",http://cascadedentallehi.com,Lehi,Utah,"Cosmetic dentist"
pgdentist@gmail.com,"Grove Creek Dental",https://grovecreekdental.com,"Pleasant Grove",Utah,Dentist
aspenheightsdental@gmail.com,"Aspen Heights Dental",https://aspenheightsdental.com,Lehi,Utah,"Dental clinic"
