email,company,website,city,state,profession
huntsingerdental@frontier.com,"Huntsinger John DDS",http://huntsingerdental.com,Anacortes,Washington,"Dental clinic"
cannonhouse@seamarchc.org,"Sea Mar Oak Harbor Dental Clinic",http://www.seamar.org,"Oak Harbor",Washington,"Dental clinic"
shannan@nwdental.org,"Northwest Denture",http://www.nwdenture.com,"Oak Harbor",Washington,"Dental clinic"
smiles@whatcomdental.com,"Whatcom Dental",https://whatcomdental.com,Bellingham,Washington,"Dental clinic"
happysmiles@bhampediatricdds.com,"Bellingham Pediatric Dentistry",http://bellinghampediatricdentistry.com,Bellingham,Washington,"Pediatric Dentist"
drbanh@pacificnwdentistry.com,"Pacific NW Dentistry",http://pacificnwdentistry.com,Auburn,Washington,"Dental clinic"
erica@pnwoms.com,"Pacific Northwest Oral & Maxillofacial Surgeons Dental Implants & Wisdom Teeth",https://pnwoms.com,Auburn,Washington,"Oral surgeon"
success@socioh.com,"Happy Kids Dentistry & Orthodontics in Auburn",https://www.happykidsdentistry.com,Auburn,Washington,"Paediatric Dentist"
rmedina@comfortdental.biz,"Comfort Dental Lake Meridian WA",https://comfortdental-wa.com,Kent,Washington,"Dental clinic"
dallas@emergencydental.com,"Emergency Dental Care USA",https://www.emergencydental.com,"Federal Way",Washington,"Emergency dental service"
ryan@pugetsoundperio.com,"Puget Sound Periodontics",http://www.pugetsoundperio.com,"Federal Way",Washington,"Dental clinic"
kentoceanside@childrensdentalcare.com,"Brad C. Hwang DDS PS",http://www.childrensdentalcare.com,Kent,Washington,"Paediatric Dentist"
dentistry@kidson1st.com,"Kids On 1st Dentistry",http://www.kidson1stdentistry.com,"Federal Way",Washington,"Paediatric Dentist"
desmoines@freshsmilesdental.com,"Fresh Smiles Implant & Cosmetic Dentistry",http://www.freshsmilesdental.com,"Des Moines",Washington,"Cosmetic dentist"
redmond@rewardsdental.com,"Rewards Dental",http://www.rewardsdental.com,Kent,Washington,"Dental clinic"
covington@wafamilydentistry.com,"Covington Family Dentistry",http://covington.wafamilydentistry.com,Covington,Washington,"Dental clinic"
kent@cascadiakidsdentistry.com,"Cascadia Kids Dentistry - Kent",http://www.cascadiakidsdentistry.com,Kent,Washington,"Paediatric Dentist"
amanda@pacificdenture.com,"Pacific Dental & Denture Clinic",http://pacificdenture.com,"Federal Way",Washington,"Dental clinic"
heidi@puyallupvalleydental.com,"Puyallup Valley Dental Care",https://www.puyallupvalleydental.com,Puyallup,Washington,"Cosmetic Dentist"
cojeda@smiles4kidsdental.com,"Smiles 4 Kids",http://www.smiles4kidsdental.com,Olympia,Washington,"Paediatric Dentist"
drpak@puyallupdds.com,"Dr Sammy Pak DDS Family Dentistry",https://www.puyallupdds.com,Puyallup,Washington,"General Dentistry"
bellevue@ravingsmiles.com,"Optima Dental Spa Bellevue",https://www.optimadental.com,Bellevue,Washington,"Cosmetic dentist"
bellevue@sunrisedental.com,"Sunrise Dental",http://www.sunrisedentalbellevue.com,Bellevue,Washington,"Dental clinic"
nima@foroutandds.com,"Nima Foroutan DDS",http://www.foroutandds.com,Bellevue,Washington,"Dental clinic"
appointments@bellevuesdental.com,"David Aronowitz DDS MSD- Bellevue Specialized Dental Care",http://www.bellevuesdental.com,Bellevue,Washington,"Dental clinic"
drkim@jihyonkimdds.com,"Jihyon Kim D.D.S.",http://www.jihyonkimdds.com,Seattle,Washington,"Cosmetic dentist"
deanf@neighborcare.org,"Neighborcare Health at Pacific Tower",https://neighborcare.org,Seattle,Washington,"Dental clinic"
seattle@pacificdentalcare.com,"Pacific Dental Care",http://www.pacificdentalcare.com,Seattle,Washington,"Dental clinic"
renton@sunrisedental.com,"Sunrise Dental Renton",http://www.sunrisedentalrenton.com,Renton,Washington,"Dental clinic"
scheduling@bellevuesmiles.com,"Dodi Nov DDS",http://www.bellevuesmiles.com,Bellevue,Washington,"General Dentistry"
drwilliams@emergencydentalservice.com,"Emergency Dentist 24/7",https://www.emergencydentalservice.com,Kirkland,Washington,"Emergency dental service"
smiles@evergreenkidsdentist.com,"Evergreen Pediatric Dentistry",https://www.evergreenkidsdentist.com,Kirkland,Washington,"Dental clinic"
shanon@legacydentalgroup.com,"Legacy Dental Group PLLC",http://www.legacydentalsilverdale.com,Bremerton,Washington,"Cosmetic dentist"
drchen.belredpediatrics@frontier.com,"Bel-Red Pediatric Dentistry",http://www.belredpediatricdentistry.com,Redmond,Washington,"Paediatric Dentist"
holly@drcrissimmons.com,"Bellevue Neuromuscular Dentistry",http://drcrissimmons.com,Bellevue,Washington,"General Dentistry"
rich@atlasdentistry.com,"NW Family and Implant Dentistry",http://www.atlasdentistry.com,Bellevue,Washington,"Cosmetic dentist"
deb@advanceddentalteam.net,"Advanced Dental Team",https://www.advanceddentalteam.net,Kirkland,Washington,"Cosmetic Dentist"
