email,website,city,state,profession,phone,country
j.doe@inbox.com,http://www.scdiving.com,Camarillo,California,"Diving Center","(805) 233-3227",USA
info@harbordive.com,https://www.harbordive.com,Sausalito,California,"Diving Center","(415) 331-0904",USA
info@beyondlandadventures.com,http://beyondlandadventures.com,"San Diego",California,"Diving Center","(619) 366-6266",USA
ron@divecatalina.net,https://divecatalina.net,Avalon,California,"Diving Center","(310) 510-3175",USA
info@bambooreef.com,https://www.bambooreef.com,Monterey,California,"Diving Center","(831) 372-1685",USA
info@oceanenterprises.com,https://oceanenterprises.com,"San Diego",California,"Diving Center","(858) 565-6054",USA
crew@sharkdiver.com,http://www.sharkdiver.com,"San Diego",California,"Diving Center","(855) 987-4275",USA
micah@micahrich.com,http://www.sandiegodivers.com,"San Diego",California,"Diving Center","(858) 458-1348",USA
vdsstaff@venturadive.com,http://www.venturadive.com,Ventura,California,"Diving Center","(805) 650-6500",USA
captain-kyaa@sundiver.net,http://sundiver.net,"Long Beach",California,"Diving Center","(562) 370-0059",USA
info@pdgausa.com,http://pdgausa.com,"Santa Fe Springs",California,"Diving Center","(562) 229-1927",USA
jhendrick@pacificdivetraining.com,http://www.pacificdivetraining.com,Norco,California,"Diving Center","(657) 549-1229",USA
dustin@gatku.com,https://gatku.com,"El Cajon",California,"Diving Center","(619) 507-3860",USA
20explore@channelislandsx.com,https://explorechannelislands.com,"Santa Barbara",California,"Diving Center","(805) 962-1127",USA
info@montereybaydiving.com,https://www.montereybaydiving.com,"Sand City",California,"Diving Center","(831) 204-9623",USA
contact@mbayfreediving.com,http://mbayfreediving.com,Monterey,California,"Diving Center","(831) 200-3485",USA
info@peninsuladiveservices.com,http://www.peninsuladiveservices.com,Monterey,California,"Diving Center","+1 831-244-0130",USA
sales@tritonx.com,http://tritonx.com,"West Sacramento",California,"Diving Center","+1 877-938-7848",USA
info@nautilusdive.com,https://nautilusliveaboards.com,"San Diego",California,"Diving Center","(604) 241-1918",USA
