email,company,website,city,state,profession
yochiinteriors@gmail.com,"Yochi Interiors",http://www.yochiinteriors.com,Kilauea,Hawaii,"Interior designer"
designscapehawaii@gmail.com,Designscape,http://www.designscapehawaii.com,Princeville,Hawaii,"Landscape designer"
windowfashionskauai@gmail.com,"Window Fashions Kauai Inc.",http://www.windowfashionskauai.com,Kapaʻa,Hawaii,"Curtain shop"
hayleygiorgio@gmail.com,"HAYLEY K. GIORGIO",http://hayleygiorgio.com,Kilauea,Hawaii,"Interior designer"
thebarn808web@gmail.com,"The Barn 808",http://www.thebarn808.com,Hanalei,Hawaii,"Homewares Shop"
islandliquidator@gmail.com,"Hawai‘i Island Liquidators",http://www.hawaiiislandliquidators.com,Lihue,Hawaii,"Home Furniture Shop"
nskoad@gmail.com,"North Shore Koa Designs",https://northshorekoadesigns.com,Princeville,Hawaii,"Interior Design"
jenvoit@gmail.com,"Voit Studios",http://www.voitstudios.com,Hilo,Hawaii,"Interior designer"
waiolaconstruction@gmail.com,"Closets N Things",http://www.closetsnthings.com,Kailua-Kona,Hawaii,"Interior designer"
perinodesigns@gmail.com,"Perino Designs",http://www.perinodesigns.com,Kailua-Kona,Hawaii,"Interior designer"
cvhckd@aol.com,"CAROL ANN LLC",http://designbycarolann.com,Kailua-Kona,Hawaii,"Interior designer"
hilandscapingllc@gmail.com,"Total Eclipse Hawaii",http://hilandscaping.net,Kailua-Kona,Hawaii,"Interior designer"
nclauer@gmail.com,"Aloha Interior Designs by Darlene McNulty",http://www.allhawaiinews.com,"Waikoloa Village",Hawaii,"Interior designer"
furnishingsbydebi@gmail.com,"Furnishings By Debi",http://furnishingsbydebi.com,Kailua-Kona,Hawaii,"Home Furniture Shop"
frogbottomcaulking@hotmail.com,K+INTERIORS,https://frogbottomcaulking.com,Waimea,Hawaii,"Interior designer"
oliver.kaloko@gmail.com,"Kaloko Furniture",http://www.kalokofurniture.com,Kailua-Kona,Hawaii,"Home Furniture Shop"
thespoonshopkona@gmail.com,"The Spoon Shop",http://www.thespoonshopkona.com,Kailua-Kona,Hawaii,"Kitchen supply shop"
amberskyfire@yahoo.com,"Bamboo & Teak Furniture",http://www.bambooandteakfurniture.com,Kailua-Kona,Hawaii,"Home Furniture Shop"
designdimensions808@gmail.com,"Design Dimensions HI Inc.",http://www.designdimensionshi.com,Honolulu,Hawaii,"Interior designer"
anpakamaistaging@gmail.com,"Interiors Design Group",http://designandstaginghawaii.com,Honolulu,Hawaii,"Interior designer"
oasis.staging@gmail.com,Innerspaces,http://www.oasisstaginghawaii.com,Honolulu,Hawaii,"Interior designer"
ktkarlten@gmail.com,"Bloom Again Design",https://bloomagaindesign.com,Honolulu,Hawaii,"Interior designer"
diancleve@gmail.com,"Hawaii Modern Architecture & Interior Design",https://hawaiimoderninteriordesign.com,Honolulu,Hawaii,"Interior designer"
etb_drafting@hotmail.com,"ETB Drafting and Design Services",http://etbdesigndraft.wixsite.com,"Ewa Beach",Hawaii,"Architectural Designer"
dreamdecorhawaii@gmail.com,"Dream Decor Home Staging",http://www.dreamdecorhawaii.com,"Ewa Beach",Hawaii,"Interior designer"
konaindich@aol.com,"Indich Collection",http://indichcollection.com,Honolulu,Hawaii,Retail
iidashonolulu@gmail.com,"Iida's S M Limited",http://www.iidashawaii.com,Honolulu,Hawaii,Retail
betemuu@gmail.com,"Bete Inc",http://www.betemuu.com,Honolulu,Hawaii,Retail
