email,company,website,city,state,profession
gray.designstudio@yahoo.com,"Grays Design Studio",http://www.graysdesignstudio.com,Anderson,Indiana,"Home improvement shop"
jillbonnelldesign@gmail.com,"Enhancements by Design",https://www.jillbonnelldesign.com,Indianapolis,Indiana,"Interior designer"
opengatedesign@gmail.com,"Open Gate Design",http://www.opengatedesigns.com,Anderson,Indiana,Retail
prashanthidecor@gmail.com,"Prashanthi Decor LLC",https://www.prashanthidecor.com,Indianapolis,Indiana,Retail
cornerstoneinteriors@gmail.com,"Cornerstone Interiors",https://csidesignteam.com,Indianapolis,Indiana,"Interior designer"
palmcourtdesign@gmail.com,"Palm Court Design",http://www.yourdesign317.com,Indianapolis,Indiana,"Interior designer"
dadshvac.info@yahoo.com,"Level Interior Architecture",http://www.dadsheating.com,Indianapolis,Indiana,"Interior designer"
knechtsinteriors@gmail.com,"Knechts Interiors",http://knechtsinteriors.net,Connersville,Indiana,"Home Furniture Shop"
h2oprodrw@hotmail.com,"Creative Concepts Planning & Design Inc.",https://drwilsonplumbing.com,Columbus,Indiana,"Interior designer"
cherikeckeis@gmail.com,"Shepard Design Co",https://www.interiordesignercincinnatioh.com,Rushville,Indiana,"Kitchen Renovator"
nicoleblackdesign@gmail.com,"McGinnis Forrest Interiors",http://www.nicoleblackdesign.com,Carmel,Indiana,"Interior designer"
cdesigninteriorsinc@gmail.com,"Creative Designs",http://hhgc4u.com,"New Albany",Indiana,"Interior designer"
hm502llc@gmail.com,"Brad Sprigler Designs",http://handyman502.com,"New Albany",Indiana,"Interior designer"
contact.infinityhomes@gmail.com,"Infinity Built Homes and Development",https://infinitybuilthomes.com,"New Albany",Indiana,"Home builder"
megacoach@aol.com,"Millers Mini Barns",https://millersminibarns.com,Salem,Indiana,"Shed builder"
autoglassforyou@gmail.com,"River City Wood Design",https://autoglassnow.com,Jeffersonville,Indiana,"Furniture maker"
rbg47933@gmail.com,"Reclaimed By Grace",http://www.reclaimedbygraceshop.com,Crawfordsville,Indiana,"Home Furniture Shop"
maddixdesigns@outlook.com,"Maddix Designs & Interiors",http://maddixdesigns.com,Brownsburg,Indiana,"Interior designer"
interiorfixtures@yahoo.com,"Interior Fixtures",https://interiorfixtures.weebly.com,Knightsville,Indiana,"Interior designer"
joalevine@aol.com,"Liz Ditzler Interior Design",http://exclusivesinc.net,Indianapolis,Indiana,"Interior designer"
joflooh@gmail.com,"Daniel Builders Inc",http://covertheugly.com,Cloverdale,Indiana,"Home builder"
info.luxehome@gmail.com,"Luxe Home Interiors",https://www.luxeofcarmel.com,Carmel,Indiana,Retail
shophouse@gmail.com,"Shoup House Antiques",http://www.shouphouseantiques.com,"Battle Ground",Indiana,Retail
mailittodale@gmail.com,"Dale Hughes Interior Design",http://dalehughesinteriordesign.com,Franklin,Indiana,"Interior designer"
meckelconstruction@gmail.com,"Duff Athletic Design Inc",https://www.greenfield-home-improvement.com,Carmel,Indiana,"Interior designer"
artisticwalldesigns@gmail.com,"Artistic Wall Designs By Jennifer Higgins",http://www.artistic-wall-designs.com,Hammond,Indiana,"Interior Design"
karensavagedesign@gmail.com,"Karen Savage Design",http://www.karensavagedesign.com,Middlebury,Indiana,"Interior designer"
piserdesigns@gmail.com,"Piser Designs",http://piserdesigns.com,"South Bend",Indiana,Retail
inmortgage@yahoo.com,"Fiero Interiors",http://www.fierointeriors.com,Denver,Indiana,"Interior designer"
blackcrowelkhart@gmail.com,"The Black Crow On Main",https://www.blackcrowonmain.com,Elkhart,Indiana,"Home & Garden"
awordofart9@gmail.com,"Design By Susan",http://www.awordofart9.wix.com,"Fort Wayne",Indiana,"Interior designer"
elements318main@gmail.com,"Elements Design Studio",http://elements318main.com,Evansville,Indiana,"Interior designer"
dezigns4u@gmail.com,Solutions,http://evansvilleremodelingservice.com,Evansville,Indiana,"Interior designer"
bandshome@hotmail.com,"Intimate Interiors",http://bandshomeimprovement.com,Evansville,Indiana,"Interior designer"
stellas333state@yahoo.com,"Stella's Finishing Touches",http://stellasfinishingtouches.com,Newburgh,Indiana,Retail
dfrieler1@gmail.com,"D & D Interiors Inc",https://www.danddinteriors.com,Jasper,Indiana,"Interior designer"
pearlandchrome@gmail.com,"Pearl and Chrome Home Interiors",http://www.pearlandchrome.com,Vincennes,Indiana,Retail
twsu21ed@gmail.com,"The Red Poppy",https://theredpoppygifts.com,Evansville,Indiana,Retail
addesigner@aol.com,"Accent Designs",http://www.accentdesigner.com,"New Haven",Indiana,"Interior designer"
smecloudconsultants@gmail.com,"North American Design House",http://smecloudconsultants.com,"Fort Wayne",Indiana,"Web Designer"
iloverugs2@aol.com,"Aaron's Fine Rug Gallery",http://www.aaronsorientalruggallery.com,"Fort Wayne",Indiana,Retail
fairfieldgalleries@hotmail.com,"Fairfield Galleries",https://www.fairfieldgalleries.com,"Fort Wayne",Indiana,Retail
dui46514@outlook.com,"Designs Unlimited",https://www.designsunlimitedinteriors.com,Elkhart,Indiana,"Interior designer"
inspiredinteriors@yahoo.com,"Inspired Interiors",http://www.inspiredinteriors.biz,Linton,Indiana,Retail
jenkinsgreenhouse@gmail.com,"Jenkins Family Greenhouses",https://www.jenkinsfamilygreenhouses.com,Dale,Indiana,Retail
theinteriorspecialist@yahoo.com,"The Interior Specialist",http://www.theinteriorspecialist.com,Newburgh,Indiana,Remodeller
worldfurniture2017@hotmail.com,"World Furniture",https://www.worldfurnitureusa.com,Griffith,Indiana,"Home Furniture Shop"
michaelsresale15@gmail.com,"Michaels Resale and Consignment",http://michaelsresale.com,Highland,Indiana,"Home Furniture Shop"
interiordesignsbyvickie@hotmail.com,"Interior Designs By Vickie",http://www.interiordesignsbyvickie.com,Logansport,Indiana,"Interior Design"
legacy.middlebury@gmail.com,"Legacy Home Furniture - Goshen",http://www.legacyhomefurniturein.com,Goshen,Indiana,"Furniture Stores"
essentialdevelopments@gmail.com,"Essential Developments Inc",https://goodmorningconstruction.business.site,Munster,Indiana,"Interior construction contractor"
communityfurnishings@gmail.com,"Community Furnishings",https://www.communityfurnishings.com,Hammond,Indiana,"Home Furniture Shop"
hruskocyk@gmail.com,"Decor & More",https://hammond-paint.ueniweb.com,Schererville,Indiana,"Homewares Shop"
villagecarpet@comcast.net,"Village Carpet & Tile",http://www.villagecarpet-tile.com,Portage,Indiana,"Carpet Retail Shop"
ukdesigntv@gmail.com,"BoxDrop Mattress & Furniture of Portage",http://boxdropportage.com,Portage,Indiana,"Bedroom furniture store"
elcskdixon@yahoo.com,"Carpet Liquidators by Ed",https://www.carpetstoremerrillvillein.com,Merrillville,Indiana,"Carpet Retail Shop"
mayambiance@gmail.com,"Ambiance Your Home Your Story",https://www.ambiancehomestory.com,"Saint John",Indiana,Retail
leverichpainting@comcast.net,"Leverich Painting & Decorating",http://www.leverichpainting.com,Valparaiso,Indiana,"Interior Design"
oscardemo7@gmail.com,bohemedesign,https://demo-construction.business.site,Indianapolis,Indiana,"Interior designer"
gabrielshomedesign@outlook.com,"Gabriels Home Interior Design",http://www.gabrielshome.com,Indianapolis,Indiana,"Interior designer"
sdrabtofab@yahoo.com,"Drab to Fab Decorating",http://www.drabtofabdecorating.com,Carmel,Indiana,"Interior designer"
deinteriordesigns@gmail.com,"DesignEnvy Interiors",http://claprood.houzz.com,Carmel,Indiana,"Interior designer"
decorndezign@gmail.com,"H D Enterprises",https://decorndezign.com,Indianapolis,Indiana,"Interior designer"
adamhamptondesigns@gmail.com,"Hampton Designs Studio & Shop",http://www.adamhamptondesigns.com,Indianapolis,Indiana,"Homewares Shop"
gustavomeridainterni@gmail.com,"Gustavo Merida",http://gustavomeridainterni.com,Indianapolis,Indiana,"Interior designer"
shinedesign@live.com,"Shine Design Home",http://shinedesignhome.com,Fishers,Indiana,"Home Furniture Shop"
brierwoodint@aol.com,"Brierwood Interiors",http://brierwoodinteriors.com,Indianapolis,Indiana,"Interior design studio"
eye4designindy@gmail.com,"Eye 4 Design",http://www.eye4design.biz,Indianapolis,Indiana,"Interior designer"
aking.eleven18@gmail.com,"Eleven 18 Interior Design",https://www.eleven18design.com,Yorktown,Indiana,"Interior Design Studio"
dominicsupholstery@yahoo.com,"Dominic's Design",http://dominicsdesign.com,Carmel,Indiana,"Furniture maker"
nestnumber4@gmail.com,"Nest Number 4",http://www.nestnumber4.com,"Michigan City",Indiana,"Homewares Shop"
amishstructures1@gmail.com,"Amish Structures INC.",http://www.amishstructuresllc.com,"Michigan City",Indiana,"Shed builder"
sleepingtigerimports@hotmail.com,"Sleeping Tiger Imports",https://sleepingtigerimports.com,"Michigan City",Indiana,"Home Furniture Shop"
barbereensexton@gmail.com,"Simply Closets and Blinds",http://simplyclosetsandblinds.com,Valparaiso,Indiana,"Interior decoration"
judy.carpetdepot@gmail.com,"Carpet Depot Interiors",http://www.carpetdepotinteriors.com,"Winona Lake",Indiana,"Interior designer"
bellahomedecorating@gmail.com,"bella home decorating",http://bellahomedecorating.weebly.com,"South Bend",Indiana,"Interior Design"
michaelsdesignco@gmail.com,"Michaels Design Co",http://michaelsdesigncompany.com,Mishawaka,Indiana,"Interior designer"
elkhartexterminators@gmail.com,"Interior Specialties Ltd",http://www.elkhartexterminators.com,Elkhart,Indiana,"Interior designer"
noobtube2019@gmail.com,"Beverly R Interior Design",https://blue-nights.ueniweb.com,Wolcottville,Indiana,"Interior designer"
scottspink@comcast.net,"Williamsburg Furniture Inc",http://www.wbfusa.com,Nappanee,Indiana,"Furniture manufacturer"
saleswfb@gmail.com,"Weaver Furniture Barn",https://www.weaverfurniturebarn.com,Nappanee,Indiana,"Home Furniture Shop"
pontiuszachary@gmail.com,"Carved Expressions",http://carvedexpreesioncrafters.com,Goshen,Indiana,"Home Furniture Shop"
furniturefactory@yahoo.com,"Furniture Factory Outlet",http://www.furniturefactoryoutletofwarsaw.com,Warsaw,Indiana,"Home Furniture Shop"
nkaw30@yahoo.com,"ORACLE DESIGNS",https://nkaw30.wixsite.com,"New Albany",Indiana,"Interior designer"
james.mattoni@gmail.com,"JM Design",http://www.jmdesign.biz,"New Albany",Indiana,"Interior Design"
designer.builders.ky@gmail.com,Madhouse,http://www.designerbuildersky.com,"New Albany",Indiana,"Home & Garden"
peru.vacuum@yahoo.com,"Peru Vacuum Carpet & Flooring",http://www.peruvacandflooring.com,Peru,Indiana,"Carpet Retail Shop"
jlohning@aol.com,"Jeff Lohning Custom Homes",http://jefflohningcustomhomes.com,Walton,Indiana,"Kitchen Renovator"
cbrademas@aol.com,"Interiors Etc",http://interiorsetcdetails.blogspot.com,Mishawaka,Indiana,Retail
signature_184@hotmail.com,"William Tell Antiques & Collectibles",http://www.williamtellantiques.com,"Tell City",Indiana,"Antique Furniture Shop"
joeandlindas.radiosales@gmail.com,"Joe & Lindas Radio Sales Inc / Furniture Place",http://joeandlindas.com,Cannelton,Indiana,"Electronics Retail and Repair Shop"
leiberingfelicia@gmail.com,"Leibering Dimension Inc.",https://leiberingdimension.com,Ferdinand,Indiana,"Home improvement shop"
cook10339@aol.com,"Homes by Robert Cook",http://www.homesbyrobertcook.net,Evansville,Indiana,"Home builder"
townsquaresales@gmail.com,"Town Square Furnishings",http://www.lotsofcomfort.com,Boonville,Indiana,"Home Furniture Shop"
mrdanmcgraw@yahoo.com,"Jasper Group Inc.",http://www.jsifurniture.com,Jasper,Indiana,"Home Furniture Shop"
ale7234@msn.com,"Best Chairs Inc.",http://www.owensborointeriordesigner.com,Cannelton,Indiana,"Home Furniture Shop"
nathan42301@gmail.com,"Louis Crochet Home Improvement",https://heartland-home-and-lawn-care.ueniweb.com,Boonville,Indiana,"Home improvement shop"
jimhendrickson1@gmail.com,"Newburgh Floor Covering",http://www.newburghfloorcovering.com,Newburgh,Indiana,"Carpet Retail Shop"
paynesroofing1011@outlook.com,"Alpha-Omega Contracting",https://paynesroofingllc.com,Boonville,Indiana,"Bathroom Renovator"
cassiemcdonough@hotmail.com,"Blinds Etc.",https://www.myblindsetc.com,Evansville,Indiana,"Interior designer"
service.indianarugco@gmail.com,"Indiana Rug Co & Textile Fab",http://www.indianarugco.com,Mishawaka,Indiana,"Home & Garden"
ifwallscouldtalk20@gmail.com,"If Walls Could Talk",http://ifwallscouldtalk1.godaddysites.com,Valparaiso,Indiana,Retail
pollyb3987@aol.com,"Ace Blind & Drapery",https://www.aceblindanddraperyterrehaute.com,"Terre Haute",Indiana,Retail
jrwilsonchr@gmail.com,"Complete Home Renovations",http://www.completehomerenovationsinc.com,"Terre Haute",Indiana,"Interior Design"
scs061107@gmail.com,"Kitchen Design Studio",http://bechtconstruction.net,Valparaiso,Indiana,"Kitchen Furniture Shop"
medesignandconstruction@gmail.com,"ME Design and Construction",http://medesignconstruction.com,Chesterton,Indiana,Remodeller
anotherseasonfloral@gmail.com,"Another Season Floral & Home Accessories",http://www.anotherseasonfloral.com,Demotte,Indiana,Retail
jdjlogbuildings@gmail.com,"Kohlhouse General Contracting",http://www.jdjlogbuildings.com,Vincennes,Indiana,"Kitchen Renovator"
designwithpeaceinmind@gmail.com,"Design With Peace In Mind",https://designwithpeaceinmind.weebly.com,Washington,Indiana,"Interior designer"
richahn65@gmail.com,"Flowers & Interiors Inc",https://www.flwsint.com,Bloomington,Indiana,Retail
wenpuffer@gmail.com,"Wendy Puffer Design",https://www.wendypuffer.com,Marion,Indiana,"Interior designer"
thecreameryroanoke@gmail.com,"The Creamery Roanoke",http://thecreameryroanoke.com,Roanoke,Indiana,"Interior designer"
info42eclectic@gmail.com,"Eclectic Shoppe",http://www.eclecticshoppe.com,Wabash,Indiana,"Homewares Shop"
fthd20@yahoo.com,"Anita Goris Interior Design",https://from-the-heart-designs.ueniweb.com,Lafayette,Indiana,"Interior designer"
decor4kidsshelly@aol.com,"Decor 4 Kids",https://decor4kidsstore.com,Westfield,Indiana,Retail
