email,company,website,city,state,profession
micheleb.interiors@gmail.com,"Michele Broussard Interiors",https://www.michelebroussardinteriors.com,Youngsville,Louisiana,"Interior designer"
swagsdesign@aol.com,"Swags Studio",http://swagsstudio.com,Lafayette,Louisiana,"Interior designer"
csigoforth@yahoo.com,"Pauls Draperies & Interiors",http://www.lafayetteremodelingcontractor.com,Scott,Louisiana,"Interior designer"
egeracedesign@gmail.com,"Acadian Woodworks",https://www.elizabethgerace.com,"New Iberia",Louisiana,"Interior designer"
dulinllc@gmail.com,"Du Lin LLC",http://dulinforyourhome.com,Lafayette,Louisiana,"Interior designer"
lisafsellers63@gmail.com,"Garys Home Furnishings",http://garyshomefurnishings.com,Abbeville,Louisiana,"Home Furniture Shop"
supremeportablebuildings@gmail.com,"Supreme Portable Buildings & Covers",http://www.supremeportablebuildings.com,Abbeville,Louisiana,"Building design company"
jaredgautreaux@hotmail.com,"Exquisite Designs by Tim LLC",https://instepconstruction.com,Crowley,Louisiana,"Interior designer"
danielgerardbergeron@gmail.com,"McMillin Interiors",http://mcmillininteriors.com,"Baton Rouge",Louisiana,"Interior designer"
nolankimbleinteriors@gmail.com,"Nolan Kimble",http://nolankimble.com,"Baton Rouge",Louisiana,"Interior designer"
thebirdsnest714@yahoo.com,"Birds Nest",http://thebirdsnestlafayette.com,Lafayette,Louisiana,Retail
jan.h.strickland@gmail.com,"Strickland Interiors",http://www.stricklandinteriors.com,Rayville,Louisiana,"Interior Decorator"
cottonbale.market@gmail.com,"Cotton Bale Market",http://www.cotton-bale-market.com,"Mer Rouge",Louisiana,"Homewares Shop"
customflooringremodeling@gmail.com,"Barnett&Brown Remodeling Company LLC",https://crispconstruction-llc.business.site,"West Monroe",Louisiana,"Bathroom Renovator"
stewartgentry@aol.com,"New York Furniture",https://1stcallconstructionla.com,Monroe,Louisiana,"Home Furniture Shop"
timothybglover@icloud.com,"Burns and Newell",https://burnsandnewell.com,Monroe,Louisiana,"Home Furniture Shop"
curiousfleamarket@yahoo.com,"Curious Odds n Ends Furniture Flea Market & Home Services",http://www.curiousfleamarket.com,Monroe,Louisiana,"Home Furniture Shop"
boxdropwestmonroe@gmail.com,"Box Drop Mattress",http://www.boxdropwestmonroe.com,"West Monroe",Louisiana,"Bedroom furniture store"
thomas.a.farina@gmail.com,"Great Walls Artistic & Dcrtv",http://thomasafarina.wixsite.com,Ruston,Louisiana,"Interior designer"
abercrombiedesigns1@gmail.com,"Abercrombie Designs",http://abercrombiedesigns.com,"Baton Rouge",Louisiana,"Interior designer"
maddi.van.pelt@gmail.com,"​​​Maddi Van Pelt",http://mvanpelt.design,"Baton Rouge",Louisiana,"Interior designer"
mkm1020@gmail.com,"Inspirations Furniture and Design",https://www.inspirationsbr.com,"Baton Rouge",Louisiana,"Home Furniture Shop"
stagepresence4u@gmail.com,"Stage Presence",http://www.stagepresence4u.com,"Baton Rouge",Louisiana,"Interior designer"
clairecsanchez@gmail.com,"Claire Sanchez Studios LLC",http://www.clairesanchez.com,"Baton Rouge",Louisiana,"Design agency"
themarket1857@gmail.com,"The Market at Circa 1857",http://themarketbr.com,"Baton Rouge",Louisiana,Retail
alisaverretinteriors@gmail.com,"Alisa Verret Interiors & Custom Workroom",http://www.alisaverretinteriors.com,"Denham Springs",Louisiana,"Interior designer"
studiocaracol@gmail.com,"Studio C",http://studiocbr.com,"Baton Rouge",Louisiana,Retail
blindsbygaye@yahoo.com,"Blinds & Interiors by Gaye",http://blindsbygaye.com,Mandeville,Louisiana,"Curtain shop"
