email,company,website,city,state,profession
jasenb@4-mbs.com,"Michigan Building Specialties",http://www.4-mbs.com,Adrian,Michigan,"Kitchen Renovator"
info@burdickkitchens.com,"Burdicks Kitchen & Bath",http://www.burdickkitchens.com,Adrian,Michigan,"Kitchen Renovator"
dennis@abbeycarpetlenawee.com,"Abbey Carpet & Floor",http://adrian.abbeycarpet.com,Adrian,Michigan,"Carpet Retail Shop"
davepinkelman@carterlumber.com,"Carter Kitchen & Bath",https://www.carterlumber.com,Adrian,Michigan,"Kitchen Renovator"
influencer@lowes.com,"Lowes Home Improvement",https://www.lowes.com,Adrian,Michigan,"Home improvement shop"
jenna@jbsdesignservices.com,"JBS Design Services",http://www.jbsdesignservices.com,"Cement City",Michigan,"Interior designer"
sales@amishoutdoorbuildings.com,"Amish Outdoor Buildings of Michigan",https://amishoutdoorbuildings.com,Adrian,Michigan,"Shed builder"
info@simmonscodesign.com,"Simmons + Co. Design - Decorating Den Interiors",https://veronica.decoratingden.com,"Commerce Charter Twp",Michigan,"Interior designer"
marketing@habitatery.com,"Habitatery Inc.",http://www.habitatery.com,"Ann Arbor",Michigan,"Interior designer"
customhomeinterior@sbcglobal.net,"Custom Home Interiors",http://www.customhomeinteriors.com,Charlotte,Michigan,"Interior designer"
info@surroundingsonline.com,"Surroundings Fine Art & Design Inc.",http://www.surroundingsonline.com,"Superior Charter Twp",Michigan,"Interior designer"
allison@allisondemartedesign.com,"Allison DeMarte Design",http://www.allisondemartedesign.com,Saline,Michigan,"Interior designer"
jcash@showhomes.com,"Showhomes Southeast Michigan",http://www.showhomes.com,Dundee,Michigan,"Interior designer"
contact@aarons.com,Aarons,http://www.aarons.com,Adrian,Michigan,"Home Furniture Shop"
info@danielsandzermack.com,"D & Z Interiors",http://www.danielsandzermack.com,"Ann Arbor",Michigan,"Interior designer"
info@integrityconstructionpros.com,"Integrity Construction Pros LLC",https://integrityconstructionpros.com,Tecumseh,Michigan,Remodeller
blocksmadesigns@earthlink.net,"BLOCKSMA DESIGNS",http://blocksmadesigns.com,"Grass Lake",Michigan,"Interior designer"
stephanie@jhendersoninteriors.com,"Jane Henderson Interiors",http://www.janehendersonid.com,"Ann Arbor",Michigan,"Interior designer"
chris@miofficefurniture.com,"Wolverine Office Interiors",http://miofficefurniture.com,"Ann Arbor",Michigan,"Office Furniture Shop"
hr@wmoi.com,"Michigan Office Interiors",https://wmoi.com,"Ann Arbor",Michigan,Retail
grahamz@oakarbor.net,"Oak Arbor Company LLC",http://oakarbor.tumblr.com,"Ann Arbor",Michigan,"Landscape designer"
marybeth@mbwilsoninteriors.com,"MB Wilson Interior Design.",http://www.mbwilsoninteriordesign.com,Plymouth,Michigan,"Interior designer"
bill.watters@dbiyes.com,"Dbi Business Interiors",http://www.dbiyes.com,Jackson,Michigan,Retail
info@vermeulenfurniture.com,"vermeulen furniture",http://www.vermeulenfurniture.com,Jackson,Michigan,Retail
derek@cbdbrowardcounty.com,"Closets by Design",http://www.closetsbydesign.com,Lansing,Michigan,"Home Organization"
bcorcoran@manslumber.com,"Luedi Design Interiors",http://www.manslumber.com,"Ann Arbor",Michigan,"Interior designer"
allie@bloomthatroom.com,"Ra interior design llc",http://www.bloomthatroom.com,Canton,Michigan,"Interior designer"
lauren@thegeorgiapear.com,"MTB Interior Design",https://www.lfdesigns.co,Northville,Michigan,"Interior designer"
carol@creativeinteriorsdesigns.com,"Creative Interiors",http://www.creativeinteriorsdesigns.com,"Mt Pleasant",Michigan,"Interior designer"
wayland@continentalrto.com,"Continental Home Center",https://www.continentalhomecenter.com,Alma,Michigan,"Furniture Rental Service"
jeffneedham@frontier.com,"Needhams Home Center",http://www.needhamshomecenter.net,"St. Louis",Michigan,"Carpet Retail Shop"
m.pashak@pinnacledesign.biz,"Pinnacle Design",http://pinnacledesign.biz,Saginaw,Michigan,"Home Furniture Shop"
comments@selfservelumber.com,"Self Serve Lumber and Home Center",https://selfservelumber.com,"St. Louis",Michigan,"Home improvement shop"
info@jenniferbutler.design,"Jennifer Butler Design",http://jenniferbutler.design,"Grand Rapids",Michigan,"Interior designer"
inquiry@glrustics.com,"Great Lakes Rustics",http://www.glrustics.com,Alma,Michigan,"Home Furniture Shop"
info@deidreinteriors.com,"Deidre Interiors",http://www.deidreinteriors.com,"Grand Rapids",Michigan,"Interior designer"
ryanbright@roidesign.com,"r.o.i. Design",http://roidesign.com,"Grand Rapids",Michigan,"Interior designer"
dawnmarie@dmcdesignllc.com,"DMC Design Custom Interiors",http://www.dmcdesignllc.com,Ada,Michigan,"Interior designer"
mhinskey@spaceinc.net,"SPACE Inc.",http://spaceinc.net,Midland,Michigan,"Office Furniture Shop"
carly@cvidesign.com,"CVI Design",http://www.cvidesign.com,"Grand Rapids",Michigan,"Interior designer"
kim@rockkauffmandesign.com,"Rock Kauffman Design",https://rockkauffmandesign.com,"Grand Rapids",Michigan,"Interior designer"
info@northstaramish.com,"Amish Interiors by North Star Trader",http://northstaramish.com,Ithaca,Michigan,"Amish Furniture Shop"
missy@studiom-interiors.com,"Studio M Interiors",http://studiom-interiors.com,"Grand Rapids",Michigan,"Interior designer"
ben@palmerconst.com,"Palmer Construction LLC",http://palmerconst.com,Midland,Michigan,"Interior designer"
hannah@visbeen.com,"Vision Interiors",http://visionbyvisbeen.com,"Grand Rapids",Michigan,"Interior designer"
donj@gomcdaniels.com,"McDaniels Kitchen & Bath",https://www.gomcdaniels.com,Lansing,Michigan,"Kitchen Renovator"
owner@atlcontractingmi.com,"Kevin Colbry Builders",https://atlcontractingmi.com,Alma,Michigan,"Home builder"
design@francescaowings.com,"Francesca Owings Interior Design",http://www.francescaowings.com,"Grand Rapids",Michigan,"Interior designer"
tylor@tdinteriordesign.com,"Tylor Devereaux Interior Design",http://www.tdinteriordesign.com,"Grand Rapids",Michigan,"Interior designer"
info@degraafinteriors.com,"DeGraaf Interiors",https://www.degraafinteriors.com,"Grand Rapids",Michigan,"Carpet Retail Shop"
bethany_george@homedepot.com,"The Home Depot",https://www.homedepot.com,"Mt Pleasant",Michigan,"Home improvement shop"
hello@fuchsiadesign.com,"Fuchsia Design",https://www.fuchsiadesign.com,"Grand Rapids",Michigan,"Interior designer"
john@thomashomeint.com,"Thomas Home Interiors",https://www.thomashomeinteriors.com,Belding,Michigan,"Kitchen Renovator"
info@refreshdesign.net,"Refresh Design",http://www.refreshdesign.net,"Grand Rapids",Michigan,"Interior designer"
kurt@kfedewabuilders.com,"K.Fedewa Builders",https://www.kfedewabuilders.com,"St Johns",Michigan,"Bathroom Renovator"
pascale.millards@casair.net,"Millards Furniture & Appliance",https://millards-store.com,Stanton,Michigan,"Home Furniture Shop"
jim@jimsamish.com,"Jims Amish Structures",http://www.jimsamish.com,"St Johns",Michigan,"Shed builder"
info@wilsonsmobilehome.com,"Wilsons Supplies & Mobile Home Parts",http://www.wilsonsmobilehome.com,"Howard City",Michigan,"Mobile Home Supply Shop"
guest@menard-inc.com,Menards,https://www.menards.com,"Mt Pleasant",Michigan,"Home improvement shop"
info@gieskensinc.com,"Gieskens Cabinetry & Floor Covering",https://gieskensinc.com,Chesaning,Michigan,"Kitchen Renovator"
tbaileyconst@sbcglobal.net,"Bailey Construction Inc",https://www.baileyconstr.com,Freeland,Michigan,"Home builder"
info@greystonehomesmi.com,"Greystone Homes",https://greystonehomesmi.com,Midland,Michigan,"Custom home builder"
corey@irdhomes.com,"Interior & Residential Designers LLC",http://irdhomes.com,Frankenmuth,Michigan,"Interior Design"
me@midbayremodeling.com,"Mid Bay Remodeling",https://www.midbayremodeling.com,Sanford,Michigan,Remodeller
info@artichokeinteriors.net,"Artichoke Interiors",http://hstrial-djacobs365.homestead.com,Clarkston,Michigan,"Interior Design Studio"
jessica@delightindesigns.com,"Delight In Designs",https://delightindesigns.com,"Grand Rapids",Michigan,Remodeller
social@americanfreight.us,"American Freight Furniture Mattress Appliance",https://www.americanfreight.com,Saginaw,Michigan,"Home Furniture Shop"
