email,company,website,city,state,profession
rmerickson30@gmail.com,"Erickson Furniture",http://www.erickson-furniture.com,Faribault,Minnesota,Retail
inspiringinteriorsbydeb@gmail.com,"Inspiring Interiors",http://inspiringinteriors.biz,Sherburn,Minnesota,"Interior designer"
seamlesscrew@gmail.com,"Frizzell Furniture Gallery Dock",http://www.upnorthexteriors.com,Bemidji,Minnesota,"Furniture accessories"
jessie.cabinetcorner@gmail.com,"Cabinet Corner Inc.",https://www.cabinetcorners.com,Wilton,Minnesota,"Kitchen Renovator"
stonerock70@yahoo.com,"Daves Rustic Willow Furniture",http://www.davesrusticwillow.com,Bemidji,Minnesota,"Rustic Furniture Shop"
jgowen19@hotmail.com,"Jag Interior Solutions LLC",http://www.jaginteriorsolutions.net,Crosslake,Minnesota,"Interior Design"
billy.einsteinbuilders@gmail.com,"Muldowney Interiors LLC",http://www.einsteinremodeling.com,Minneapolis,Minnesota,"Interior designer"
tiffanyweissdesign@gmail.com,"Reilly Interiors",http://www.tiffanyweissdesigns.com,Minneapolis,Minnesota,"Interior designer"
leilalakedesign@gmail.com,"Design Studio At 50th and France",https://www.50thandfrance.com,Minneapolis,Minnesota,"Interior designer"
romensinc@hotmail.com,"Romens Interiors",http://www.romensinteriors.com,Edina,Minnesota,"Interior designer"
backstromremodeling@gmail.com,"Interiors Interface",http://www.backstromremodeling.com,Savage,Minnesota,"Interior designer"
jmadgeinteriors@gmail.com,"Julie Madge Interiors",http://www.jmadgeinteriors.com,Minneapolis,Minnesota,"Interior designer"
maggiemayinteriors@gmail.com,"Maggie May Interiors",https://www.maggiemayinteriors.com,"St Paul",Minnesota,"Interior designer"
sortedmpls@gmail.com,"Inner Plan Design Inc",http://www.sortedmpls.com,Minneapolis,Minnesota,"Interior designer"
interiorsforall1@gmail.com,"Interiors for All",https://interiorsforall.biz,Minneapolis,Minnesota,"Interior designer"
nancydiltswc@gmail.com,"By the Hour Design Consultants",https://nancydilts.com,"St Paul",Minnesota,"Interior designer"
madisonhouseinteriors@gmail.com,"Madison House Interiors",http://www.madisonhouseinteriors.com,"Eden Prairie",Minnesota,"Interior designer"
rebeccacashmoreinteriors@gmail.com,"Rebecca Cashmore Interiors",http://www.rebeccacashmoreinteriors.com,Minnetonka,Minnesota,"Interior designer"
roomscapes1@gmail.com,Roomscapes,http://www.roomscapesinteriordesigns.com,Minneapolis,Minnesota,"Interior designer"
pinnacledesigns@yahoo.com,"Chad Davies ARCHITECTURAL DESIGN",https://www.pinnacleinteriordesigns.com,Minneapolis,Minnesota,"Architectural Designer"
blindattraction@hotmail.com,"Blind Attraction",http://www.blindattraction.com,Bloomington,Minnesota,"Curtain shop"
craskhomes@comcast.net,"Crask Homes & Design - Remodeling",http://www.craskhomes.com,Bloomington,Minnesota,"Kitchen Renovator"
jaynuhring@gmail.com,"Jay Nuhring Interior Styling & Art",http://jaynuhring.com,Minneapolis,Minnesota,"Interior designer"
kirstin.h@comcast.net,"Adolfson Interior Design",http://www.adolfsoninteriordesign.com,"Cottage Grove",Minnesota,"Interior designer"
moderncolormn@gmail.com,"Modern Color",http://moderncolormn.weebly.com,Minneapolis,Minnesota,"Interior Decorator"
brynnalden@yahoo.com,"(BY APPOINTMENT ONLY) Brynn Alden Interior Design LLC (BY APPOINTMENT ONLY)",https://brynnalden.com,"Cottage Grove",Minnesota,"Interior designer"
searl56@comcast.net,"Homecare Incorporated",http://www.homecareincremodeling.com,Bloomington,Minnesota,Remodeller
bcuzoule@outlook.com,"Bloomington Custom Upholstery",http://www.bloomingtoncustomupholstery.com,Minneapolis,Minnesota,"Furniture repair shop"
sstrojny@yahoo.com,"Designs by Stacy - Remodeling & Interior Design",http://www.stacydesignremodeling.com,"Apple Valley",Minnesota,"Interior designer"
thetime4design@gmail.com,"The Time 4 Design - Interior Design and Home Staging",http://www.thetime4design.com,"Prior Lake",Minnesota,"Interior designer"
kelliegermaininteriors@gmail.com,"Sally Gephart Design",http://www.kelliegermaininteriors.com,"Apple Valley",Minnesota,"Interior designer"
golive@gigiolive.com,"Gigi Olive Interiors LLC",http://www.gigiolive.com,Minneapolis,Minnesota,"Interior designer"
d.h.at.the.cozy.cottage@gmail.com,"The Cozy Cottage interior design",http://atthecozycotttage.com,"Elk River",Minnesota,"Interior designer"
metrofloorsmn@gmail.com,"CT Construction",http://metrofloorsmn.com,Minneapolis,Minnesota,"Kitchen Renovator"
restwellmn@aol.com,"Restwell Mattress Factory",http://www.restwellmattress.com,Bloomington,Minnesota,"Bedroom furniture store"
cfw_2941@hotmail.com,"Chicago Furniture Warehouse",https://www.chicagofurniturewarehousemn.com,Bloomington,Minnesota,"Home Furniture Shop"
hausofbms@gmail.com,"Haus of B Interiors",https://www.hausofbinteriors.com,Minneapolis,Minnesota,"Home Decor"
idyourworld@gmx.com,"Regina Nelsen Interior Design",http://www.idyourworld-mn.com,Baxter,Minnesota,"Interior designer"
katiekottkeinteriors@gmail.com,"Katie Kottke Interiors",http://katiekottkeinteriors.com,Nisswa,Minnesota,"Interior designer"
stonehengeproperties@live.com,"O Design",http://stonehengeremodeling.net,Brainerd,Minnesota,"Interior designer"
northerndesigncomn@gmail.com,"Northern Design Co",https://www.northerndesigncomn.com,Nisswa,Minnesota,"Interior designer"
massiecreekllc@gmail.com,"Massie Creek LLC",http://www.massiecreek.com,Nisswa,Minnesota,"Interior designer"
smithfurnitureandcarpet@gmail.com,"Smith Furniture & Carpet",https://www.smithfurnitureandcarpet.com,Wadena,Minnesota,Retail
woodenheartsmailer@gmail.com,"Wooden Hearts",https://woodenhearts.org,"Cold Spring",Minnesota,Retail
melissaborgen@hotmail.com,"CUSTOM INTERIORS & DESIGN",http://trfinteriors.com,"Thief River Falls",Minnesota,"Interior designer"
houseoffaux@gmail.com,"glo interior design",http://www.kbdesigns.biz,Duluth,Minnesota,"Interior designer"
zenithcitydesign@gmail.com,"Zenith City Design and Renovation",https://www.zenithcitydesignandrenovation.com,Duluth,Minnesota,"Interior designer"
twinportsbuilders@gmail.com,"Twin Ports Builders LLC",http://twinportsbuildersllc.com,Duluth,Minnesota,"Interior construction contractor"
discountmattressduluth@gmail.com,"Discount Mattress & Furniture Duluth",http://www.discountmattressesduluth.com,Duluth,Minnesota,"Home Furniture Shop"
lsrefacing@gmail.com,"Lake Superior Refacing",http://lsrefacing.com,Duluth,Minnesota,"Kitchen Renovator"
andersonfurniturevirginia@gmail.com,"Anderson Furniture and Kitchens",http://www.arrowheadsupplyinc.com,Virginia,Minnesota,"Kitchen supply shop"
browniefurniture@yahoo.com,"Brownie Furniture",http://brownie-furniture.com,Virginia,Minnesota,"Home Furniture Shop"
draperiesplusflooring@gmail.com,"Draperies Plus Flooring",http://www.draperiesplusflooring.com,Cohasset,Minnesota,"Carpet Retail Shop"
klhomestaging@yahoo.com,"The KLHome LLC",http://theklhome.com,Owatonna,Minnesota,"Interior designer"
wrightinteriors@msn.com,"Interiors Plus",http://www.interiorsplusmasonohio.com,Faribault,Minnesota,"Interior designer"
homedesignhastings@comcast.net,"Home Design",http://www.homedesignofhastings.com,Hastings,Minnesota,Retail
tciinteriordesign@gmail.com,"Twin City Interior Design",https://www.twincityinteriordesign.com,"Brooklyn Center",Minnesota,"Interior Decorator"
interiorsreimagined@gmail.com,"Patricia Finlayson Design",https://www.interiorsre-imagined.com,"Saint Paul",Minnesota,"Interior designer"
mankatovintagemarket@gmail.com,"Mankato Vintage Market",http://www.mankatovintagemarket.com,Mankato,Minnesota,"Homewares Shop"
sarahbethheller@yahoo.com,"Creative Concepts",https://www.creativeconceptsmn.com,Lonsdale,Minnesota,"Interior designer"
hartsdesign@comcast.net,"Hart's Design Drafting",https://www.hartsdesign.com,"Eden Prairie",Minnesota,"Architectural Designer"
sallywheaton@aol.com,"Wheaton Hushcha Design",http://swhdesignstudio.com,Minneapolis,Minnesota,"Interior designer"
coleman_venus@yahoo.com,"Megan Larson Design",https://vee-event-decor.ueniweb.com,Minneapolis,Minnesota,"Interior designer"
shanedspencer@gmail.com,"Spencer Design Associates",http://www.spencerdesignassociates.com,Minneapolis,Minnesota,"Interior designer"
niosidesign@gmail.com,"Niosi Design",http://www.niosidesign.com,Minneapolis,Minnesota,"Interior designer"
jimkuiken@msn.com,"Jim Kuiken Design",http://jimkuiken.com,Minneapolis,Minnesota,"Interior designer"
uneekdesign@live.com,"Natural Organizing LLC",https://www.uneekbuilders.com,Minneapolis,Minnesota,"Interior designer"
elementsprinciples@gmail.com,"Gupta Visas",http://elementsandprinciples.com,Minneapolis,Minnesota,"Interior designer"
noyougohome@gmail.com,"Northeast Banl Building",http://www.noyougohome.com,Minneapolis,Minnesota,"Antique Furniture Shop"
goldenagedesigncrew@gmail.com,"Golden Age Design",http://www.goldenagedesign.com,Robbinsdale,Minnesota,"Home Furniture Shop"
thelabdesignstudio@gmail.com,"The Lab Design Studio A Graphic and Web Design Lab",http://www.thelabdesignstudio.com,Moorhead,Minnesota,"Graphic designer"
valeriesbridal@hotmail.com,"Bridal Gallery",http://www.valeriesbridalshop.com,Mankato,Minnesota,Retail
lhfurnredwoodfalls@gmail.com,"Larson's Home Furnishings",http://www.larsonfurniture.com,"Redwood Falls",Minnesota,Retail
luckenzak@gmail.com,"Crabapple Cottage Designs",https://lower-mowers-1.ueniweb.com,"Prior Lake",Minnesota,"Interior designer"
bellafinitodesigns@gmail.com,"Bella Finito Designs",http://www.bellafinito.com,Rosemount,Minnesota,"Interior designer"
