email,company,website,city,state,profession
ckelegantstore@gmail.com,"Courtesy Home Furnishing",http://www.eifurniture.com,"Baker City",Oregon,"Home Furniture Shop"
contact.sycamore@gmail.com,"The Sycamore Tree",https://www.thesycamoretreebakercity.com,"Baker City",Oregon,Retail
espinteriord@gmail.com,"ESP Interior Design",https://www.esp-interiordesign.com,Beaverton,Oregon,"Interior designer"
taggartsremodelingor@gmail.com,"Mary Roberts Interiors",http://www.taggartsremodeling.com,Beaverton,Oregon,"Interior designer"
luxeinteriorstudio@gmail.com,"Luxe Interior Studio",http://luxeinteriorstudio.com,Beaverton,Oregon,"Interior designer"
sharifasiri@gmail.com,"Sue Raymond Interior Designer ASID Allied Parker Furniture",https://asiri-designs.com,Portland,Oregon,"Interior designer"
karen-designs@comcast.net,"Interior Design",http://karenlinderinteriordesigns.com,Portland,Oregon,"Interior designer"
designelementsnw@gmail.com,"Design Elements NW",http://www.designelementsnw.com,Tigard,Oregon,"Interior designer"
polluconidesignstudio@gmail.com,"Polluconi Design Studio",http://decorating-dreams.com,Portland,Oregon,"Interior designer"
rhondaknoche@gmail.com,"Elnora Design Interiors",http://rhondaknochedesign.com,Portland,Oregon,"Interior designer"
weitzeldesign@comcast.net,"Sherrie Weitzel Interiors",http://www.weitzelinteriors.com,Portland,Oregon,"Interior designer"
gerrynenergy@gmail.com,"Solar Interior Design",https://www.gerrynenergy.com,Portland,Oregon,"Interior designer"
sharonhocking@icloud.com,"Sharon Hocking Interiors",http://sharonhockinginteriors.com,Corbett,Oregon,"Interior designer"
jcoyleinteriordesign@gmail.com,"M L J Interiors",https://jcoyleinteriordesign.com,Portland,Oregon,"Interior designer"
kevinthomastwitty@gmail.com,"Kevin Twitty Interiors",http://www.kevintwitty.com,Portland,Oregon,"Interior designer"
dwvedaa@gmail.com,"Mckelligon Gilyn Interiors LLC",https://www.dwvconstruction.com,Portland,Oregon,"Interior designer"
11th.monk3y@gmail.com,"Mackenzie Collier Interiors",https://mackenziecollierinteriors.com,Portland,Oregon,"Interior designer"
luminescencefengshui@gmail.com,"CINDY GARRETON INTERIOR DESIGN",http://cindygarretoninteriordesign.com,"Lake Oswego",Oregon,"Interior designer"
jonathanizstyle@gmail.com,"Jonathan OBrien Interior Design",https://jonathanstyle.com,"Lake Oswego",Oregon,"Interior designer"
carriagehouseinteriors@comcast.net,"Carriage House Interiors LLC",http://www.carriagehouseinteriorsllc.com,"Lake Oswego",Oregon,"Interior designer"
questioningfortunato@gmail.com,Fortunato,https://www.fortunato-interiors.com,Portland,Oregon,"Interior designer"
carylkhoff@gmail.com,"CK Hoffman Design",https://www.ckhoffmandesign.com,Portland,Oregon,"Kitchen Renovator"
brockdesigns@gmail.com,"Brock Design Group",http://www.brockdesigngroup.com,Portland,Oregon,"Interior designer"
tailoredbykd@gmail.com,"Tailored by KD",http://www.tailoredbykd.com,Portland,Oregon,"Interior designer"
act3designs@gmail.com,"Business Interiors Group",http://www.actthreedesigns.com,"Lake Oswego",Oregon,"Interior designer"
jimaymn@hotmail.com,"Creekstone Designs",https://creekstonedesigns.com,Tigard,Oregon,"Kitchen Renovator"
coastandcountrydesigns@yahoo.com,"Duffy's Designs",http://www.duffysinteriordesigns.com,Portland,Oregon,"Interior designer"
carlahiggins@comcast.net,"Urban ID",http://urbanid.design,Portland,Oregon,"Interior designer"
elephantintheroomdesign@gmail.com,"Elephant In The Room Design",http://elephantintheroomdesign.weebly.com,Portland,Oregon,"Interior Design"
isabella.paige.stephens@gmail.com,"Isabella Stephens Interior Design",http://isabellastephensinteriors.com,Portland,Oregon,"Interior Design"
bridgecitystaging@gmail.com,"Hills Design Group",https://www.bridgecitystaging.com,Portland,Oregon,"Interior designer"
haybagwell@gmail.com,"Charlene Dempsey Interior Design",http://www.cedarandsagedesign.com,Bend,Oregon,"Interior designer"
