email,company,website,city,state,profession
turie@lajinteriors.com,"Lajeunesse Interiors Inc.",https://lajinteriors.com,Barre,Vermont,"Interior designer"
info@seldomsceneinteriors.com,"Seldom Scene Interiors",https://seldomsceneinteriors.com,Stowe,Vermont,"Interior designer"
studio@brennabinteriors.com,"Brenna B Interiors",http://www.brennabinteriors.com,Stowe,Vermont,"Interior designer"
teri@terimaherinteriors.com,"teri maher interiors",http://www.terimaherinteriors.com,"Waterbury Village Historic District",Vermont,"Interior designer"
michael@builderspecialties.com,"Builder Specialties Inc",https://www.builderspecialties.com,Barre,Vermont,"Kitchen Furniture Shop"
design@kgcvt.com,"4 Conant Interior Design",http://www.kgcvt.com,Brandon,Vermont,"Interior designer"
info@novellofurniture.com,"Novello Furniture",http://www.novellofurniture.com,Barre,Vermont,"Home Furniture Shop"
christine@christineburdick.com,"Christine Burdick Design",http://christineburdick.com,Burlington,Vermont,"Interior designer"
cso@afhsoregon.com,"Ashley HomeStore",https://stores.ashleyfurniture.com,Barre,Vermont,"Home Furniture Shop"
info@huntingtonhomesvt.com,"Huntington Homes Inc.",http://www.huntingtonhomesvt.com,"East Montpelier",Vermont,"Home builder"
info@flooringvt.com,"Delairs Carpet Barn",http://delairscarpetbarn.com,"East Montpelier",Vermont,"Carpet Retail Shop"
accounting@barretile.com,"Morrison & Clark Inc",https://barretile.com,Barre,Vermont,"Carpet Retail Shop"
albuquerque@ethanallen.com,"Ethan Allen",https://www.ethanallen.com,Shelburne,Vermont,"Home Furniture Shop"
info@capitalkitchenvt.com,"Capital Kitchen",http://www.capitalkitchenvt.com,Montpelier,Vermont,"Kitchen supply shop"
stephen@bouchardpierce.com,"Bouchard-Pierce Appliances",http://www.bouchardpierce.com,Berlin,Vermont,"Homewares Shop"
steve@samclarkdesign.com,"Sam Clark Design",http://www.samclarkdesign.com,Plainfield,Vermont,"Interior Design"
info@burlingtonfurniture.us,"Burlington Furniture",https://burlingtonfurniture.us,Burlington,Vermont,"Interior Design"
social@cushmandesign.com,"Cushman Design Group",http://www.cushmandesign.com,Stowe,Vermont,"Interior Design"
hello@inspiredclosetsrva.com,"Inspired Closets Vermont",https://www.inspiredclosets.com,Williston,Vermont,"Interior Design"
commercial@gordonswd.com,"Gordon's Window Decor",http://www.gordonswindowdecor.com,Williston,Vermont,"Interior Design"
molly@wildmadderdesign.com,"Wild Madder Design",http://www.wildmadderdesign.com,Grafton,Vermont,"Interior designer"
cbuchika@elaninteriordesign.com,"Teaselwood Design",http://www.teaselwooddesign.com,Ludlow,Vermont,"Interior designer"
lillian@decorativeinteriors.com,"Decorative Interiors",http://www.decorativeinteriors.com,Manchester,Vermont,"Home Furniture Shop"
hello@mjginteriors.com,"MJG Interiors",http://www.mjginteriors.com,Manchester,Vermont,"Interior designer"
lauras@laurasinteriors.com,"Lauras Interior Design",http://laurasinteriors.com,"Manchester Center",Vermont,"Interior designer"
maura@mjm-home.com,"MJM Home",https://www.mjm-home.com,Winhall,Vermont,"Interior designer"
amy@thebaultdesign.com,"Amy Thebault Design",https://thebaultdesign.com,"Manchester Center",Vermont,"Interior designer"
wendy@designsforlivingvt.com,"Designs for Living",http://www.designsforlivingvt.com,Manchester,Vermont,"Interior designer"
sarah@sarahblakedesigns.com,"Sarah Blake Design Studio",http://sarahblakedesigns.com,Brattleboro,Vermont,"Design agency"
office@northshireliving.com,"Northshire Living",http://northshireliving.com,Manchester,Vermont,"Design agency"
joan@clearlakefurniture.com,"ClearLake Furniture",http://www.clearlakefurniture.com,Ludlow,Vermont,"Home Furniture Shop"
brett@dpfdesign.com,"DPF Design Inc.",http://www.dpfdesign.com,"White River Junction",Vermont,"Interior designer"
npennell@smokeshiredesign.com,"Smokeshire Design",http://www.smokeshiredesign.com,Chester,Vermont,"Homewares Shop"
kathi@blancbailey.com,"B&B Kitchen & Bath Design",https://www.blancbailey.com,Winhall,Vermont,"Kitchen Renovator"
angela.derosia@youngsfurniturestore.com,"Youngs Furniture & Appliances",http://youngsfurniturestore.com,Springfield,Vermont,"Home Furniture Shop"
jen@gildedelephanthome.com,"Creature Comfort Interior",https://www.gildedelephanthome.com,Randolph,Vermont,"Interior designer"
marketing@wwbuilding.com,"WW Building Supply",http://www.wwbuilding.com,Newfane,Vermont,"Home improvement shop"
info@blackhorsekitchens.com,"Black Horse Kitchens",http://www.blackhorsekitchens.com,"West Dover",Vermont,"Kitchen Renovator"
lizzy@brattleboro.com,"Distinctive Decor",http://www.brattleboro.com,Brattleboro,Vermont,"Antique Furniture Shop"
richard@bissellwoodworking.com,"Richard Bissell Fine Woodworking",http://www.bissellwoodworking.com,Putney,Vermont,"Furniture maker"
