email,website,city,state,profession,phone,country
capper.club.ltd@gmail.com,https://vest-capitalcoins.ltd,London,England,"Investment Company","(714) 340-5985",England
oakforgelimited@gmail.com,http://www.oakforge.co.uk,Barnsley,England,"Investment Company","+44 1226 217757",England
bitcoingurulive@gmail.com,https://bit-coinguru.com,Bristol,England,"Investment Company","+44 7451 270609",England
heliosframework@gmail.com,http://www.mercia.co.uk,Sheffield,England,"Investment Company","+44 330 223 1430",England
davidgrossington@gmail.com,http://investorsinlincoln.co.uk,Lincoln,England,"Investment Company","+44 7763 130818",England
mimmabux@gmail.com,https://bolagenius.wixsite.com,Dartford,England,"Investment Company","+44 7956 827898",England
impallari@gmail.com,http://quadtee.com,London,England,"Investment Company","+44 116 331 0078",England
tl-clifford@outlook.com,http://www.tl-clifford.co.uk,Hull,England,"Investment Company","+44 7522 169052",England
precision.capital.investments@outlook.com,https://www.precisioncapitalinvestments.co.uk,London,England,"Investment Company","+44 7832 431114",England
email@gmail.com,http://www.davyuk.co.uk,London,England,"Investment Company","+44 20 7448 8871",England
memorialphotoplaques@gmail.com,http://memorialphotoplaques.co.uk,Birmingham,England,"Investment Company","+44 7932 002440",England
bassiestates@hotmail.com,http://bassiestates.com,Ilford,England,"Investment Company","+44 7946 704400",England
abacusinvest00@gmail.com,http://abacusinvest.net,Hayes,England,"Investment Company","+44 20 8144 4065",England
rbabu.bala@gmail.com,http://investment4newbies.co.uk,Maidenhead,England,"Investment Company","+44 7540 544163",England
area21uk@gmail.com,http://area21.uk,London,England,"Investment Company","+44 20 8720 7105",England
reddmonitor@gmail.com,http://www.redd-monitor.org,London,England,"Investment Company","+44 20 7754 0493",England
c2cmentorspune@gmail.com,http://analystedge.in,Refrishments,England,"Investment Company","+91 92051 79169",England
allenjrichard@yahoo.co.uk,http://allenaco.com,London,England,"Investment Company","+44 20 3475 9942",England
alexanderjoslin@hotmail.com,http://drake-capital.com,London,England,"Investment Company","+44 20 7183 5406",England
