email,company,website,city,state,profession
1strealty@gmail.com,"First Realty",http://www.lakemartinhomes.net,"Alexander City",AL,"Estate Agent"
lakemartinamyclark@gmail.com,"Shane Burns Realtor/RSPS/Associate Broker",http://www.shaneburns.net,"Alexander City",AL,"Estate Agent"
candaceorangebeach@gmail.com,"Century 21 Lake Area Realty Inc.",https://lakearearealty.net,Dadeville,AL,"Estate Agent"
pcantrell49@gmail.com,"phil cantrell realtor",https://philcantrell.net,Dadeville,AL,"Estate Agent"
rhondafuller.realtor@gmail.com,"Fuller Realty At Lake Martin",https://fulleratlakemartin.com,Dadeville,AL,"Estate Agent"
aliciahomburger@gmail.com,"TLC REAL ESTATE LLC",http://www.tlcrealestatellc.com,"Alexander City",AL,"Estate Agents"
christyparkerrealtor@gmail.com,"Fuller Realty At Lake Martin",http://frlm.com,Dadeville,AL,"Estate Agent"
nancyfullerrealtor@gmail.com,"Lakefront Property Management LLC",http://www.rentalsatlakemartin.com,Dadeville,AL,"Estate Agent"
brooksrobin58@icloud.com,"Fairmont Realty Co",http://www.fairmont-realty.com,Sylacauga,AL,"Estate Agent"
beverly.wright1@yahoo.com,"Beverly Wright - RE/MAX Cornerstone Realty",http://www.beverlywright.net,Wetumpka,AL,"Estate Agents"
hdmckelvey@gmail.com,"Chad McKelvey Realtor The McKelvey Team Lake Martin Realty",http://www.mckelveyteam.com,Dadeville,AL,"Estate Agents"
joefranknelson@gmail.com,"Lakes and Land Real Estate",http://lakesandland.net,Dadeville,AL,"Estate Agent"
bigfishlakemartin@gmail.com,"Windy Carter Realtor",http://www.windycarter.com,Dadeville,AL,"Estate Agents"
janhall1958@gmail.com,"Bolton Cove - On Lake Martin",http://boltoncove.com,Equality,AL,"Holiday home letting agency"
holmes4u@gmail.com,"Berkshire Hathaway HomeServices Preferred Real Estate",http://www.bhhspreferredauburn.com,Auburn,AL,"Estate Agents"
holidaycovevr@gmail.com,"Holiday Cove Vacation Rentals",https://www.holidaycovevr.com,Dadeville,AL,"Holiday home letting agency"
armourfh@gmail.com,"Armours Memorial Funeral Home",http://www.armourfuneralhome.com,"Alexander City",AL,"Funeral home"
soldonsellers@yahoo.com,"Laura Sellers REALTOR Berkshire Hathaway HomeServices Preferred Real Estate",http://auburnopelikaalrealestate.com,Auburn,AL,"Estate Agents"
tallapoosacoosa.voad@gmail.com,"United Way",https://www.unitedwaylakemartin.org,"Alexander City",AL,"Social services organisation"
angela.hanna.smith@gmail.com,"RE/MAX AROUND THE LAKE",http://angelahannasmith.com,"Alexander City",AL,"Estate Agent"
lakemartinkdean@gmail.com,"Katelynne Dean Selling Lake Martin",http://www.katelynnedeanrealtor.com,"Alexander City",AL,"Estate Agents"
staceymckinley@outlook.com,"Experience Lake Martin Properties",https://lakemartinpro.com,Dadeville,AL,"Estate Agent"
byeatman56@gmail.com,"Sherry Willis Realtor at Remax Around The Lake",http://lovinglakemartin.com,"Alexander City",AL,"Real Estate Agent"
michaelmarkowitz@yahoo.com,RE/MAX,http://remax.com,"Alexander City",AL,"Real Estate Agent"
chadbarrett1@yahoo.com,"Chad Barrett & Tammy Kendrick - Re/Max Cornerstone Realty",http://www.chadbarretthomes.com,Wetumpka,AL,"Real Estate Agent"
belyn.r@gmail.com,"Belyn Richardson Realtor",http://belynrichardson.remax-alabama.com,Wetumpka,AL,"Estate Agents"
dgh427@aol.com,"David Tibbs Realtor Century 21 Brandt Wright Realty Inc",http://www.c21brandtwrightrealty.com,Wetumpka,AL,"Estate agent"
jrandall970@gmail.com,"Randall Rogers/Realtor/Broker ""Mr. Lake Martin""",http://lakemartinwaterfront.com,"Alexander City",AL,"Estate Agents"
gwenkelley1966@gmail.com,"Advantage Realty LLC",http://www.aresells.com,Andalusia,AL,"Estate Agent"
listwithchris.s@gmail.com,"Outlaw Realty",https://callanoutlaw.com,Andalusia,AL,"Estate Agent"
