email,website,city,state,profession,phone,country
bonny@eastdalerealty.com,http://www.eastdalerealty.com,"Alexander City",Alabama,"Estate Agent",12563293700,USA
amanda@amandascroggins.com,http://www.amandascroggins.com,"Alexander City",Alabama,"Estate Agent",12567496634,USA
kristin@wearelakemartin.com,https://alexcitysalesandrentals.com,"Alexander City",Alabama,"Estate Agent",12563970246,USA
sam@samanthaspurlin.com,http://www.samanthaspurlin.com,"Alexander City",Alabama,"Estate Agent",12567860650,USA
haley@haleyzeigler.com,http://lmaar.org,"Alexander City",Alabama,"Association or organisation",12562347522,USA
hray@redrockrg.com,http://redrockrg.com,"Alexander City",Alabama,"Apartment building",12562349999,USA
info@lakemartinlocations.com,http://www.lakemartinlocations.com,"Alexander City",Alabama,"Estate Agent",12059140830,USA
emcdaniel@russelllands.com,http://russelllandsonlakemartin.com,"Alexander City",Alabama,"Estate Agent",12562343451,USA
support@liveopelika.com,http://liveopelika.com,Opelika,Alabama,"Property management company",13347495616,USA
info@auburninvestmentproperties.com,http://auburninvestmentproperties.com,Auburn,Alabama,"Investment company",13348211227,USA
smccollum@realtysouth.com,https://livingonlakemartin.com,Dadeville,Alabama,"Estate Agent",12567494422,USA
tgoss@realtysouth.com,http://lakemartin.realtysouth.com,Dadeville,Alabama,"Estate Agent",12563924560,USA
risha.hoover@encompasshealth.com,http://encompasshealth.com,"Alexander City",Alabama,"Home Care Service",12563290507,USA
tim@hslegacy.com,https://homesmart.com,"Alexander City",Alabama,"Marketing agency",12562344120,USA
success@mopro.com,https://weareinfinityrealty.com,Pelham,Alabama,"Estate Agent",12054401765,USA
tracey@concepttoclosing.com,https://concepttoclosing.com,Dadeville,Alabama,"Estate Agent",12568275253,USA
offers@southeasternrei.com,http://www.ibuyhomesfastforcash.com,Birmingham,Alabama,"Investment company",12053419500,USA
info@montgomeryrealestatebuyers.com,http://www.montgomeryrealestatebuyers.com,Montgomery,Alabama,"Property Investment",13343103079,USA
mdark@realtysouth.com,https://www.realestatelakemartin.com,Auburn,Alabama,"Estate Agent",12567503030,USA
justin@selandgroup.com,https://www.selandgroup.com,Dadeville,Alabama,"Estate Agent",12568254331,USA
internal-referral--agent-rusty.armstrong@era.com,https://www.era.com,"Pell City",Alabama,"Estate Agent",12564520819,USA
cindy@cindyscroggins.com,http://www.lakemartinteam.com,Dadeville,Alabama,"Estate Agent",12567498681,USA
info@providenceinvestments.com,http://providenceinvestments.com,Birmingham,Alabama,"Property Developer",12057051370,USA
managementcontact@creimail.com,http://www.capstonerealestateinvestments.com,"Mountain Brook",Alabama,"Property Developer",12059492060,USA
info@taylordinvest.com,http://www.taylordinvest.com,Birmingham,Alabama,"Property Consultant",12052016829,USA
loismitchell1@att.net,http://www.lakemartinhomes.net,"Alexander City",Alabama,"Estate Agent",12562345163,USA
sandrabooker@earthlink.net,https://www.sandrabooker.net,"Alexander City",Alabama,"Property Consultant",12564962408,USA
searcy@partnersrealty.info,http://www.partnersrealty.info,Montgomery,Alabama,"Real Estate Services",13342771077,USA
asinger@bandm.org,http://www.bandm.org,Montgomery,Alabama,"Property Management",13342151411,USA
marketing@homesnap.com,http://www.robtaylor.us,Oxford,Alabama,"Real Estate Agents",12562839551,USA
b.harrelson@draftstoneproperties.com,https://draftstoneproperties.com,Andalusia,Alabama,"Estate Agent",13342225157,USA
jill@coursonhopkins.com,https://www.coursonhopkins.com,Andalusia,Alabama,"Estate Agent",13344881408,USA
br4535@onemainfinancial.com,https://www.onemainfinancial.com,Andalusia,Alabama,"Loan agency",13342232129,USA
longleaf@longleafland.com,http://www.longleafland.com,Opp,Alabama,"Estate Agent",13344930123,USA
mls@homesnap.com,https://www.homesnap.com,Andalusia,Alabama,"Estate Agent",13343431131,USA
hello@reddhousepm.com,http://reddhousepm.com,Enterprise,Alabama,"Property management company",13344890018,USA
centerpointcomm@centurytel.net,http://www.teamlindasimmons.com,Enterprise,Alabama,"Estate Agent",13343478441,USA
mollyfowler@andycable.com,http://www.kileyspears.com,Andalusia,Alabama,"Estate Agent",13344272210,USA
travis@thesoldman.me,http://www.thesoldman.me,Enterprise,Alabama,"Real Estate Agents",13344947846,USA
sheilaf@eraking.com,http://www.eraking.com,Anniston,Alabama,"Estate Agent",12568315656,USA
keith@harrismckay.com,http://www.harrismckayrealty.com,Anniston,Alabama,"Estate Agent",12562378100,USA
skye@skyesells.com,http://www.skyesells.com,Anniston,Alabama,"Estate Agent",12563434427,USA
astocking@goodfaithpm.com,http://www.goodfaithpm.com,Anniston,Alabama,"Property management company",12565815888,USA
jbarents@jbarents.com,http://www.jbarents.com,Anniston,Alabama,"Property management company",12562361188,USA
takles@remax.net,http://www.remax-wired-al.com,Anniston,Alabama,"Estate Agent",12564051055,USA
tan@tanakles.com,http://www.tanakles.com,Anniston,Alabama,"Estate Agent",12563433271,USA
kenan.yamaner@wellsfargoadvisors.com,https://home.wellsfargoadvisors.com,Anniston,Alabama,"Investment service",12562366346,USA
theocteam@eraking.com,http://www.theocteamre.com,Anniston,Alabama,"Estate Agent",12564997133,USA
nolan@nowlinwm.com,http://sanburnholdings.com,Birmingham,Alabama,"Investment company",17654385710,USA
josh.carlegis@scig.us,http://www.scig.us,Jacksonville,Alabama,"Investment company",12566844496,USA
tharper@copperleaf-properties.com,http://www.copperleaf-properties.com,Gadsden,Alabama,"Estate Agent",12565431747,USA
sdevine@spartaninvest.com,https://spartaninvest.com,Birmingham,Alabama,"Property management company",12052024118,USA
arrington@pylato.com,http://pylatocashhomebuyers.com,Birmingham,Alabama,"Property Investment",12052029813,USA
teacha@thegrahamgroupre.com,http://www.searchallbirminghamhomes.com,Hoover,Alabama,"Estate Agent",12052352960,USA
edwin@kindredinvestmentsllc.com,http://kindredinvestmentsllc.com,Birmingham,Alabama,"Estate Agent",12052188374,USA
jonathan@reitrader.com,http://reitrader.com,"Center Point",Alabama,"Estate Agent",12055123040,USA
tcrusey@homebuyersofalabama.com,http://www.homebuyersofalabama.com,Springville,Alabama,"Property Developer",12053798185,USA
info@alabamacashdeals.com,http://www.alabamacashdeals.com,Birmingham,Alabama,"Property Consultant",12057053400,USA
cdtindle@longleafrealestate.com,http://longleafrealestate.com,Birmingham,Alabama,"Commercial property estate agent",12058793733,USA
patbruno@brunogroup.net,https://brunogroup.net,Birmingham,Alabama,"Estate Agent",12059918111,USA
cmoorhouse@stonerivercompany.com,https://stonerivercompany.com,Birmingham,Alabama,"Property Investment",12058790870,USA
accounting@eraking.com,http://annaking.net,Anniston,Alabama,"Real Estate",12568315656,USA
jackcottonrealty@cableone.net,https://www.cottonllc.com,Anniston,Alabama,"Real Estate Agent",12562253852,USA
jonathanpate@kw.com,http://kwanniston.com,Anniston,Alabama,"Real Estate Company",12562251958,USA
jimmyarrington@bluffparkrealty.com,http://bluffparkrealty.com,Hoover,Alabama,"Real Estate Agents",12059793000,USA
judy@reynoldsrealteam.com,http://www.reynoldsrealteam.com,Atmore,Alabama,"Estate Agent",12512364705,USA
drowell@southernrealestate.org,http://www.southernrealestate.org,Atmore,Alabama,"Estate Agent",12513684397,USA
bub@phdrealty.com,http://www.phdrealty.com,Atmore,Alabama,"Estate Agent",12513681063,USA
bernadettewindle@robertsbrothers.com,http://annesiegel.robertsbrothers.com,Mobile,Alabama,"Real Estate Agent",12516805679,USA
deal@mobileinvestmentproperty.com,http://www.mobileinvestmentproperty.com,Mobile,Alabama,"Property Consultant",12512818878,USA
connor@yellowhammerhomes.com,http://www.yellowhammerhomes.com,Mobile,Alabama,"Property Rental Agency",12512790709,USA
capitalsales@drhorton.com,http://www.drhorton.com,"Bay Minette",Alabama,"Estate Agent",12519900220,USA
shamrockproperties@att.net,http://www.shamrockrealestategroup.com,Daphne,Alabama,"Estate Agent",12515339445,USA
info@reehlproperties.com,http://www.reehlproperties.com,"Spanish Fort",Alabama,"Estate Agent",12516211111,USA
ryan.nee@marcusmillichap.com,https://www.marcusmillichap.com,Fairhope,Alabama,"Commercial property estate agent",12519297300,USA
smcmahon@ingerealestate.com,http://ingerealestate.com,Mobile,Alabama,"Commercial property estate agent",12514322520,USA
gseaman@stirlingprop.com,http://www.stirlingprop.com,Mobile,Alabama,"Commercial property estate agent",12513427229,USA
