email,company,website,city,state,profession,phone,country
homevestors@homevestors.com,"RiverTree Investments",https://www.webuyuglyhouses.com,Providence,"Rhode Island","Property Consultant",14012704136,USA
s.mark@ss-developmentllc.com,"Fima Investments Inc",http://ss-developmentllc.com,Cranston,"Rhode Island","Property Developer",14012287420,USA
prutha@patelinvestment.com,"Patel Investments",http://patelinvestment.com,Newport,"Rhode Island","Investment service",14015732900,USA
jb@ibuyrhodeislandhouses.com,"I Buy Rhode Island Houses",https://www.ibuyrhodeislandhouses.com,Providence,"Rhode Island","Property Consultant",14013541485,USA
jerry@buyrhodeisland.com,"Buy Rhode Island",http://www.buyrhodeisland.com,Cranston,"Rhode Island","Property Investment",14018894663,USA
kandas.myer@ipx1031.com,"IPX1031 - Investment Property Exchange Services Inc.",https://www.ipx1031.com,Providence,"Rhode Island","Financial institution",18777811031,USA
brad@401homebuyer.com,401HomeBuyers,https://www.401homebuyers.com,Providence,"Rhode Island","Property Consultant",14015415560,USA
jerry@rihomebuyers.com,"RI Home Buyers",https://www.rihomebuyers.com,"East Providence","Rhode Island","Property Consultant",14012404663,USA
chris@prepropertysolutions.com,"Pre Property Solutions",https://www.prepropertysolutions.com,Middletown,"Rhode Island","Property Investment",14012174514,USA
lesliea@saletinregroup.com,"Saletin Real Estate Group",http://www.saletinregroup.com,Cranston,"Rhode Island","Property Developer",14019445900,USA
bcoelho@clipperpropertiesllc.com,"Clipper Properties LLC",http://www.clipperbuyers.com,Cumberland,"Rhode Island","Property Developer",14014840560,USA
jponte@sbaloanprogram.com,"Ponte Investments LLC dba Greenwich Business Capital",https://greenwichbusinesscapital.com,"West Warwick","Rhode Island","Financial institution",18889828380,USA
kbramson@providencejournal.com,"Cornish Associates",http://www.cornishlp.com,Providence,"Rhode Island","Property Developer",14014210254,USA
jesse@oceanstatebuyer.com,"Ocean State Buyers (We buy houses Fast)",http://oceanstatebuyer.com,Greenville,"Rhode Island","Property Developer",14013183125,USA
ggouldjr@about.me,"Will Litvin - Lighthouse Real Estate Group",https://about.me,"South Kingstown","Rhode Island","Property Consultant",14013083070,USA
leasing@moranproperties.com,"Moran Properties",http://www.moranproperties.com,"North Kingstown","Rhode Island","Property Developer",14018853950,USA
james.celico@lpl.com,"LPL Financial",http://www.jamespcelico.com,"North Kingstown","Rhode Island","Investment service",14014657856,USA
denny@mcguirewealth.com,"McGuire Wealth Management",http://www.mcguirewealth.com,"South Kingstown","Rhode Island","Investment service",14013645000,USA
christina.rescia@raveis.com,"Christina Rescia Realtor William Raveis Newport RI",http://christinarescia.raveis.com,Newport,"Rhode Island","Property Consultant",14013398833,USA
bb@hhcne.com,"Harborside Holdings",https://www.harborsideholdings.com,Bristol,"Rhode Island","Property Developer",14016512499,USA
mtb0268@verizon.net,"HomeSmart Professionals Real Estate",http://realestateofri.com,Warwick,"Rhode Island","Property Consultant",14019657554,USA
tomas.ruiz@tdameritrade.com,"TD Ameritrade",https://www.tdameritrade.com,Providence,"Rhode Island","Investment service",14014503501,USA
rbaccari@cb-ltd.com,"Churchill & Banks Co",https://churchillandbanks.com,Providence,"Rhode Island","Property Developer",14012738010,USA
ken@fontainerealestate.com,"Fontaine Real Estate",http://www.fontainerealestate.com,Woonsocket,"Rhode Island","Property Consultant",14017697821,USA
