email,website,city,state,profession,phone,country
enquiries@diamondpropertiesuk.co.uk,http://www.diamondpropertiesuk.co.uk,Swansea,Wales,"Estate Agent",441792712121,"United Kingdom"
craig.johnson@belvoir.co.uk,https://www.belvoir.co.uk,Swansea,Wales,"Estate Agent",441792461929,"United Kingdom"
office@bayestateagents.com,http://www.bayestateagents.com,Swansea,Wales,"Estate Agent",441792645566,"United Kingdom"
info@swanseapropertyagents.co.uk,http://www.swanseapropertyagents.co.uk,Swansea,Wales,"Property Rental Agency",441792652151,"United Kingdom"
enquiries@homehunters.co.uk,http://www.homehunters.co.uk,Swansea,Wales,"Property Rental Agency",441792645355,"United Kingdom"
lettings@astleys.net,http://www.astleys.net,Swansea,Wales,"Estate Agent",441792655891,"United Kingdom"
david@bp2property.com,https://www.bp2property.com,Swansea,Wales,"Property Consultant",441792461600,"United Kingdom"
support@lightlettings.co.uk,http://www.lightlettings.co.uk,Swansea,Wales,"Property Rental Agency",441792843031,"United Kingdom"
gethin.holt@dawsonsproperty.co.uk,http://www.dawsonsproperty.co.uk,"Swansea ",Wales,"Estate Agent",441792653100,"United Kingdom"
lettings@peteralan.co.uk,http://www.peteralan.co.uk,Swansea,Wales,"Estate Agent",441792641481,"United Kingdom"
enquiries@1stoplettingshop.co.uk,http://1stoplettingshop.co.uk,Swansea,Wales,"Estate Agent",441792644023,"United Kingdom"
office@freshsales.co.uk,http://www.freshpropertyhub.co.uk,Swansea,Wales,"Estate Agent",441792464757,"United Kingdom"
info@propertybuyerswales.com,https://www.propertybuyerswales.com,Swansea,Wales,"Property Developer",448006349229,"United Kingdom"
info@swanseabayproperty.com,http://www.swanseabayproperty.com,Swansea,Wales,"Property Investment",441792359532,"United Kingdom"
carys@sa-property.co.uk,http://www.sapropertysales.co.uk,Swansea,Wales,"Estate Agent",441792893000,"United Kingdom"
property@pbprop.co.uk,http://www.pbprop.co.uk,Swansea,Wales,"Property Rental Agency",441792203058,"United Kingdom"
kayco@kayandco.com,http://www.uklettingagent.co.uk,Swansea,Wales,"Apartment Letting Agency",441792460600,"United Kingdom"
info@smithshomes.com,http://www.smithshomes.com,Swansea,Wales,"Estate Agent",441792465822,"United Kingdom"
newhomes@dawsonsproperty.co.uk,http://www.libertyhomes.wales,Swansea,Wales,"Property Developer",441792312800,"United Kingdom"
hello@bettermove.co.uk,http://bettermove.co.uk,Swansea,Wales,"Real Estate Agent",443333588999,"United Kingdom"
rebecca@redkeyps.co.uk,http://www.redkeylets.co.uk,Swansea,Wales,"Property management company",441792470088,"United Kingdom"
pcraddock@lsh.co.uk,https://www.lsh.co.uk,Swansea,Wales,"Estate Agent",441792702800,"United Kingdom"
sales@curshall.com,http://curshall.com,Swansea,Wales,"Estate Agent",441792346156,"United Kingdom"
info@hacerdevelopments.com,http://www.hacerdevelopments.com,Swansea,Wales,"Property Developer",441792799255,"United Kingdom"
info@londonwelshproperty.co.uk,http://londonwelshproperty.co.uk,Swansea,Wales,"Property Investment",441792959929,"United Kingdom"
info@rdewales.com,http://www.rdewales.com,Newport,Wales,"Real Estate",441633250250,"United Kingdom"
burystedmunds@martinco.com,https://www.martinco.com,Wolverhampton,England,"Estate Agent",441902574910,"United Kingdom"
matt@libproperty.com,http://www.libproperty.com,Hadley,England,"Property Investment",442034887899,"United Kingdom"
info@austinsestateagents.co.uk,http://www.austinsestateagents.co.uk,Wolverhampton,England,"Estate Agent",441902244200,"United Kingdom"
bromsgrove@your-move.co.uk,https://www.your-move.co.uk,Wolverhampton,England,"Estate Agent",441902771511,"United Kingdom"
earlsdon@haart.co.uk,https://www.haart.co.uk,Wolverhampton,England,"Estate Agent",441902296465,"United Kingdom"
malkit.uppal@uasproperties.co.uk,http://www.uasproperties.co.uk,England,England,"Property management company",447939593939,"United Kingdom"
wednesfield@oliverling.com,http://www.oliverling.com,Wolverhampton,England,"Estate Agent",441902305599,"United Kingdom"
dawn@concentricproperty.co.uk,http://www.concentricproperty.co.uk,Wolverhampton,England,"Property management company",441902421405,"United Kingdom"
enquiries@swfestateagents.co.uk,https://www.swfestateagents.co.uk,Wolverhampton,England,"Estate Agent",441902575555,"United Kingdom"
ian.salter@connells.co.uk,https://www.connells.co.uk,Wolverhampton,England,"Estate Agent",441902710170,"United Kingdom"
ronnie@randrproperties.co.uk,http://www.randrproperties.co.uk,England,England,"Property Rental Agency",441902762446,"United Kingdom"
hq@concentriclettings.co.uk,http://concentriclettings.co.uk,Wolverhampton,England,"Property management company",441902421405,"United Kingdom"
contactus@kebraconsulting.com,http://www.kebraconsulting.com,London,England,"Property Developer",441902875395,"United Kingdom"
martin.dodd@miadvice.co.uk,https://miafinancialadvice.co.uk,Tettenhall,England,"Investment service",441902742221,"United Kingdom"
catherine@reiplc.com,https://reiplc.com,"West Bromwich",England,"Estate Agent",441215242588,"United Kingdom"
