email,company,website,city,state,profession,phone,country
lbanks@ospreypc.com,"Osprey Property Company",http://ospreypc.com,Annapolis,Maryland,"Property Developer",14102240100,USA
cs@qazzoo.com,Qazzoo.com,http://www.qazzoo.com,Annapolis,Maryland,"Property Consultant",18002309019,USA
fidelitycorporateaffairs@fmr.com,"Fidelity Investments",https://www.fidelity.com,Annapolis,Maryland,"Investment service",18005441441,USA
legaldepartment@hannonarmstrong.com,"Hannon Armstrong",http://www.hannonarmstrong.com,Annapolis,Maryland,"Investment company",14105719860,USA
carl@seracapital.com,"Sera Capital Management",https://seracapital.com,Annapolis,Maryland,"Investment service",14438731440,USA
dispo@offerlocity.com,Ultra-Investment-Group,https://ultrainvestmentgroup.com,Pikesville,Maryland,"Property Consultant",14437424655,USA
lgeiger@federalrealty.com,"Federal Realty Investment Trust",http://www.federalrealty.com,"North Bethesda",Maryland,"Property Developer",13019988100,USA
cdl@thecyphersagency.com,"Alex Brown Realty Inc.",https://www.abrealty.com,Baltimore,Maryland,"Property Investment",14107274083,USA
steve@homebuyersmd.com,"Maryland Home Buyers",https://www.homebuyersmd.com,Abingdon,Maryland,"Property Consultant",14106572523,USA
ceo@equitypartnersus.com,"Equity Partners International",http://epiequity.com,Annapolis,Maryland,"Investment service",12026178222,USA
vantageredm@synergyinteractive.com,"Vantage Point Real Estate Development Management LLC",http://vantagepointredm.com,Annapolis,Maryland,"Property Developer",14437148563,USA
pzadoretzky@oapartners.com,"O A Partners",http://www.oapartners.com,Annapolis,Maryland,"Property Developer",14102678688,USA
anthony.aguilar@tdameritrade.com,"TD Ameritrade",https://www.tdameritrade.com,Annapolis,Maryland,"Investment service",14102660200,USA
ssmith@pilotfinancial.com,"C Beach Brown LLC",https://www.cbeachbrown.com,Annapolis,Maryland,"Investment service",18773365133,USA
sarah@w-zha.com,"W-Zha LLC",http://www.w-zha.com,Annapolis,Maryland,"Property Consultant",14107570732,USA
joe@phigproperties.com,"Perry Hall Investment Group",https://www.housesforcashbaltimore.com,Nottingham,Maryland,"Investment company",14107091913,USA
glenn.sonnenberg@lasalle.com,"LaSalle Investment Management",https://www.lasalle.com,Baltimore,Maryland,"Investment service",14108784800,USA
jdinstein@crcrealty.com,"Continental Realty Corporation",http://www.crcrealty.com,Baltimore,Maryland,"Investment company",14102964800,USA
brad@dwingroup.com,"We Buy MD Homes",http://www.webuymdhomes.com,Baltimore,Maryland,"Property Consultant",12404240423,USA
iit-sells@iitrust.com,"Intercoastal Investment Trust",http://www.iitrust.com,Baltimore,Maryland,"Property Consultant",14108705877,USA
unionresidential@the2kgroup.com,"Union Residential Inc",http://unionresidential.com,Baltimore,Maryland,"Property Developer",12026819066,USA
mmednick@milestonehotels.com,"Milestone Companies",http://www.milestonehotels.com,Baltimore,Maryland,"Property Developer",15619818828,USA
aaron@zahlco.com,"Zahlco Companies",http://www.zahlco.com,Baltimore,Maryland,"Property Investment",14107539730,USA
misty@jabberfive.com,"Jabber Five Real Estate Group",http://jabberfive.com,Baltimore,Maryland,"Property Developer",14105603970,USA
mike@silvercasa.com,"Silver Casa",http://www.silvercasa.com,Baltimore,Maryland,"Property Consultant",14106575399,USA
leasing@matrixmgmtco.net,"Day Capital Inc",http://www.daycapital.com,Baltimore,Maryland,"Investment service",14105396565,USA
carolyn@jspventures.com,"War Horse Cities",http://warhorsecities.com,Baltimore,Maryland,"Investment company",14434781200,USA
