email,website,city,state,profession,phone,country
dpond@charles-realestate.com,http://charles-realestate.com,Akron,Ohio,"Estate Agent",13307451107,USA
barb@snyderandsnyder.com,http://www.snyderandsnyder.com,Akron,Ohio,"Real Estate",13304344343,USA
info@merryweather-realestate.com,http://merryweather-realestate.com,Akron,Ohio,"Estate Agent",13308642227,USA
info@mosholder.com,https://www.mosholder.com,Tallmadge,Ohio,"Real Estate Agent",13306335536,USA
info@agrealestategroup.com,http://agrealestategroup.com,Cleveland,Ohio,"Property management company",12165045000,USA
jimg@ciprianico.com,https://www.ciprianico.com,"Warrensville Heights",Ohio,"Property management company",12165818091,USA
matt@rampropertiesgroup.com,https://www.rampropertiesgroup.com,Berea,Ohio,"Property Investment",14406781153,USA
rfisher@waldfisher.com,http://waldfisher.com,Beachwood,Ohio,"Estate Agent",12164642000,USA
info@richterhc.com,http://www.richterhc.com,Twinsburg,Ohio,Consultant,18668060799,USA
contact@premiercrowdfunding.com,https://premiercrowdfunding.com,Cleveland,Ohio,"Investment service",12164417562,USA
leasing@residenceatbarrington.com,https://www.residenceatbarrington.com,Aurora,Ohio,Apartment,13307784239,USA
tkharris@tkharris.com,http://www.tkharris.com,Canton,Ohio,"Commercial property estate agent",13304928600,USA
maurissa.kanter@aon.com,http://www.townsendgroup.com,Cleveland,Ohio,"Property Consultant",12167819090,USA
jeffrey@emmcorealtygroup.com,http://www.emmcocorp.com,Beachwood,Ohio,"Commercial property estate agent",12162923700,USA
ranscher@meridiancapital.com,http://www.meridiancapital.com,Beachwood,Ohio,"Estate Agent",12164134201,USA
anetra@premierinvestmentpartners.net,http://premierinvestmentpartners.net,Beachwood,Ohio,"Property Investment",12165450007,USA
gmatthews@leveycompany.com,http://www.leveycompany.com,Akron,Ohio,"Property Developer",13308651700,USA
traci@ohiopropertyinvestorsgroup.com,https://www.ohiopropertyinvestorsgroup.com,Wadsworth,Ohio,"Real Estate Investment Firm",13309888707,USA
julie@mysimplepropertysolutions.com,http://www.mysimplepropertysolutions.com,Akron,Ohio,"Property Investment",13305949891,USA
amy.kessler@prudential.com,http://www.prudential.com,Uniontown,Ohio,"Insurance agency",13308967200,USA
tjb@idrfof.com,http://idrfof.com,Cleveland,Ohio,"Estate Agent",12166220004,USA
julie@bargerstock.com,http://bargerstock.com,Kent,Ohio,"Insurance agency",13306787900,USA
