email,company,website,city,state,profession,phone,country
rachel@humphreyscapital.com,"Humphreys Capital",http://www.humphreyscapital.com,"Oklahoma City",Oklahoma,"Investment company",14052281000,USA
property2@laforgeproperties.com,"Ace Investments Inc",http://www.aceinvestments.com,Chickasha,Oklahoma,"Property Developer",14052223050,USA
april@dillardgroup.com,"Southwest Investment Realty",http://www.dillardgroup.com,Norman,Oklahoma,"Investment service",14053667707,USA
bgoodwin@soonerinvestment.com,"Sooner Investment Realty Leasing",https://soonerinvestment.com,"Oklahoma City",Oklahoma,"Property Developer",14056026400,USA
caryle@nestedtours.com,"Council Oak Real Estate Inc",https://www.nestedtours.com,"Oklahoma City",Oklahoma,"Property Consultant",14052184696,USA
marie.flavin@ipx1031.com,"IPX1031 - Investment Property Exchange Services Inc.",https://www.ipx1031.com,"Oklahoma City",Oklahoma,"Property Consultant",14052861031,USA
dsar-kw@kw.com,"Jackie Proffitt - Keller Williams Realty Advantage",http://www.jackieproffitt.com,Tulsa,Oklahoma,"Property Consultant",19186059707,USA
jacquerolle@propertyreliefnetwork.com,"Discount Property Now - Buy Tulsa Oklahoma Investment Properties for Sale",http://www.discountpropertynow.com,Tulsa,Oklahoma,"Property Consultant",19189918321,USA
tracy@rentersplace.com,"Rental Property Investors of Oklahoma",http://rentalpropertyinvestorsoklahoma.com,Tulsa,Oklahoma,"Investment company",19184094989,USA
jjones@jonesinvre.com,"Jones Investment Properties",http://jonesinvre.com,Tulsa,Oklahoma,"Investment company",19186090541,USA
jenny@okcpropertybuyers.com,"OKC Property Buyers",https://www.okcpropertybuyers.com,"Oklahoma City",Oklahoma,"Property Consultant",14052529880,USA
ransom@oliverinvestments.com,"Oliver Rt Investments",http://oliverinvestments.com,"Oklahoma City",Oklahoma,"Investment company",14052392250,USA
proprety4@laforgeproperties.com,"LaForge Properties",http://laforgeproperties.com,Chickasha,Oklahoma,"Property Developer",14052223050,USA
tnewton@couryprop.com,"Coury Properties Inc",https://www.couryprop.com,Tulsa,Oklahoma,"Property Investment",19185830201,USA
sandro@petithomesolution.com,"Petit Home Solution-We Buy Houses Cash",https://www.petithomesolution.com,Tulsa,Oklahoma,"Property Consultant",19184092412,USA
cfoster@cbtulsa.com,"Carrie Foster Realtor - Coldwell Banker Select",https://www.carriesellsok.com,Owasso,Oklahoma,"Property Consultant",19183440469,USA
erika@susysokrealty.com,"We Buy Houses In Tulsa",https://www.susysokrealty.com,Tulsa,Oklahoma,"Property Consultant",19184801442,USA
linda@nu-momentumproperties.com,"Nu Momentum Properties",https://nu-momentumproperties.com,Tulsa,Oklahoma,"Property Developer",19186945510,USA
carter@18002sellhomes.com,"18002sellhomes LLC",https://www.18002sellhomes.com,"Oklahoma City",Oklahoma,"Property Investment",18002735546,USA
jason@bolthomebuyers.com,"Bolt Home Buyers",https://www.bolthomebuyers.com,"Oklahoma City",Oklahoma,"Property Investment",14054433883,USA
crystal@allovertexoma.com,"REAL ESTATE SOLUTIONS",http://www.allovertexoma.com,Durant,Oklahoma,"Investment company",15807499211,USA
cory@housekings.com,"House Kings Home Buyers",http://www.housekings.com,Edmond,Oklahoma,"Property Consultant",14052338831,USA
desmoines@fsbohomes.com,"FSBOHOMES Oklahoma City",https://www.fsbohomes.com,Edmond,Oklahoma,"Property Consultant",14055947911,USA
ben.dominguez@wellsfargoadvisors.com,"Wells Fargo Advisors",https://home.wellsfargoadvisors.com,Edmond,Oklahoma,"Investment service",14058442229,USA
kris@sellmyhouseinoklahoma.com,"HPC Investments",http://www.sellmyhouseinoklahoma.com,"Oklahoma City",Oklahoma,"Property Developer",14056078400,USA
melia@switchgrasscapital.com,"Switchgrass Capital",https://www.switchgrasscapital.com,Edmond,Oklahoma,"Investment company",14054569325,USA
jim@creokc.com,"Core Real Estate OKC LLC",http://www.creokc.com,"Oklahoma City",Oklahoma,"Property Consultant",14052107077,USA
apeck@freedompropertiesokc.com,"Freedom Properties LLC",http://www.freedompropertiesokc.com,"Oklahoma City",Oklahoma,"Property Developer",14058776052,USA
