email,first_name,website,city,last_name,profession
info@relaxrealtygroup.com,"Relax Realty Group, Inc",http://relaxrealtygroup.com,Sarasota,Florida,"real estate agency"
andrea@naplesppm.com,"Premier Property Management",http://www.propertymanagementnaples.com,Naples,Florida,"real estate agency"
kayla@lyonsrealestateinc.com,"Lyons Real Estate Inc",https://www.lyonsrealestateinc.com,"Fort Myers",Florida,"real estate agency"
diana.pubchara@blancacre.com,"Blanca Commercial Real Estate",http://blancacre.com,Miami,Florida,"real estate agency"
frontdesk@colladorealestate.com,"Collado Real Estate",http://colladorealestate.com,"New Smyrna Beach",Florida,"real estate agency"
info@lowndes-law.com,"Jacqueline Bozzuto",https://lowndes-law.com,Orlando,Florida,"real estate agency"
animalcontrol@myescambia.com,"Realty Masters of Florida",http://www.pensacolarealtymasters.com,Pensacola,Florida,"real estate agency"
leasing@407rentals.com,"Orlando Realty & Property Management",http://www.407rentals.com,Orlando,Florida,"real estate agency"
rentals@coastalrealtyfl.com,"Coastal Realty & Property Management",https://www.coastalrealtyfl.com,"St. Augustine",Florida,"real estate agency"
heather@horseandchaise.com,"Horse and Chaise Rentals and Property Management, Inc.",https://horseandchaise.com,Venice,Florida,"real estate agency"
abrown@suncoastrentals.com,"Suncoast Property Management, LLC",https://suncoastrentals.com,Jacksonville,Florida,"real estate agency"
jamaicabay.sales@uniprop.com,"Jamaica Bay",http://jamaicabay.com,"Fort Myers",Florida,"real estate agency"
accessible@bittersweetenterprises1.com,"BitterSweet Realty",https://bittersweetenterprises1.com,,,"real estate agency"
advisor@tranzon.com,"Tranzon Driggers",http://www.tranzon.com,Ocala,Florida,"real estate agency"
info@roelensvacations.com,"Roelens Vacation Rentals and Management",https://roelensvacations.com,"Cape Coral",Florida,"real estate agency"
allison@ilovefloridaliving.com,"Platinum Properties of Florida, LLC Realtors serving West Central Florida, Locally owned & operated by Broker Allison Newlon",http://www.ilovefloridaliving.com,"San Antonio",Florida,"real estate agency"
aida@askpwr.com,"Prestige Waterfront Realty",https://www.askpwr.com,"Fort Lauderdale",Florida,"real estate agency"
allseasons@libertemanagement.com,"Liberte Management Group / Land of Liberte Realty",http://www.libertemanagement.com,"Treasure Island",Florida,"real estate agency"
abby.strohofer@premiersir.com,"Caroline Bennett Naples Real Estate",http://carolinebennett.premiersothebysrealty.com,Naples,Florida,"real estate agency"
office@wemanagehouses.com,"Allstates Property Management",http://wemanagehouses.com,,,"real estate agency"
amrc@captiva-island.com,"American Realty",http://www.captiva-island.com,Captiva,Florida,"real estate agency"
team@denovorealty.com,"Denovo Realty",http://www.denovorealty.com,Melbourne,Florida,"real estate agency"
angela@cmregroup.com,"Capital Realty Group Florida",http://www.capitalrealtygroupflorida.com,Orlando,Florida,"real estate agency"
rickcarlson@acebusinessbrokers.com,"Ace Business Brokers - Space Coast Florida",http://www.acebusinessbrokers.com,Melbourne,Florida,"real estate agency"
trec@joepelayo.com,"Joe Pelayo CCIM, SIOR",http://www.trecfl.com,"Coral Springs",Florida,"real estate agency"
ericap@floridarealtors.org,"Florida Realtors",http://www.floridarealtors.org,Orlando,Florida,"real estate agency"
guestswin@rabeachgetaways.com,"Royal American Beach Getaways",http://www.rabeachgetaways.com,"Panama City Beach",Florida,"real estate agency"
help@idxbroker.com,"Joan James P.A -Realtor- United Realty",http://www.rcnhomes.com,"West Palm Beach",Florida,"real estate agency"
support@dpirealtywebsites.com,"South Properties Realty Group",https://www.southpropertiesrealtygroup.com,"Bay Harbor Islands",Florida,"real estate agency"
daniel@glanzerrealty.com,"Glanzer Realty",http://www.glanzerrealty.com,Newberry,Florida,"real estate agency"
adam.koelb@corcoran.com,"cameron sydenham",https://www.corcoran.com,"Delray Beach",Florida,"real estate agency"
cmalt@maltrealty.com,"Malt Realty & Development",http://www.maltrealty.com,"Fort Myers",Florida,"real estate agency"
rentals@lastkeyrealty.com,"Last Key Realty, Inc.",https://www.lastkeyrealty.com,"Key West",Florida,"real estate agency"
salestampa@mihomes.com,"M/I Homes K-Bar Ranch",https://www.mihomes.com,Tampa,Florida,"real estate agency"
bethb@holleyproperties.com,"Holley Properties",https://www.holleyproperties.com,Navarre,Florida,"real estate agency"
nancyknows@kw.com,"nancy dowson",http://nancydowson.com,"Coral Gables",Florida,"real estate agency"
aco@corporan.com,"Corcoran Group Inc",http://www.corcoran.com,"Palm Beach Gardens",Florida,"real estate agency"
akonsorska@onesothebysrealty.com,"- ONE Sotheby's International Realty",https://www.onesothebysrealty.com,"Key Biscayne",Florida,"real estate agency"
contactus@dennisrealty.com,"Dennis Realty & Investment Corporation Dade City",https://dennisrealty.com,"Dade City",Florida,"real estate agency"
leasinginfo@trimarkproperties.com,"The 100 Office Building | Gainesville's Innovation District",https://www.trimarkproperties.com,Gainesville,Florida,"real estate agency"
danielle@trusthomeproperties.com,"TrustHome Property Management Powered by PMI",https://trusthomeproperties.com,Orlando,Florida,"real estate agency"
admin1630235561287@webdev.com,"Sterling Chase Realty",https://www.sterlingchaserealty.com,Eustis,Florida,"real estate agency"
tampa@homeriver.com,"HomeRiver Group Tampa Property Management",https://www.tampa-propertymanagement.net,Tampa,Florida,"real estate agency"
info@pozekgroup.com,"Ken Pozek, The Pozek Group at Keller Williams",http://pozekgroup.com,Orlando,Florida,"real estate agency"
contact@beycome.com,beycome,https://www.beycome.com,Miami,Florida,"real estate agency"
adriancaramihai@cohencommercial.com,"Cohen Commercial Realty",http://cohencommercial.com,"North Palm Beach",Florida,"real estate agency"
cd@officespacebrokers.com,"Office Space Brokers",http://officespacebrokers.com,Tampa,Florida,"real estate agency"
alison@ian-black.com,"Ian Black Real Estate",http://ian-black.com,Sarasota,Florida,"real estate agency"
afell@ipre.com,"Illustrated Properties Real Estate",https://www.ipre.com,Jupiter,Florida,"real estate agency"
lizberger@brgrealestate.com,"Berger Realty Group Inc",http://www.brgrealestate.com,"Coral Springs",Florida,"real estate agency"
rwhitmire@primerealtyinc.com,"Prime Realty",http://www.primerealtyinc.com,Jacksonville,Florida,"real estate agency"
akritharis@ipre.com,"Antony Kritharis ,Real Estate Broker: Illustrated Properties",https://real-estate-broker-antony.business.site,"Delray Beach",Florida,"real estate agency"
michael@100prorealty.com,"100 Pro Realty",http://www.100prorealty.com,"Cape Coral",Florida,"real estate agency"
ajohnston@eatonrealty.com,"Eaton Realty",https://www.eatonrealty.com,Lithia,Florida,"real estate agency"
adrian@officelist.com,OfficeList,http://www.officelist.com,"Miami Beach",Florida,"real estate agency"
broxton827@bellsouth.net,"Porzig Realty",http://www.porzigrealty.com,"Lake Mary",Florida,"real estate agency"
